cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001468,C0001675,ADMINISTERED_TO,Adenosine Phosphosulfate,Adult,bacs,aggp,1,ADMINISTERED_TO_BACSadtoAGGP
C0006675,C0205653,ADMINISTERED_TO,calcium,Adolescent (age group),bacs,aggp,1,ADMINISTERED_TO_BACSadtoAGGP
C0013030,C0001675,ADMINISTERED_TO,dopamine,Adult,bacs,aggp,2,ADMINISTERED_TO_BACSadtoAGGP
C0017725,C0021270,ADMINISTERED_TO,glucose,Infant,bacs,aggp,2,ADMINISTERED_TO_BACSadtoAGGP
C0017725,C0021289,ADMINISTERED_TO,glucose,"Infant, Newborn",bacs,aggp,2,ADMINISTERED_TO_BACSadtoAGGP
C0019134,C0008059,ADMINISTERED_TO,heparin,Child,bacs,aggp,2,ADMINISTERED_TO_BACSadtoAGGP
C0030054,C0008059,ADMINISTERED_TO,oxygen,Child,bacs,aggp,5,ADMINISTERED_TO_BACSadtoAGGP
C0030054,C0021270,ADMINISTERED_TO,oxygen,Infant,bacs,aggp,3,ADMINISTERED_TO_BACSadtoAGGP
C0030054,C0021289,ADMINISTERED_TO,oxygen,"Infant, Newborn",bacs,aggp,3,ADMINISTERED_TO_BACSadtoAGGP
C0030054,C4048294,ADMINISTERED_TO,oxygen,Preterm Infant,bacs,aggp,1,ADMINISTERED_TO_BACSadtoAGGP
C0034085,C0008059,ADMINISTERED_TO,Pulmonary Surfactants,Child,bacs,aggp,1,ADMINISTERED_TO_BACSadtoAGGP
C0034085,C0021270,ADMINISTERED_TO,Pulmonary Surfactants,Infant,bacs,aggp,16,ADMINISTERED_TO_BACSadtoAGGP
C0034085,C0021289,ADMINISTERED_TO,Pulmonary Surfactants,"Infant, Newborn",bacs,aggp,10,ADMINISTERED_TO_BACSadtoAGGP
C0034085,C4048294,ADMINISTERED_TO,Pulmonary Surfactants,Preterm Infant,bacs,aggp,3,ADMINISTERED_TO_BACSadtoAGGP
C0035699,C0008059,ADMINISTERED_TO,"RNA, Neoplasm",Child,bacs,aggp,1,ADMINISTERED_TO_BACSadtoAGGP
C0035699,C0238598,ADMINISTERED_TO,"RNA, Neoplasm",Young Adult,bacs,aggp,1,ADMINISTERED_TO_BACSadtoAGGP
C0035702,C0021270,ADMINISTERED_TO,"RNA, Ribosomal, 16S",Infant,bacs,aggp,2,ADMINISTERED_TO_BACSadtoAGGP
C0038636,C0021270,ADMINISTERED_TO,sucrose,Infant,bacs,aggp,2,ADMINISTERED_TO_BACSadtoAGGP
C0043481,C0008059,ADMINISTERED_TO,zinc,Child,bacs,aggp,4,ADMINISTERED_TO_BACSadtoAGGP
C0043481,C0021270,ADMINISTERED_TO,zinc,Infant,bacs,aggp,1,ADMINISTERED_TO_BACSadtoAGGP
C0486948,C0008059,ADMINISTERED_TO,Human immunodeficiency virus 1 DNA,Child,bacs,aggp,1,ADMINISTERED_TO_BACSadtoAGGP
C1099354,C0001675,ADMINISTERED_TO,"RNA, Small Interfering",Adult,bacs,aggp,1,ADMINISTERED_TO_BACSadtoAGGP
C1310768,C0008059,ADMINISTERED_TO,EPs 7630,Child,bacs,aggp,3,ADMINISTERED_TO_BACSadtoAGGP
C1764827,C0008059,ADMINISTERED_TO,Isolate - microorganism,Child,bacs,aggp,2,ADMINISTERED_TO_BACSadtoAGGP
C2987634,C0008059,ADMINISTERED_TO,Agonist,Child,bacs,aggp,1,ADMINISTERED_TO_BACSadtoAGGP
