cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001551,C0026591,ADMINISTERED_TO,Immunologic Adjuvants,Mother (person),imft,famg,1,ADMINISTERED_TO_IMFTadtoFAMG
C0002092,C0030551,ADMINISTERED_TO,Allergens,parent,imft,famg,1,ADMINISTERED_TO_IMFTadtoFAMG
C0003320,C0015576,ADMINISTERED_TO,Antigens,Family,imft,famg,1,ADMINISTERED_TO_IMFTadtoFAMG
C0003320,C0041427,ADMINISTERED_TO,Antigens,Twin sibling (person),imft,famg,1,ADMINISTERED_TO_IMFTadtoFAMG
C0021403,C0086282,ADMINISTERED_TO,Influenza virus vaccine,Family member,imft,famg,3,ADMINISTERED_TO_IMFTadtoFAMG
C0032374,C3844029,ADMINISTERED_TO,Poliovirus Vaccines,Child 5,imft,famg,1,ADMINISTERED_TO_IMFTadtoFAMG
C0032375,C0337547,ADMINISTERED_TO,Oral Poliovirus Vaccine,Younger child,imft,famg,1,ADMINISTERED_TO_IMFTadtoFAMG
C0042211,C0015576,ADMINISTERED_TO,"Vaccines, Attenuated",Family,imft,famg,1,ADMINISTERED_TO_IMFTadtoFAMG
C0042211,C0030551,ADMINISTERED_TO,"Vaccines, Attenuated",parent,imft,famg,1,ADMINISTERED_TO_IMFTadtoFAMG
C0042212,C0015576,ADMINISTERED_TO,"Vaccines, Inactivated",Family,imft,famg,1,ADMINISTERED_TO_IMFTadtoFAMG
C0206515,C0337547,ADMINISTERED_TO,"Vaccines, Conjugate",Younger child,imft,famg,1,ADMINISTERED_TO_IMFTadtoFAMG
C0694750,C0030551,ADMINISTERED_TO,Rubella/Mumps vaccine,parent,imft,famg,1,ADMINISTERED_TO_IMFTadtoFAMG
C0887902,C0026591,ADMINISTERED_TO,"Vaccines, Edible",Mother (person),imft,famg,1,ADMINISTERED_TO_IMFTadtoFAMG
C0979582,C0037047,ADMINISTERED_TO,Pneumococcal 7-valent conjugate vaccine,Sibling,imft,famg,1,ADMINISTERED_TO_IMFTadtoFAMG
C1440666,C0680063,ADMINISTERED_TO,Hay,Offspring,imft,famg,1,ADMINISTERED_TO_IMFTadtoFAMG
C1579319,C3844029,ADMINISTERED_TO,Pneumococcal conjugate vaccine,Child 5,imft,famg,1,ADMINISTERED_TO_IMFTadtoFAMG
