cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003272,C0003261,AFFECTS,Antibody-Dependent Cellular Cytotoxicity,Antibody Formation,celf,biof,1,AFFECTS_CELFafctBIOF
C0004391,C0003261,AFFECTS,Autophagy,Antibody Formation,celf,biof,2,AFFECTS_CELFafctBIOF
C0004391,C0019868,AFFECTS,Autophagy,Homeostasis,celf,biof,16,AFFECTS_CELFafctBIOF
C0004391,C0042765,AFFECTS,Autophagy,Virulence,celf,biof,3,AFFECTS_CELFafctBIOF
C0004391,C0220781,AFFECTS,Autophagy,Anabolism,celf,biof,29,AFFECTS_CELFafctBIOF
C0004391,C0282629,AFFECTS,Autophagy,Virus Assembly,celf,biof,2,AFFECTS_CELFafctBIOF
C0004391,C1160638,AFFECTS,Autophagy,Viral life cycle,celf,biof,8,AFFECTS_CELFafctBIOF
C0004391,C1537068,AFFECTS,Autophagy,Virus Internalization,celf,biof,1,AFFECTS_CELFafctBIOF
C0004391,C1820201,AFFECTS,Autophagy,tissue remodeling,celf,biof,1,AFFECTS_CELFafctBIOF
C0004391,C3714634,AFFECTS,Autophagy,Biological Processes,celf,biof,2,AFFECTS_CELFafctBIOF
C0007577,C0042765,AFFECTS,Cell Adhesion,Virulence,celf,biof,2,AFFECTS_CELFafctBIOF
C0007577,C3549170,AFFECTS,Cell Adhesion,transforming growth factor beta1 activation,celf,biof,1,AFFECTS_CELFafctBIOF
C0007577,C3714634,AFFECTS,Cell Adhesion,Biological Processes,celf,biof,3,AFFECTS_CELFafctBIOF
C0007582,C0019868,AFFECTS,Cell Communication,Homeostasis,celf,biof,1,AFFECTS_CELFafctBIOF
C0007582,C0042765,AFFECTS,Cell Communication,Virulence,celf,biof,1,AFFECTS_CELFafctBIOF
C0007582,C1160638,AFFECTS,Cell Communication,Viral life cycle,celf,biof,1,AFFECTS_CELFafctBIOF
C0007582,C1721019,AFFECTS,Cell Communication,Virus Attachment,celf,biof,1,AFFECTS_CELFafctBIOF
C0007586,C1160638,AFFECTS,Cell Cycle,Viral life cycle,celf,biof,3,AFFECTS_CELFafctBIOF
C0007587,C0220781,AFFECTS,Cell Death,Anabolism,celf,biof,2,AFFECTS_CELFafctBIOF
C0007587,C0234130,AFFECTS,Cell Death,Motor function,celf,biof,1,AFFECTS_CELFafctBIOF
C0007587,C3894443,AFFECTS,Cell Death,reactive oxygen species biosynthetic process,celf,biof,1,AFFECTS_CELFafctBIOF
C0007590,C0220781,AFFECTS,Cell division,Anabolism,celf,biof,3,AFFECTS_CELFafctBIOF
C0007595,C0220781,AFFECTS,Cell Growth,Anabolism,celf,biof,1,AFFECTS_CELFafctBIOF
C0007595,C3714634,AFFECTS,Cell Growth,Biological Processes,celf,biof,1,AFFECTS_CELFafctBIOF
C0007608,C0220781,AFFECTS,cell motility,Anabolism,celf,biof,1,AFFECTS_CELFafctBIOF
C0007613,C1160638,AFFECTS,Cell physiology,Viral life cycle,celf,biof,2,AFFECTS_CELFafctBIOF
C0007613,C1537068,AFFECTS,Cell physiology,Virus Internalization,celf,biof,2,AFFECTS_CELFafctBIOF
C0007613,C3714634,AFFECTS,Cell physiology,Biological Processes,celf,biof,3,AFFECTS_CELFafctBIOF
C0010813,C0042765,AFFECTS,Cytokinesis,Virulence,celf,biof,3,AFFECTS_CELFafctBIOF
C0010813,C0220781,AFFECTS,Cytokinesis,Anabolism,celf,biof,7,AFFECTS_CELFafctBIOF
C0010813,C1160685,AFFECTS,Cytokinesis,viral procapsid maturation,celf,biof,1,AFFECTS_CELFafctBIOF
C0010813,C1537068,AFFECTS,Cytokinesis,Virus Internalization,celf,biof,3,AFFECTS_CELFafctBIOF
C0010813,C1721019,AFFECTS,Cytokinesis,Virus Attachment,celf,biof,1,AFFECTS_CELFafctBIOF
C0010813,C1721020,AFFECTS,Cytokinesis,Virus Membrane Fusion,celf,biof,1,AFFECTS_CELFafctBIOF
C0010813,C3537152,AFFECTS,Cytokinesis,biological signaling,celf,biof,1,AFFECTS_CELFafctBIOF
C0010813,C3853734,AFFECTS,Cytokinesis,viral process,celf,biof,1,AFFECTS_CELFafctBIOF
C0010813,C3894443,AFFECTS,Cytokinesis,reactive oxygen species biosynthetic process,celf,biof,1,AFFECTS_CELFafctBIOF
C0014139,C0042765,AFFECTS,Endocytosis,Virulence,celf,biof,1,AFFECTS_CELFafctBIOF
C0014139,C0220781,AFFECTS,Endocytosis,Anabolism,celf,biof,1,AFFECTS_CELFafctBIOF
C0014139,C0232478,AFFECTS,Endocytosis,Ingestion,celf,biof,1,AFFECTS_CELFafctBIOF
C0014139,C1537068,AFFECTS,Endocytosis,Virus Internalization,celf,biof,12,AFFECTS_CELFafctBIOF
C0014139,C1721019,AFFECTS,Endocytosis,Virus Attachment,celf,biof,1,AFFECTS_CELFafctBIOF
C0014139,C3714634,AFFECTS,Endocytosis,Biological Processes,celf,biof,1,AFFECTS_CELFafctBIOF
C0015283,C0019868,AFFECTS,Exocytosis,Homeostasis,celf,biof,2,AFFECTS_CELFafctBIOF
C0015283,C0220781,AFFECTS,Exocytosis,Anabolism,celf,biof,1,AFFECTS_CELFafctBIOF
C0020987,C0003261,AFFECTS,Immunocompetence,Antibody Formation,celf,biof,1,AFFECTS_CELFafctBIOF
C0020987,C0042765,AFFECTS,Immunocompetence,Virulence,celf,biof,2,AFFECTS_CELFafctBIOF
C0024426,C1817882,AFFECTS,Macrophage Activation,Granuloma formation,celf,biof,1,AFFECTS_CELFafctBIOF
C0025186,C0242735,AFFECTS,Meiosis,Germination,celf,biof,1,AFFECTS_CELFafctBIOF
C0031308,C0019868,AFFECTS,Phagocytosis,Homeostasis,celf,biof,1,AFFECTS_CELFafctBIOF
C0031308,C0042765,AFFECTS,Phagocytosis,Virulence,celf,biof,1,AFFECTS_CELFafctBIOF
C0031308,C0220781,AFFECTS,Phagocytosis,Anabolism,celf,biof,3,AFFECTS_CELFafctBIOF
C0031308,C0232478,AFFECTS,Phagocytosis,Ingestion,celf,biof,1,AFFECTS_CELFafctBIOF
C0031308,C1537068,AFFECTS,Phagocytosis,Virus Internalization,celf,biof,2,AFFECTS_CELFafctBIOF
C0031945,C1537068,AFFECTS,Pinocytosis,Virus Internalization,celf,biof,1,AFFECTS_CELFafctBIOF
C0032176,C0220781,AFFECTS,Platelet aggregation,Anabolism,celf,biof,1,AFFECTS_CELFafctBIOF
C0037083,C0019868,AFFECTS,Signal Transduction,Homeostasis,celf,biof,3,AFFECTS_CELFafctBIOF
C0037083,C0220781,AFFECTS,Signal Transduction,Anabolism,celf,biof,1,AFFECTS_CELFafctBIOF
C0037083,C0242290,AFFECTS,Signal Transduction,Organogenesis,celf,biof,2,AFFECTS_CELFafctBIOF
C0037083,C1537068,AFFECTS,Signal Transduction,Virus Internalization,celf,biof,1,AFFECTS_CELFafctBIOF
C0037083,C1721019,AFFECTS,Signal Transduction,Virus Attachment,celf,biof,1,AFFECTS_CELFafctBIOF
C0037083,C1820201,AFFECTS,Signal Transduction,tissue remodeling,celf,biof,1,AFFECTS_CELFafctBIOF
C0037083,C3714634,AFFECTS,Signal Transduction,Biological Processes,celf,biof,1,AFFECTS_CELFafctBIOF
C0042774,C0019868,AFFECTS,Virus Replication,Homeostasis,celf,biof,1,AFFECTS_CELFafctBIOF
C0042774,C0042765,AFFECTS,Virus Replication,Virulence,celf,biof,14,AFFECTS_CELFafctBIOF
