cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001128,C0010813,AFFECTS,Acids,Cytokinesis,chem,celf,4,AFFECTS_CHEMafctCELF
C0001128,C0024426,AFFECTS,Acids,Macrophage Activation,chem,celf,1,AFFECTS_CHEMafctCELF
C0001128,C0042774,AFFECTS,Acids,Virus Replication,chem,celf,1,AFFECTS_CHEMafctCELF
C0001128,C1326120,AFFECTS,Acids,cell activation,chem,celf,1,AFFECTS_CHEMafctCELF
C0023688,C0007577,AFFECTS,Ligands,Cell Adhesion,chem,celf,1,AFFECTS_CHEMafctCELF
C0023688,C0007580,AFFECTS,Ligands,Cell Aggregation,chem,celf,1,AFFECTS_CHEMafctCELF
C0023688,C0007582,AFFECTS,Ligands,Cell Communication,chem,celf,3,AFFECTS_CHEMafctCELF
C0023688,C0007613,AFFECTS,Ligands,Cell physiology,chem,celf,1,AFFECTS_CHEMafctCELF
C0023688,C0014139,AFFECTS,Ligands,Endocytosis,chem,celf,3,AFFECTS_CHEMafctCELF
C0023688,C0037083,AFFECTS,Ligands,Signal Transduction,chem,celf,3,AFFECTS_CHEMafctCELF
C0023688,C0042774,AFFECTS,Ligands,Virus Replication,chem,celf,1,AFFECTS_CHEMafctCELF
C0023688,C0162638,AFFECTS,Ligands,Apoptosis,chem,celf,7,AFFECTS_CHEMafctCELF
C0023688,C0596290,AFFECTS,Ligands,Cell Proliferation,chem,celf,1,AFFECTS_CHEMafctCELF
C0023688,C0872097,AFFECTS,Ligands,Anoikis,chem,celf,1,AFFECTS_CHEMafctCELF
C0023688,C1155013,AFFECTS,Ligands,T cell differentiation,chem,celf,1,AFFECTS_CHEMafctCELF
C0023688,C1160689,AFFECTS,Ligands,viral genome packaging,chem,celf,1,AFFECTS_CHEMafctCELF
C0023688,C1326120,AFFECTS,Ligands,cell activation,chem,celf,2,AFFECTS_CHEMafctCELF
C0023688,C1622501,AFFECTS,Ligands,"Migration, Cell",chem,celf,1,AFFECTS_CHEMafctCELF
C0023688,C3546359,AFFECTS,Ligands,pro-apoptosis,chem,celf,1,AFFECTS_CHEMafctCELF
C0030106,C0010813,AFFECTS,Ozone,Cytokinesis,chem,celf,1,AFFECTS_CHEMafctCELF
C0220806,C0004391,AFFECTS,Chemicals,Autophagy,chem,celf,7,AFFECTS_CHEMafctCELF
C0220806,C0007586,AFFECTS,Chemicals,Cell Cycle,chem,celf,1,AFFECTS_CHEMafctCELF
C0220806,C0162638,AFFECTS,Chemicals,Apoptosis,chem,celf,1,AFFECTS_CHEMafctCELF
C0220806,C3494415,AFFECTS,Chemicals,Mitochondrial Dynamics,chem,celf,1,AFFECTS_CHEMafctCELF
