cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0012860,C1817756,AFFECTS,DNA Damage,Immune System Processes,comd,ortf,1,AFFECTS_COMDafctORTF
C0040715,C0520990,AFFECTS,Chromosomal translocation,Host defense,comd,ortf,1,AFFECTS_COMDafctORTF
C0043020,C0027540,AFFECTS,Wallerian Degeneration,Necrosis,comd,ortf,1,AFFECTS_COMDafctORTF
C0242606,C0007818,AFFECTS,Oxidative Stress,Cerebrovascular Circulation,comd,ortf,1,AFFECTS_COMDafctORTF
C0242606,C0019010,AFFECTS,Oxidative Stress,Hemodynamics,comd,ortf,1,AFFECTS_COMDafctORTF
C0242606,C0034963,AFFECTS,Oxidative Stress,Natural regeneration,comd,ortf,1,AFFECTS_COMDafctORTF
C0242606,C0036658,AFFECTS,Oxidative Stress,Esthesia,comd,ortf,1,AFFECTS_COMDafctORTF
C0242606,C0232164,AFFECTS,Oxidative Stress,Cardiac function,comd,ortf,2,AFFECTS_COMDafctORTF
C0242606,C0301872,AFFECTS,Oxidative Stress,Immune response,comd,ortf,3,AFFECTS_COMDafctORTF
C0596402,C0018131,AFFECTS,cytotoxicity,Graft Survival,comd,ortf,1,AFFECTS_COMDafctORTF
C0596402,C0162337,AFFECTS,cytotoxicity,Vascular Permeability,comd,ortf,1,AFFECTS_COMDafctORTF
C0596402,C0301872,AFFECTS,cytotoxicity,Immune response,comd,ortf,3,AFFECTS_COMDafctORTF
C0596402,C0520990,AFFECTS,cytotoxicity,Host defense,comd,ortf,1,AFFECTS_COMDafctORTF
C0599732,C0025962,AFFECTS,cell injury,Microcirculation,comd,ortf,1,AFFECTS_COMDafctORTF
C0599732,C0162337,AFFECTS,cell injury,Vascular Permeability,comd,ortf,1,AFFECTS_COMDafctORTF
C0920672,C0301872,AFFECTS,virus pathogenesis,Immune response,comd,ortf,2,AFFECTS_COMDafctORTF
C1516373,C0301872,AFFECTS,Cellular Stress,Immune response,comd,ortf,1,AFFECTS_COMDafctORTF
C1705285,C0036658,AFFECTS,Mutation Abnormality,Esthesia,comd,ortf,2,AFFECTS_COMDafctORTF
C2985439,C0597166,AFFECTS,De novo mutation,pancreatic islet function,comd,ortf,1,AFFECTS_COMDafctORTF
