cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000833,C0042765,AFFECTS,Abscess,Virulence,dsyn,biof,1,AFFECTS_DSYNafctBIOF
C0001314,C1537068,AFFECTS,Acute Disease,Virus Internalization,dsyn,biof,1,AFFECTS_DSYNafctBIOF
C0001883,C0019868,AFFECTS,Airway Obstruction,Homeostasis,dsyn,biof,1,AFFECTS_DSYNafctBIOF
C0003850,C0019868,AFFECTS,Arteriosclerosis,Homeostasis,dsyn,biof,2,AFFECTS_DSYNafctBIOF
C0004135,C0220781,AFFECTS,Ataxia Telangiectasia,Anabolism,dsyn,biof,1,AFFECTS_DSYNafctBIOF
C0004364,C0920608,AFFECTS,Autoimmune Diseases,Tumor Immunology,dsyn,biof,1,AFFECTS_DSYNafctBIOF
C0004623,C0042765,AFFECTS,Bacterial Infections,Virulence,dsyn,biof,1,AFFECTS_DSYNafctBIOF
C0004623,C0220781,AFFECTS,Bacterial Infections,Anabolism,dsyn,biof,2,AFFECTS_DSYNafctBIOF
C0005779,C0220781,AFFECTS,Blood Coagulation Disorders,Anabolism,dsyn,biof,1,AFFECTS_DSYNafctBIOF
C0006309,C0220781,AFFECTS,Brucellosis,Anabolism,dsyn,biof,1,AFFECTS_DSYNafctBIOF
C0007222,C0019868,AFFECTS,Cardiovascular Diseases,Homeostasis,dsyn,biof,1,AFFECTS_DSYNafctBIOF
C0007286,C0220781,AFFECTS,Carpal Tunnel Syndrome,Anabolism,dsyn,biof,1,AFFECTS_DSYNafctBIOF
C0008679,C0003261,AFFECTS,Chronic disease,Antibody Formation,dsyn,biof,1,AFFECTS_DSYNafctBIOF
C0008679,C0220781,AFFECTS,Chronic disease,Anabolism,dsyn,biof,2,AFFECTS_DSYNafctBIOF
C0009450,C0019868,AFFECTS,Communicable Diseases,Homeostasis,dsyn,biof,1,AFFECTS_DSYNafctBIOF
C0009450,C0042765,AFFECTS,Communicable Diseases,Virulence,dsyn,biof,2,AFFECTS_DSYNafctBIOF
C0009450,C1721019,AFFECTS,Communicable Diseases,Virus Attachment,dsyn,biof,1,AFFECTS_DSYNafctBIOF
C0009450,C3714634,AFFECTS,Communicable Diseases,Biological Processes,dsyn,biof,3,AFFECTS_DSYNafctBIOF
C0010278,C0220781,AFFECTS,Craniosynostosis,Anabolism,dsyn,biof,1,AFFECTS_DSYNafctBIOF
C0010691,C0220781,AFFECTS,Cystinuria,Anabolism,dsyn,biof,1,AFFECTS_DSYNafctBIOF
C0011119,C3714634,AFFECTS,Decompression Sickness,Biological Processes,dsyn,biof,1,AFFECTS_DSYNafctBIOF
C0011175,C0220781,AFFECTS,Dehydration,Anabolism,dsyn,biof,1,AFFECTS_DSYNafctBIOF
C0011847,C1537068,AFFECTS,Diabetes,Virus Internalization,dsyn,biof,1,AFFECTS_DSYNafctBIOF
