cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C1332089,C0162337,AFFECTS,ANGPT2 gene,Vascular Permeability,gngm,ortf,1,AFFECTS_GNGMafctORTF
C1366767,C0302600,AFFECTS,ACVRL1 gene,Angiogenic Process,gngm,ortf,1,AFFECTS_GNGMafctORTF
C1412357,C1159892,AFFECTS,ALOX12B gene,epidermal cell differentiation,gngm,ortf,2,AFFECTS_GNGMafctORTF
C1412357,C1655760,AFFECTS,ALOX12B gene,skin development,gngm,ortf,1,AFFECTS_GNGMafctORTF
C1413112,C0302600,AFFECTS,CAPN2 gene,Angiogenic Process,gngm,ortf,1,AFFECTS_GNGMafctORTF
C1414668,C1622375,AFFECTS,FOXC1 gene,lymph vessel development,gngm,ortf,1,AFFECTS_GNGMafctORTF
C1415233,C0302600,AFFECTS,GPR4 gene,Angiogenic Process,gngm,ortf,1,AFFECTS_GNGMafctORTF
C1416396,C0301872,AFFECTS,IL1R2 gene,Immune response,gngm,ortf,1,AFFECTS_GNGMafctORTF
C1417034,C0301872,AFFECTS,MARK3 gene,Immune response,gngm,ortf,1,AFFECTS_GNGMafctORTF
C1417616,C0302600,AFFECTS,NDP gene,Angiogenic Process,gngm,ortf,1,AFFECTS_GNGMafctORTF
C1417682,C1749784,AFFECTS,NEU3 gene,axon growth,gngm,ortf,1,AFFECTS_GNGMafctORTF
C1418859,C0301872,AFFECTS,PQBP1 gene,Immune response,gngm,ortf,1,AFFECTS_GNGMafctORTF
C1419102,C1817756,AFFECTS,PTPN22 gene,Immune System Processes,gngm,ortf,1,AFFECTS_GNGMafctORTF
C1420194,C0232750,AFFECTS,SLC4A2 gene,Bile formation,gngm,ortf,1,AFFECTS_GNGMafctORTF
C1420609,C0013936,AFFECTS,TBX20 gene,Embryonic Development,gngm,ortf,1,AFFECTS_GNGMafctORTF
C1421422,C0301872,AFFECTS,VAMP5 gene,Immune response,gngm,ortf,1,AFFECTS_GNGMafctORTF
C1424797,C0678727,AFFECTS,PLCE1 gene,Primordium,gngm,ortf,1,AFFECTS_GNGMafctORTF
C1425063,C1123009,AFFECTS,THSD1 gene,vasculogenesis,gngm,ortf,1,AFFECTS_GNGMafctORTF
C1425999,C0301872,AFFECTS,CKS1B gene,Immune response,gngm,ortf,3,AFFECTS_GNGMafctORTF
C1426094,C0036658,AFFECTS,THADA gene,Esthesia,gngm,ortf,1,AFFECTS_GNGMafctORTF
C1537388,C0232164,AFFECTS,HSPB6 gene,Cardiac function,gngm,ortf,1,AFFECTS_GNGMafctORTF
C1537388,C0302600,AFFECTS,HSPB6 gene,Angiogenic Process,gngm,ortf,1,AFFECTS_GNGMafctORTF
C1537876,C3852953,AFFECTS,MIR328 gene,Pulmonary Arterial Remodeling,gngm,ortf,1,AFFECTS_GNGMafctORTF
C1538584,C1818332,AFFECTS,PARP6 gene,hippocampus development,gngm,ortf,1,AFFECTS_GNGMafctORTF
C1539327,C1660649,AFFECTS,EDA gene,epidermis morphogenesis,gngm,ortf,1,AFFECTS_GNGMafctORTF
C1705924,C0079043,AFFECTS,TAC1 wt Allele,Bronchoconstriction,gngm,ortf,1,AFFECTS_GNGMafctORTF
C1822716,C0232164,AFFECTS,SHD gene,Cardiac function,gngm,ortf,1,AFFECTS_GNGMafctORTF
C1823250,C0301872,AFFECTS,TBKBP1 gene,Immune response,gngm,ortf,1,AFFECTS_GNGMafctORTF
C1826031,C3852953,AFFECTS,MIR451A gene,Pulmonary Arterial Remodeling,gngm,ortf,1,AFFECTS_GNGMafctORTF
C1853355,C2350989,AFFECTS,QRFP gene,Bone Mineralization,gngm,ortf,1,AFFECTS_GNGMafctORTF
C2828720,C0544650,AFFECTS,SPATS2L gene,Adrenergic receptor function,gngm,ortf,1,AFFECTS_GNGMafctORTF
C2829563,C0525006,AFFECTS,HOTAIRM1 gene,Myelopoiesis,gngm,ortf,1,AFFECTS_GNGMafctORTF
C3471421,C0037846,AFFECTS,PP2D1 gene,Sperm Maturation,gngm,ortf,1,AFFECTS_GNGMafctORTF
C3538773,C0232804,AFFECTS,TPT1 wt Allele,Renal function,gngm,ortf,1,AFFECTS_GNGMafctORTF
