cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001869,C0004178,AFFECTS,Air Pollutants,"Atmosphere, planetary",hops,npop,1,AFFECTS_HOPSafctNPOP
C0001869,C0025594,AFFECTS,Air Pollutants,Meteorological Factors,hops,npop,1,AFFECTS_HOPSafctNPOP
C0001869,C0031764,AFFECTS,Air Pollutants,Photosynthesis,hops,npop,1,AFFECTS_HOPSafctNPOP
C0001963,C0014895,AFFECTS,methanol,Esterification,hops,npop,1,AFFECTS_HOPSafctNPOP
C0002771,C0026597,AFFECTS,Analgesics,Motion,hops,npop,1,AFFECTS_HOPSafctNPOP
C0006463,C0243178,AFFECTS,busulfan,chemical properties,hops,npop,1,AFFECTS_HOPSafctNPOP
C0006506,C2717975,AFFECTS,butylated hydroxyanisole,Virus Release,hops,npop,1,AFFECTS_HOPSafctNPOP
C0014264,C1948023,AFFECTS,Endotoxins,Stimulation (motivation),hops,npop,1,AFFECTS_HOPSafctNPOP
C0014417,C0025594,AFFECTS,Environmental Pollutants,Meteorological Factors,hops,npop,1,AFFECTS_HOPSafctNPOP
C0014417,C0242689,AFFECTS,Environmental Pollutants,Convection,hops,npop,2,AFFECTS_HOPSafctNPOP
C0014417,C0806140,AFFECTS,Environmental Pollutants,Flow,hops,npop,2,AFFECTS_HOPSafctNPOP
C0014417,C1253910,AFFECTS,Environmental Pollutants,Biological Community,hops,npop,1,AFFECTS_HOPSafctNPOP
C0021576,C0162358,AFFECTS,Insecticides,Ecosystem,hops,npop,1,AFFECTS_HOPSafctNPOP
C0026879,C1563773,AFFECTS,Mutagens,Virus Viability,hops,npop,2,AFFECTS_HOPSafctNPOP
C0026955,C0038884,AFFECTS,Mycotoxins,Surface Properties,hops,npop,1,AFFECTS_HOPSafctNPOP
C0030855,C0043085,AFFECTS,Pentachlorophenol,Weather,hops,npop,1,AFFECTS_HOPSafctNPOP
C0031253,C0162358,AFFECTS,Pesticides,Ecosystem,hops,npop,1,AFFECTS_HOPSafctNPOP
C0031253,C0301630,AFFECTS,Pesticides,Reduction (chemical),hops,npop,1,AFFECTS_HOPSafctNPOP
C0032086,C3658358,AFFECTS,Phytotoxin,Allelopathy,hops,npop,1,AFFECTS_HOPSafctNPOP
C0032346,C0162358,AFFECTS,Poisons,Ecosystem,hops,npop,1,AFFECTS_HOPSafctNPOP
C0032346,C0596539,AFFECTS,Poisons,evaporation,hops,npop,1,AFFECTS_HOPSafctNPOP
C0032346,C0596583,AFFECTS,Poisons,Food Chain,hops,npop,1,AFFECTS_HOPSafctNPOP
C0034552,C0034553,AFFECTS,Radioactive Waste,Radioactivity,hops,npop,1,AFFECTS_HOPSafctNPOP
C0037366,C0020167,AFFECTS,Smoke,Humidity,hops,npop,1,AFFECTS_HOPSafctNPOP
C0038777,C0028884,AFFECTS,sulfur dioxide,Odors,hops,npop,1,AFFECTS_HOPSafctNPOP
C0039635,C3826426,AFFECTS,tetrachlorodibenzodioxin,Dynamics,hops,npop,2,AFFECTS_HOPSafctNPOP
C0048243,C0806140,AFFECTS,4-dichlorobenzene,Flow,hops,npop,1,AFFECTS_HOPSafctNPOP
C0054282,C1959569,AFFECTS,butyl phosphorotrithioate,Volatility,hops,npop,1,AFFECTS_HOPSafctNPOP
C0079483,C0013835,AFFECTS,health hazards,Electromagnetic Fields,hops,npop,1,AFFECTS_HOPSafctNPOP
C0086190,C0022702,AFFECTS,Illicit Drugs,Kinetics,hops,npop,1,AFFECTS_HOPSafctNPOP
C0178629,C0001868,AFFECTS,exhaust,Air Movements,hops,npop,1,AFFECTS_HOPSafctNPOP
C0178629,C0806140,AFFECTS,exhaust,Flow,hops,npop,2,AFFECTS_HOPSafctNPOP
C0337056,C0162358,AFFECTS,Brackish Water,Ecosystem,hops,npop,1,AFFECTS_HOPSafctNPOP
C0444414,C0020167,AFFECTS,Biocides,Humidity,hops,npop,1,AFFECTS_HOPSafctNPOP
C0444414,C0038884,AFFECTS,Biocides,Surface Properties,hops,npop,1,AFFECTS_HOPSafctNPOP
C0949307,C1138417,AFFECTS,formalin,Photobleaching,hops,npop,1,AFFECTS_HOPSafctNPOP
C0950577,C0806140,AFFECTS,Icon brand of cyhalothrin,Flow,hops,npop,1,AFFECTS_HOPSafctNPOP
C1510837,C0008946,AFFECTS,Airborne Particulate Matter,Climate,hops,npop,1,AFFECTS_HOPSafctNPOP
C2350562,C1253910,AFFECTS,Brominated Diphenyl Ethers,Biological Community,hops,npop,1,AFFECTS_HOPSafctNPOP
