cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001617,C0027627,AFFECTS,Adrenal Cortex Hormones,Neoplasm Metastasis,horm,neop,1,AFFECTS_HORMafctNEOP
C0002844,C0376358,AFFECTS,Androgens,Malignant neoplasm of prostate,horm,neop,2,AFFECTS_HORMafctNEOP
C0002844,C0598934,AFFECTS,Androgens,tumor growth,horm,neop,1,AFFECTS_HORMafctNEOP
C0008214,C2239176,AFFECTS,chlormadinone acetate,Liver carcinoma,horm,neop,2,AFFECTS_HORMafctNEOP
C0012472,C0178874,AFFECTS,dinoprostone,Tumor Progression,horm,neop,1,AFFECTS_HORMafctNEOP
C0014939,C0006826,AFFECTS,estrogens,Malignant Neoplasms,horm,neop,1,AFFECTS_HORMafctNEOP
C0014939,C0027651,AFFECTS,estrogens,Neoplasms,horm,neop,4,AFFECTS_HORMafctNEOP
C0033308,C0006826,AFFECTS,progesterone,Malignant Neoplasms,horm,neop,1,AFFECTS_HORMafctNEOP
C0040135,C0949541,AFFECTS,Thyroid Hormones,Hurthle Cell Tumor,horm,neop,1,AFFECTS_HORMafctNEOP
C0301819,C0027627,AFFECTS,Gonadal Hormones,Neoplasm Metastasis,horm,neop,1,AFFECTS_HORMafctNEOP
