cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001551,C0003261,AFFECTS,Immunologic Adjuvants,Antibody Formation,imft,biof,6,AFFECTS_IMFTafctBIOF
C0001551,C1160638,AFFECTS,Immunologic Adjuvants,Viral life cycle,imft,biof,1,AFFECTS_IMFTafctBIOF
C0001551,C4277607,AFFECTS,Immunologic Adjuvants,"Immunogenicity, Vaccine",imft,biof,4,AFFECTS_IMFTafctBIOF
C0003316,C0003261,AFFECTS,Epitopes,Antibody Formation,imft,biof,9,AFFECTS_IMFTafctBIOF
C0003316,C0042765,AFFECTS,Epitopes,Virulence,imft,biof,4,AFFECTS_IMFTafctBIOF
C0003316,C0220781,AFFECTS,Epitopes,Anabolism,imft,biof,1,AFFECTS_IMFTafctBIOF
C0003316,C1537068,AFFECTS,Epitopes,Virus Internalization,imft,biof,1,AFFECTS_IMFTafctBIOF
C0003316,C1721019,AFFECTS,Epitopes,Virus Attachment,imft,biof,11,AFFECTS_IMFTafctBIOF
C0003316,C3822293,AFFECTS,Epitopes,hydrogen biosynthetic process,imft,biof,1,AFFECTS_IMFTafctBIOF
C0003316,C4277607,AFFECTS,Epitopes,"Immunogenicity, Vaccine",imft,biof,1,AFFECTS_IMFTafctBIOF
C0003320,C0003261,AFFECTS,Antigens,Antibody Formation,imft,biof,10,AFFECTS_IMFTafctBIOF
C0003320,C0042765,AFFECTS,Antigens,Virulence,imft,biof,3,AFFECTS_IMFTafctBIOF
C0003320,C0220781,AFFECTS,Antigens,Anabolism,imft,biof,5,AFFECTS_IMFTafctBIOF
C0003320,C0232478,AFFECTS,Antigens,Ingestion,imft,biof,1,AFFECTS_IMFTafctBIOF
C0003320,C0282629,AFFECTS,Antigens,Virus Assembly,imft,biof,1,AFFECTS_IMFTafctBIOF
C0003320,C1537068,AFFECTS,Antigens,Virus Internalization,imft,biof,2,AFFECTS_IMFTafctBIOF
C0003320,C1721019,AFFECTS,Antigens,Virus Attachment,imft,biof,2,AFFECTS_IMFTafctBIOF
C0003320,C4277607,AFFECTS,Antigens,"Immunogenicity, Vaccine",imft,biof,1,AFFECTS_IMFTafctBIOF
C0003320,C5205068,AFFECTS,Antigens,Virus Reactivation,imft,biof,2,AFFECTS_IMFTafctBIOF
C0003339,C0042765,AFFECTS,Surface Antigens,Virulence,imft,biof,1,AFFECTS_IMFTafctBIOF
C0003339,C1537068,AFFECTS,Surface Antigens,Virus Internalization,imft,biof,1,AFFECTS_IMFTafctBIOF
