cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001551,C0020964,AFFECTS,Immunologic Adjuvants,Immunity,imft,phsf,2,AFFECTS_IMFTafctPHSF
C0001551,C0243144,AFFECTS,Immunologic Adjuvants,Uptake,imft,phsf,5,AFFECTS_IMFTafctPHSF
C0001697,C0020964,AFFECTS,Aeroallergen,Immunity,imft,phsf,1,AFFECTS_IMFTafctPHSF
C0001804,C0243144,AFFECTS,Agglutinins,Uptake,imft,phsf,1,AFFECTS_IMFTafctPHSF
C0002092,C0020964,AFFECTS,Allergens,Immunity,imft,phsf,1,AFFECTS_IMFTafctPHSF
C0002092,C0243144,AFFECTS,Allergens,Uptake,imft,phsf,1,AFFECTS_IMFTafctPHSF
C0003316,C0020964,AFFECTS,Epitopes,Immunity,imft,phsf,8,AFFECTS_IMFTafctPHSF
C0003316,C1328821,AFFECTS,Epitopes,tissue tropism,imft,phsf,1,AFFECTS_IMFTafctPHSF
C0003320,C0005529,AFFECTS,Antigens,"Biological Transport, Active",imft,phsf,1,AFFECTS_IMFTafctPHSF
C0003320,C0020964,AFFECTS,Antigens,Immunity,imft,phsf,12,AFFECTS_IMFTafctPHSF
C0003320,C0243144,AFFECTS,Antigens,Uptake,imft,phsf,9,AFFECTS_IMFTafctPHSF
C0003320,C1314973,AFFECTS,Antigens,Response to antigens,imft,phsf,2,AFFECTS_IMFTafctPHSF
C0003320,C3658217,AFFECTS,Antigens,"Immunity, Heterologous",imft,phsf,1,AFFECTS_IMFTafctPHSF
C0003339,C0020964,AFFECTS,Surface Antigens,Immunity,imft,phsf,1,AFFECTS_IMFTafctPHSF
C0003342,C0020964,AFFECTS,"Antigens, Viral",Immunity,imft,phsf,1,AFFECTS_IMFTafctPHSF
C0003342,C0243144,AFFECTS,"Antigens, Viral",Uptake,imft,phsf,1,AFFECTS_IMFTafctPHSF
C0003342,C3714584,AFFECTS,"Antigens, Viral","Transformation, function",imft,phsf,1,AFFECTS_IMFTafctPHSF
C0003372,C0301944,AFFECTS,Antilymphocyte Serum,Graft acceptance,imft,phsf,1,AFFECTS_IMFTafctPHSF
C0004886,C0020964,AFFECTS,BCG Vaccine,Immunity,imft,phsf,2,AFFECTS_IMFTafctPHSF
C0005525,C0020964,AFFECTS,Biological Response Modifiers,Immunity,imft,phsf,3,AFFECTS_IMFTafctPHSF
C0005525,C1512853,AFFECTS,Biological Response Modifiers,Interleukin Signaling Process,imft,phsf,1,AFFECTS_IMFTafctPHSF
C0018593,C1268869,AFFECTS,Haptens,Antigen-antibody interaction,imft,phsf,1,AFFECTS_IMFTafctPHSF
C0019168,C2242456,AFFECTS,Hepatitis B Surface Antigens,thyroid function,imft,phsf,1,AFFECTS_IMFTafctPHSF
