cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002055,C0010813,AFFECTS,Alkalies,Cytokinesis,inch,celf,1,AFFECTS_INCHafctCELF
C0002607,C3157013,AFFECTS,ammonia,phagosome-lysosome fusion,inch,celf,1,AFFECTS_INCHafctCELF
C0002615,C0042774,AFFECTS,ammonium chloride,Virus Replication,inch,celf,2,AFFECTS_INCHafctCELF
C0002615,C1160657,AFFECTS,ammonium chloride,Virus Uncoating,inch,celf,1,AFFECTS_INCHafctCELF
C0005367,C4691179,AFFECTS,Bicarbonates,hydrogen ion transport,inch,celf,1,AFFECTS_INCHafctCELF
C0008203,C0596290,AFFECTS,Chlorides,Cell Proliferation,inch,celf,1,AFFECTS_INCHafctCELF
C0008838,C0162638,AFFECTS,cisplatin,Apoptosis,inch,celf,4,AFFECTS_INCHafctCELF
C0008838,C0596290,AFFECTS,cisplatin,Cell Proliferation,inch,celf,1,AFFECTS_INCHafctCELF
C0008838,C1512772,AFFECTS,cisplatin,Negative Regulation of Apoptosis,inch,celf,1,AFFECTS_INCHafctCELF
C0013832,C1155229,AFFECTS,Electrolytes,Humoral immune response,inch,celf,2,AFFECTS_INCHafctCELF
C0013832,C1327616,AFFECTS,Electrolytes,Cell secretion,inch,celf,1,AFFECTS_INCHafctCELF
C0020281,C1523116,AFFECTS,hydrogen peroxide,positive regulation of NF-kappaB transcription factor activity,inch,celf,1,AFFECTS_INCHafctCELF
C0020281,C2610947,AFFECTS,hydrogen peroxide,mucus secretion,inch,celf,1,AFFECTS_INCHafctCELF
C0020746,C0031308,AFFECTS,Ice,Phagocytosis,inch,celf,1,AFFECTS_INCHafctCELF
C0021966,C0042774,AFFECTS,Iodides,Virus Replication,inch,celf,1,AFFECTS_INCHafctCELF
C0025552,C0010813,AFFECTS,Metals,Cytokinesis,inch,celf,2,AFFECTS_INCHafctCELF
C0025552,C0037083,AFFECTS,Metals,Signal Transduction,inch,celf,1,AFFECTS_INCHafctCELF
C0031603,C0004391,AFFECTS,Phosphates,Autophagy,inch,celf,1,AFFECTS_INCHafctCELF
C0031730,C1160700,AFFECTS,Phosphotungstic Acid,viral gene expression,inch,celf,1,AFFECTS_INCHafctCELF
C0036085,C0010813,AFFECTS,"Saline Solution, Hypertonic",Cytokinesis,inch,celf,1,AFFECTS_INCHafctCELF
C0038720,C0032176,AFFECTS,"Sulfates, Inorganic",Platelet aggregation,inch,celf,1,AFFECTS_INCHafctCELF
C0043047,C0007613,AFFECTS,water,Cell physiology,inch,celf,2,AFFECTS_INCHafctCELF
C0043047,C1160716,AFFECTS,water,viral transmission,inch,celf,1,AFFECTS_INCHafctCELF
C0055863,C0042774,AFFECTS,clay,Virus Replication,inch,celf,1,AFFECTS_INCHafctCELF
C0063146,C2610947,AFFECTS,Hydroxyl Radical,mucus secretion,inch,celf,1,AFFECTS_INCHafctCELF
C0074725,C0007587,AFFECTS,sodium bisulfide,Cell Death,inch,celf,1,AFFECTS_INCHafctCELF
C0142923,C0312860,AFFECTS,sodium selenite,"Neutrophil migration, function",inch,celf,1,AFFECTS_INCHafctCELF
C0146894,C0037083,AFFECTS,triphosphate,Signal Transduction,inch,celf,1,AFFECTS_INCHafctCELF
C0206443,C1159527,AFFECTS,Vanadium Compounds,glucose uptake,inch,celf,1,AFFECTS_INCHafctCELF
C0206443,C1512772,AFFECTS,Vanadium Compounds,Negative Regulation of Apoptosis,inch,celf,1,AFFECTS_INCHafctCELF
C0206443,C3546359,AFFECTS,Vanadium Compounds,pro-apoptosis,inch,celf,1,AFFECTS_INCHafctCELF
C0208291,C0596873,AFFECTS,biotite,lymphocyte proliferation,inch,celf,1,AFFECTS_INCHafctCELF
C0596072,C0032176,AFFECTS,amino group,Platelet aggregation,inch,celf,1,AFFECTS_INCHafctCELF
C0700307,C0010813,AFFECTS,hydroxyl group,Cytokinesis,inch,celf,2,AFFECTS_INCHafctCELF
C0969698,C0007613,AFFECTS,Reactive Nitrogen Species,Cell physiology,inch,celf,2,AFFECTS_INCHafctCELF
C1512523,C0042774,AFFECTS,hydrochloride,Virus Replication,inch,celf,1,AFFECTS_INCHafctCELF
