cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004268,C0026391,AFFECTS,Attention,Mollusca,menp,euka,1,AFFECTS_MENPafctEUKA
C0004268,C0026584,AFFECTS,Attention,Culicidae,menp,euka,1,AFFECTS_MENPafctEUKA
C0004268,C0030498,AFFECTS,Attention,Parasites,menp,euka,1,AFFECTS_MENPafctEUKA
C0004268,C1067936,AFFECTS,Attention,Phasis,menp,euka,2,AFFECTS_MENPafctEUKA
C0004268,C5113432,AFFECTS,Attention,Episteme,menp,euka,1,AFFECTS_MENPafctEUKA
C0004271,C4277713,AFFECTS,Attitude,Mosquito Vectors,menp,euka,1,AFFECTS_MENPafctEUKA
C0004448,C1067936,AFFECTS,Awareness,Phasis,menp,euka,1,AFFECTS_MENPafctEUKA
C0020039,C3309850,AFFECTS,Hostility,Gaza,menp,euka,1,AFFECTS_MENPafctEUKA
C0030971,C4317064,AFFECTS,Perception,Microtis <sea snail>,menp,euka,1,AFFECTS_MENPafctEUKA
C0034770,C1067936,AFFECTS,Mental Recall,Phasis,menp,euka,1,AFFECTS_MENPafctEUKA
C0175631,C0012578,AFFECTS,Imagery,Diptera,menp,euka,1,AFFECTS_MENPafctEUKA
C0233820,C0026584,AFFECTS,Insight,Culicidae,menp,euka,1,AFFECTS_MENPafctEUKA
C0233820,C1028706,AFFECTS,Insight,Hero,menp,euka,1,AFFECTS_MENPafctEUKA
C0237607,C1067936,AFFECTS,Practice Experience,Phasis,menp,euka,1,AFFECTS_MENPafctEUKA
C0237607,C4277713,AFFECTS,Practice Experience,Mosquito Vectors,menp,euka,1,AFFECTS_MENPafctEUKA
C0543488,C0030498,AFFECTS,Interested,Parasites,menp,euka,1,AFFECTS_MENPafctEUKA
C0543488,C1225105,AFFECTS,Interested,Sia,menp,euka,1,AFFECTS_MENPafctEUKA
C0543488,C3053990,AFFECTS,Interested,Corona,menp,euka,1,AFFECTS_MENPafctEUKA
C0546816,C0562634,AFFECTS,Persistence,Ectozoic parasite,menp,euka,1,AFFECTS_MENPafctEUKA
C0558058,C3053990,AFFECTS,Reflecting,Corona,menp,euka,2,AFFECTS_MENPafctEUKA
C0679006,C0018893,AFFECTS,Decision,Helminths,menp,euka,1,AFFECTS_MENPafctEUKA
C0679006,C1067936,AFFECTS,Decision,Phasis,menp,euka,2,AFFECTS_MENPafctEUKA
C0679006,C5113432,AFFECTS,Decision,Episteme,menp,euka,1,AFFECTS_MENPafctEUKA
C0679199,C0018882,AFFECTS,Strategy,Helix (Snails),menp,euka,1,AFFECTS_MENPafctEUKA
C0679199,C0023047,AFFECTS,Strategy,Larva,menp,euka,1,AFFECTS_MENPafctEUKA
C0679199,C0026584,AFFECTS,Strategy,Culicidae,menp,euka,1,AFFECTS_MENPafctEUKA
C0684328,C1067936,AFFECTS,Reasoning,Phasis,menp,euka,1,AFFECTS_MENPafctEUKA
C0870339,C4597943,AFFECTS,connotations,Aon,menp,euka,1,AFFECTS_MENPafctEUKA
C0871786,C0030498,AFFECTS,internalization,Parasites,menp,euka,1,AFFECTS_MENPafctEUKA
