cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003467,C0013463,AFFECTS,Anxiety,Earthquakes,mobd,npop,1,AFFECTS_MOBDafctNPOP
C0003467,C0162358,AFFECTS,Anxiety,Ecosystem,mobd,npop,1,AFFECTS_MOBDafctNPOP
C0003467,C0598197,AFFECTS,Anxiety,contagion,mobd,npop,3,AFFECTS_MOBDafctNPOP
C0003467,C0678544,AFFECTS,Anxiety,wave - physical agent,mobd,npop,1,AFFECTS_MOBDafctNPOP
C0003467,C0679215,AFFECTS,Anxiety,health and disease,mobd,npop,3,AFFECTS_MOBDafctNPOP
C0003467,C0851346,AFFECTS,Anxiety,Radiation,mobd,npop,1,AFFECTS_MOBDafctNPOP
C0003467,C0871974,AFFECTS,Anxiety,environmental effects,mobd,npop,1,AFFECTS_MOBDafctNPOP
C0004936,C0027485,AFFECTS,Mental disorders,Natural Disasters,mobd,npop,1,AFFECTS_MOBDafctNPOP
C0009676,C1253910,AFFECTS,Confusion,Biological Community,mobd,npop,1,AFFECTS_MOBDafctNPOP
C0011570,C0043187,AFFECTS,Mental Depression,Environmental Wind,mobd,npop,1,AFFECTS_MOBDafctNPOP
C0021122,C0162691,AFFECTS,"Disruptive, Impulse Control, and Conduct Disorders",Friction,mobd,npop,1,AFFECTS_MOBDafctNPOP
C0031873,C0043085,AFFECTS,Pica Disease,Weather,mobd,npop,1,AFFECTS_MOBDafctNPOP
C0036341,C0031164,AFFECTS,Schizophrenia,Permeability,mobd,npop,1,AFFECTS_MOBDafctNPOP
C0038436,C0013463,AFFECTS,Post-Traumatic Stress Disorder,Earthquakes,mobd,npop,1,AFFECTS_MOBDafctNPOP
C0038441,C0238617,AFFECTS,"Stress Disorders, Traumatic",High altitude (physical force),mobd,npop,1,AFFECTS_MOBDafctNPOP
C0038443,C3826426,AFFECTS,"Stress, Psychological",Dynamics,mobd,npop,1,AFFECTS_MOBDafctNPOP
C0042693,C2718051,AFFECTS,Violence,Climate Change,mobd,npop,1,AFFECTS_MOBDafctNPOP
C0042693,C3826426,AFFECTS,Violence,Dynamics,mobd,npop,1,AFFECTS_MOBDafctNPOP
C0086168,C0007382,AFFECTS,Dissociation,Catalysis,mobd,npop,1,AFFECTS_MOBDafctNPOP
C0086168,C0020276,AFFECTS,Dissociation,Hydrogen Bonding,mobd,npop,1,AFFECTS_MOBDafctNPOP
C0206073,C0027485,AFFECTS,Domestic Violence,Natural Disasters,mobd,npop,1,AFFECTS_MOBDafctNPOP
C0233459,C0038817,AFFECTS,Emotional disorder,Sunlight,mobd,npop,1,AFFECTS_MOBDafctNPOP
C0233494,C0022702,AFFECTS,Tension,Kinetics,mobd,npop,1,AFFECTS_MOBDafctNPOP
C0233494,C0031164,AFFECTS,Tension,Permeability,mobd,npop,1,AFFECTS_MOBDafctNPOP
C0233494,C1959569,AFFECTS,Tension,Volatility,mobd,npop,1,AFFECTS_MOBDafctNPOP
C0233514,C3178977,AFFECTS,Abnormal behavior,Aquifers,mobd,npop,1,AFFECTS_MOBDafctNPOP
C0233514,C3826426,AFFECTS,Abnormal behavior,Dynamics,mobd,npop,6,AFFECTS_MOBDafctNPOP
C0344315,C0008946,AFFECTS,Depressed mood,Climate,mobd,npop,1,AFFECTS_MOBDafctNPOP
C0344323,C0596836,AFFECTS,Flashing,Light intensity,mobd,npop,1,AFFECTS_MOBDafctNPOP
C0424295,C0042333,AFFECTS,Hyperactive behavior,Variation (Genetics),mobd,npop,1,AFFECTS_MOBDafctNPOP
C0815107,C0851346,AFFECTS,Psychological Distress,Radiation,mobd,npop,1,AFFECTS_MOBDafctNPOP
C0851578,C0023693,AFFECTS,Sleep Disorders,Light,mobd,npop,1,AFFECTS_MOBDafctNPOP
