cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001956,C0020964,AFFECTS,Alcohol Use Disorder,Immunity,mobd,phsf,1,AFFECTS_MOBDafctPHSF
C0001956,C0035245,AFFECTS,Alcohol Use Disorder,Respiratory physiology,mobd,phsf,1,AFFECTS_MOBDafctPHSF
C0001973,C0020964,AFFECTS,"Alcoholic Intoxication, Chronic",Immunity,mobd,phsf,1,AFFECTS_MOBDafctPHSF
C0003467,C0020964,AFFECTS,Anxiety,Immunity,mobd,phsf,3,AFFECTS_MOBDafctPHSF
C0003467,C0149784,AFFECTS,Anxiety,biological adaptation to stress,mobd,phsf,1,AFFECTS_MOBDafctPHSF
C0003467,C2350025,AFFECTS,Anxiety,Physiological Stress Response,mobd,phsf,1,AFFECTS_MOBDafctPHSF
C0004936,C0020964,AFFECTS,Mental disorders,Immunity,mobd,phsf,2,AFFECTS_MOBDafctPHSF
C0009676,C0678209,AFFECTS,Confusion,Adaptive Immunity,mobd,phsf,1,AFFECTS_MOBDafctPHSF
C0011581,C0020964,AFFECTS,Depressive disorder,Immunity,mobd,phsf,2,AFFECTS_MOBDafctPHSF
C0030975,C0243144,AFFECTS,Perceptual Disorders,Uptake,mobd,phsf,1,AFFECTS_MOBDafctPHSF
C0038443,C0020964,AFFECTS,"Stress, Psychological",Immunity,mobd,phsf,1,AFFECTS_MOBDafctPHSF
C0085762,C0035245,AFFECTS,Alcohol abuse,Respiratory physiology,mobd,phsf,1,AFFECTS_MOBDafctPHSF
C0221765,C0542478,AFFECTS,Chronic schizophrenia,Response to stimulus physiology,mobd,phsf,1,AFFECTS_MOBDafctPHSF
C0233494,C0149784,AFFECTS,Tension,biological adaptation to stress,mobd,phsf,1,AFFECTS_MOBDafctPHSF
C0233514,C0243144,AFFECTS,Abnormal behavior,Uptake,mobd,phsf,1,AFFECTS_MOBDafctPHSF
C0236816,C0149784,AFFECTS,"Stress Disorders, Traumatic, Acute",biological adaptation to stress,mobd,phsf,1,AFFECTS_MOBDafctPHSF
C0700201,C2945675,AFFECTS,Dyssomnias,metabolic effects,mobd,phsf,1,AFFECTS_MOBDafctPHSF
C0748073,C0678209,AFFECTS,psychosocial stressor,Adaptive Immunity,mobd,phsf,1,AFFECTS_MOBDafctPHSF
