cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001430,C0019868,AFFECTS,Adenoma,Homeostasis,neop,biof,1,AFFECTS_NEOPafctBIOF
C0006826,C0013203,AFFECTS,Malignant Neoplasms,Drug resistance,neop,biof,1,AFFECTS_NEOPafctBIOF
C0006826,C0019868,AFFECTS,Malignant Neoplasms,Homeostasis,neop,biof,1,AFFECTS_NEOPafctBIOF
C0006826,C0220781,AFFECTS,Malignant Neoplasms,Anabolism,neop,biof,4,AFFECTS_NEOPafctBIOF
C0006826,C3714634,AFFECTS,Malignant Neoplasms,Biological Processes,neop,biof,2,AFFECTS_NEOPafctBIOF
C0007117,C1818642,AFFECTS,Basal cell carcinoma,biological adhesion,neop,biof,1,AFFECTS_NEOPafctBIOF
C0007621,C3714634,AFFECTS,Neoplastic Cell Transformation,Biological Processes,neop,biof,1,AFFECTS_NEOPafctBIOF
C0014522,C0042765,AFFECTS,Epidermodysplasia Verruciformis,Virulence,neop,biof,1,AFFECTS_NEOPafctBIOF
C0023418,C0085224,AFFECTS,leukemia,Virus Integration,neop,biof,1,AFFECTS_NEOPafctBIOF
C0023473,C0220781,AFFECTS,"Myeloid Leukemia, Chronic",Anabolism,neop,biof,1,AFFECTS_NEOPafctBIOF
C0027627,C0003261,AFFECTS,Neoplasm Metastasis,Antibody Formation,neop,biof,1,AFFECTS_NEOPafctBIOF
C0027627,C0013203,AFFECTS,Neoplasm Metastasis,Drug resistance,neop,biof,1,AFFECTS_NEOPafctBIOF
C0027627,C0220781,AFFECTS,Neoplasm Metastasis,Anabolism,neop,biof,1,AFFECTS_NEOPafctBIOF
C0027627,C0232478,AFFECTS,Neoplasm Metastasis,Ingestion,neop,biof,1,AFFECTS_NEOPafctBIOF
C0027627,C0520989,AFFECTS,Neoplasm Metastasis,Viral resistance,neop,biof,1,AFFECTS_NEOPafctBIOF
C0027627,C1327622,AFFECTS,Neoplasm Metastasis,Regulation of biological process,neop,biof,2,AFFECTS_NEOPafctBIOF
C0027627,C1537068,AFFECTS,Neoplasm Metastasis,Virus Internalization,neop,biof,2,AFFECTS_NEOPafctBIOF
C0027651,C0019868,AFFECTS,Neoplasms,Homeostasis,neop,biof,1,AFFECTS_NEOPafctBIOF
C0027651,C0220781,AFFECTS,Neoplasms,Anabolism,neop,biof,3,AFFECTS_NEOPafctBIOF
C0032463,C0042765,AFFECTS,Polycythemia Vera,Virulence,neop,biof,1,AFFECTS_NEOPafctBIOF
C0206655,C0003261,AFFECTS,Alveolar rhabdomyosarcoma,Antibody Formation,neop,biof,1,AFFECTS_NEOPafctBIOF
C0206655,C0220781,AFFECTS,Alveolar rhabdomyosarcoma,Anabolism,neop,biof,1,AFFECTS_NEOPafctBIOF
C0206695,C1537068,AFFECTS,"Carcinoma, Neuroendocrine",Virus Internalization,neop,biof,1,AFFECTS_NEOPafctBIOF
C0280100,C1537068,AFFECTS,Solid Neoplasm,Virus Internalization,neop,biof,1,AFFECTS_NEOPafctBIOF
C0334463,C0596824,AFFECTS,Malignant Fibrous Histiocytoma,latent virus infection process,neop,biof,1,AFFECTS_NEOPafctBIOF
C0334463,C3714634,AFFECTS,Malignant Fibrous Histiocytoma,Biological Processes,neop,biof,1,AFFECTS_NEOPafctBIOF
C0376545,C0003261,AFFECTS,Hematologic Neoplasms,Antibody Formation,neop,biof,1,AFFECTS_NEOPafctBIOF
C0596263,C3714634,AFFECTS,Carcinogenesis,Biological Processes,neop,biof,1,AFFECTS_NEOPafctBIOF
C0920616,C0220781,AFFECTS,neoplasm regression,Anabolism,neop,biof,1,AFFECTS_NEOPafctBIOF
C1266025,C0220781,AFFECTS,Traditional Serrated Adenoma,Anabolism,neop,biof,1,AFFECTS_NEOPafctBIOF
C1292780,C0282629,AFFECTS,Therapy-related myelodysplastic syndrome,Virus Assembly,neop,biof,1,AFFECTS_NEOPafctBIOF
C1333394,C0220781,AFFECTS,Endometrial intraepithelial neoplasia,Anabolism,neop,biof,1,AFFECTS_NEOPafctBIOF
C2939419,C0220781,AFFECTS,Secondary Neoplasm,Anabolism,neop,biof,1,AFFECTS_NEOPafctBIOF
