cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001815,C0009637,AFFECTS,Primary Myelofibrosis,Conception,neop,orgf,1,AFFECTS_NEOPafctORGF
C0002793,C0596570,AFFECTS,Anaplasia,fibrogenesis,neop,orgf,1,AFFECTS_NEOPafctORGF
C0006142,C0014653,AFFECTS,Malignant neoplasm of breast,Equilibrium,neop,orgf,1,AFFECTS_NEOPafctORGF
C0006826,C0000934,AFFECTS,Malignant Neoplasms,Acclimatization,neop,orgf,1,AFFECTS_NEOPafctORGF
C0006826,C0001811,AFFECTS,Malignant Neoplasms,Aging,neop,orgf,2,AFFECTS_NEOPafctORGF
C0006826,C0004048,AFFECTS,Malignant Neoplasms,Inspiration function,neop,orgf,1,AFFECTS_NEOPafctORGF
C0006826,C0005823,AFFECTS,Malignant Neoplasms,Blood Pressure,neop,orgf,1,AFFECTS_NEOPafctORGF
C0006826,C0011065,AFFECTS,Malignant Neoplasms,Cessation of life,neop,orgf,4,AFFECTS_NEOPafctORGF
C0006826,C0012238,AFFECTS,Malignant Neoplasms,Digestion,neop,orgf,1,AFFECTS_NEOPafctORGF
C0006826,C0014653,AFFECTS,Malignant Neoplasms,Equilibrium,neop,orgf,1,AFFECTS_NEOPafctORGF
C0006826,C0015895,AFFECTS,Malignant Neoplasms,Fertility,neop,orgf,2,AFFECTS_NEOPafctORGF
C0006826,C0018270,AFFECTS,Malignant Neoplasms,Growth,neop,orgf,1,AFFECTS_NEOPafctORGF
C0006826,C0021059,AFFECTS,Malignant Neoplasms,Immunologic Surveillance,neop,orgf,2,AFFECTS_NEOPafctORGF
C0006826,C0021080,AFFECTS,Malignant Neoplasms,Natural immunosuppression,neop,orgf,1,AFFECTS_NEOPafctORGF
C0006826,C0025519,AFFECTS,Malignant Neoplasms,Metabolism,neop,orgf,1,AFFECTS_NEOPafctORGF
C0006826,C0035150,AFFECTS,Malignant Neoplasms,Reproduction,neop,orgf,2,AFFECTS_NEOPafctORGF
C0006826,C0678889,AFFECTS,Malignant Neoplasms,Immunoregulation,neop,orgf,1,AFFECTS_NEOPafctORGF
C0006826,C0814002,AFFECTS,Malignant Neoplasms,Neurogenesis,neop,orgf,1,AFFECTS_NEOPafctORGF
C0006826,C1148523,AFFECTS,Malignant Neoplasms,Childbirth,neop,orgf,1,AFFECTS_NEOPafctORGF
C0006826,C1654934,AFFECTS,Malignant Neoplasms,Immune Evasion,neop,orgf,1,AFFECTS_NEOPafctORGF
C0007621,C0025519,AFFECTS,Neoplastic Cell Transformation,Metabolism,neop,orgf,1,AFFECTS_NEOPafctORGF
C0007621,C0596236,AFFECTS,Neoplastic Cell Transformation,calcium metabolism,neop,orgf,1,AFFECTS_NEOPafctORGF
C0007847,C0011065,AFFECTS,Malignant tumor of cervix,Cessation of life,neop,orgf,1,AFFECTS_NEOPafctORGF
C0018809,C0011065,AFFECTS,Heart Neoplasm,Cessation of life,neop,orgf,1,AFFECTS_NEOPafctORGF
C0019829,C0011065,AFFECTS,Hodgkin Disease,Cessation of life,neop,orgf,1,AFFECTS_NEOPafctORGF
C0023467,C0000934,AFFECTS,"Leukemia, Myelocytic, Acute",Acclimatization,neop,orgf,1,AFFECTS_NEOPafctORGF
C0023486,C1148523,AFFECTS,Prolymphocytic Leukemia,Childbirth,neop,orgf,1,AFFECTS_NEOPafctORGF
C0023903,C0005823,AFFECTS,Liver neoplasms,Blood Pressure,neop,orgf,1,AFFECTS_NEOPafctORGF
C0024299,C0011065,AFFECTS,Lymphoma,Cessation of life,neop,orgf,2,AFFECTS_NEOPafctORGF
C0025202,C0018270,AFFECTS,melanoma,Growth,neop,orgf,1,AFFECTS_NEOPafctORGF
C0026987,C1327413,AFFECTS,Myelofibrosis,cytokine production,neop,orgf,1,AFFECTS_NEOPafctORGF
C0027627,C0011065,AFFECTS,Neoplasm Metastasis,Cessation of life,neop,orgf,3,AFFECTS_NEOPafctORGF
C0027627,C0032961,AFFECTS,Neoplasm Metastasis,Pregnancy,neop,orgf,1,AFFECTS_NEOPafctORGF
C0027627,C0596236,AFFECTS,Neoplasm Metastasis,calcium metabolism,neop,orgf,1,AFFECTS_NEOPafctORGF
C0027627,C0678889,AFFECTS,Neoplasm Metastasis,Immunoregulation,neop,orgf,1,AFFECTS_NEOPafctORGF
C0027627,C1516559,AFFECTS,Neoplasm Metastasis,Circulatory Process,neop,orgf,1,AFFECTS_NEOPafctORGF
C0027651,C0011065,AFFECTS,Neoplasms,Cessation of life,neop,orgf,1,AFFECTS_NEOPafctORGF
C0027651,C0018270,AFFECTS,Neoplasms,Growth,neop,orgf,4,AFFECTS_NEOPafctORGF
C0027651,C0021059,AFFECTS,Neoplasms,Immunologic Surveillance,neop,orgf,2,AFFECTS_NEOPafctORGF
C0027651,C0035150,AFFECTS,Neoplasms,Reproduction,neop,orgf,1,AFFECTS_NEOPafctORGF
C0027651,C0042789,AFFECTS,Neoplasms,Vision,neop,orgf,1,AFFECTS_NEOPafctORGF
C0027651,C0678889,AFFECTS,Neoplasms,Immunoregulation,neop,orgf,1,AFFECTS_NEOPafctORGF
C0027651,C1148523,AFFECTS,Neoplasms,Childbirth,neop,orgf,2,AFFECTS_NEOPafctORGF
C0032580,C0001811,AFFECTS,Adenomatous Polyposis Coli,Aging,neop,orgf,1,AFFECTS_NEOPafctORGF
C0032580,C0678723,AFFECTS,Adenomatous Polyposis Coli,Biologic Development,neop,orgf,1,AFFECTS_NEOPafctORGF
C0032580,C0699900,AFFECTS,Adenomatous Polyposis Coli,Catabolism,neop,orgf,1,AFFECTS_NEOPafctORGF
C0032580,C1327413,AFFECTS,Adenomatous Polyposis Coli,cytokine production,neop,orgf,1,AFFECTS_NEOPafctORGF
C0032927,C0011065,AFFECTS,Precancerous Conditions,Cessation of life,neop,orgf,1,AFFECTS_NEOPafctORGF
C0153381,C0024888,AFFECTS,Malignant neoplasm of mouth,Chewing,neop,orgf,1,AFFECTS_NEOPafctORGF
C0205770,C1148523,AFFECTS,Choroid Plexus Papilloma,Childbirth,neop,orgf,18,AFFECTS_NEOPafctORGF
C0206655,C1749719,AFFECTS,Alveolar rhabdomyosarcoma,Adaptive Immune Response,neop,orgf,1,AFFECTS_NEOPafctORGF
C0206695,C0011065,AFFECTS,"Carcinoma, Neuroendocrine",Cessation of life,neop,orgf,1,AFFECTS_NEOPafctORGF
C0206695,C0678723,AFFECTS,"Carcinoma, Neuroendocrine",Biologic Development,neop,orgf,1,AFFECTS_NEOPafctORGF
C0242379,C0011065,AFFECTS,Malignant neoplasm of lung,Cessation of life,neop,orgf,1,AFFECTS_NEOPafctORGF
C0334108,C0037361,AFFECTS,Multiple polyps,Smell Perception,neop,orgf,1,AFFECTS_NEOPafctORGF
C0334463,C0560560,AFFECTS,Malignant Fibrous Histiocytoma,Moving,neop,orgf,1,AFFECTS_NEOPafctORGF
C0334463,C0699900,AFFECTS,Malignant Fibrous Histiocytoma,Catabolism,neop,orgf,5,AFFECTS_NEOPafctORGF
C0343079,C0012238,AFFECTS,"Milia, Multiple Eruptive",Digestion,neop,orgf,1,AFFECTS_NEOPafctORGF
C0376545,C0020967,AFFECTS,Hematologic Neoplasms,Humoral Immunity,neop,orgf,1,AFFECTS_NEOPafctORGF
C0376545,C0678889,AFFECTS,Hematologic Neoplasms,Immunoregulation,neop,orgf,1,AFFECTS_NEOPafctORGF
C0431128,C0020966,AFFECTS,Papillary craniopharyngioma,Cellular Immunity,neop,orgf,1,AFFECTS_NEOPafctORGF
C0431129,C0001811,AFFECTS,Adamantinous Craniopharyngioma,Aging,neop,orgf,1,AFFECTS_NEOPafctORGF
C0431129,C0011065,AFFECTS,Adamantinous Craniopharyngioma,Cessation of life,neop,orgf,2,AFFECTS_NEOPafctORGF
C0431129,C0014653,AFFECTS,Adamantinous Craniopharyngioma,Equilibrium,neop,orgf,1,AFFECTS_NEOPafctORGF
