cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000661,C0229579,AFFECTS,8-Bromo Cyclic Adenosine Monophosphate,Structure of thyroid parafollicular cell,nnon,cell,1,AFFECTS_NNONafctCELL
C0001367,C0596890,AFFECTS,acyclovir,MCF-7 Cells,nnon,cell,1,AFFECTS_NNONafctCELL
C0001367,C1512505,AFFECTS,acyclovir,Breast Cancer Cell,nnon,cell,1,AFFECTS_NNONafctCELL
C0006556,C0009013,AFFECTS,"DNA, Complementary",Clone Cells,nnon,cell,1,AFFECTS_NNONafctCELL
C0006556,C1257739,AFFECTS,"DNA, Complementary",NIH 3T3 Cells,nnon,cell,1,AFFECTS_NNONafctCELL
C0006556,C1512977,AFFECTS,"DNA, Complementary",Mammalian Cell,nnon,cell,1,AFFECTS_NNONafctCELL
C0010734,C0301863,AFFECTS,Cytidine Triphosphate,U lymphocyte,nnon,cell,1,AFFECTS_NNONafctCELL
C0012054,C0004112,AFFECTS,Bucladesine,Astrocytes,nnon,cell,3,AFFECTS_NNONafctCELL
C0012939,C1512977,AFFECTS,"DNA, Viral",Mammalian Cell,nnon,cell,1,AFFECTS_NNONafctCELL
C0016360,C0018873,AFFECTS,fluorouracil,HeLa Cells,nnon,cell,1,AFFECTS_NNONafctCELL
C0016360,C0085983,AFFECTS,fluorouracil,"Cell Line, Tumor",nnon,cell,1,AFFECTS_NNONafctCELL
C0023978,C1512977,AFFECTS,Long Terminal Repeat,Mammalian Cell,nnon,cell,1,AFFECTS_NNONafctCELL
C0028953,C0027882,AFFECTS,Oligonucleotides,Neurons,nnon,cell,1,AFFECTS_NNONafctCELL
C0032414,C0024264,AFFECTS,Poly I-C,Lymphocyte,nnon,cell,1,AFFECTS_NNONafctCELL
C0033755,C0014597,AFFECTS,Proviruses,Epithelial Cells,nnon,cell,1,AFFECTS_NNONafctCELL
C0033755,C4330475,AFFECTS,Proviruses,Immune Cell,nnon,cell,1,AFFECTS_NNONafctCELL
C0035525,C0018894,AFFECTS,ribavirin,Helper-Inducer T-Lymphocyte,nnon,cell,1,AFFECTS_NNONafctCELL
C0035525,C0024432,AFFECTS,ribavirin,macrophage,nnon,cell,1,AFFECTS_NNONafctCELL
C0035525,C0221284,AFFECTS,ribavirin,Leptocyte,nnon,cell,1,AFFECTS_NNONafctCELL
C0035736,C0018873,AFFECTS,"RNA, Viral",HeLa Cells,nnon,cell,1,AFFECTS_NNONafctCELL
C0035736,C0039194,AFFECTS,"RNA, Viral",T-Lymphocyte,nnon,cell,1,AFFECTS_NNONafctCELL
C0035736,C0524984,AFFECTS,"RNA, Viral",Somatostatin-Secreting Cells,nnon,cell,1,AFFECTS_NNONafctCELL
C0043474,C0014597,AFFECTS,zidovudine,Epithelial Cells,nnon,cell,1,AFFECTS_NNONafctCELL
C0045143,C0229613,AFFECTS,"2',5'-oligoadenylate",lymphoblast,nnon,cell,1,AFFECTS_NNONafctCELL
C0045143,C0682538,AFFECTS,"2',5'-oligoadenylate",intact cell,nnon,cell,1,AFFECTS_NNONafctCELL
C0050063,C0014597,AFFECTS,8-chloro-cyclic adenosine monophosphate,Epithelial Cells,nnon,cell,1,AFFECTS_NNONafctCELL
C0056331,C0206441,AFFECTS,cordycepin,Pyramidal Cells,nnon,cell,1,AFFECTS_NNONafctCELL
C0071360,C0227525,AFFECTS,"5'-Inosinic acid, 2'-deoxy-2'-fluoro-, homopolymer",Hepatocyte,nnon,cell,1,AFFECTS_NNONafctCELL
C0073432,C3826603,AFFECTS,"RNA, Circular",Cell metabolism,nnon,cell,1,AFFECTS_NNONafctCELL
C0073432,C4330475,AFFECTS,"RNA, Circular",Immune Cell,nnon,cell,1,AFFECTS_NNONafctCELL
C0075739,C3178867,AFFECTS,T-DNA,Plant Cells,nnon,cell,1,AFFECTS_NNONafctCELL
C0283683,C0596981,AFFECTS,NAADP,Muscle Cells,nnon,cell,1,AFFECTS_NNONafctCELL
C0599013,C0024432,AFFECTS,Aptamer,macrophage,nnon,cell,1,AFFECTS_NNONafctCELL
C0599566,C0009013,AFFECTS,expression vector,Clone Cells,nnon,cell,2,AFFECTS_NNONafctCELL
C0599566,C0677626,AFFECTS,expression vector,hepatoma cell,nnon,cell,1,AFFECTS_NNONafctCELL
C0887909,C1523993,AFFECTS,"RNA, Untranslated",Leukocyte - Monocyte - Macrophage (MMHCC),nnon,cell,1,AFFECTS_NNONafctCELL
C0887909,C4330475,AFFECTS,"RNA, Untranslated",Immune Cell,nnon,cell,1,AFFECTS_NNONafctCELL
C0914671,C4330475,AFFECTS,CPG-ODN,Immune Cell,nnon,cell,1,AFFECTS_NNONafctCELL
C1514926,C0038250,AFFECTS,Retroviral Vector,Stem cells,nnon,cell,1,AFFECTS_NNONafctCELL
C1514926,C0221284,AFFECTS,Retroviral Vector,Leptocyte,nnon,cell,1,AFFECTS_NNONafctCELL
C1514926,C1512899,AFFECTS,Retroviral Vector,Interphase Cell,nnon,cell,2,AFFECTS_NNONafctCELL
C1519595,C0022688,AFFECTS,Transcript,Natural Killer Cells,nnon,cell,1,AFFECTS_NNONafctCELL
C2930586,C0038250,AFFECTS,Short Hairpin RNA,Stem cells,nnon,cell,1,AFFECTS_NNONafctCELL
C2930586,C0039194,AFFECTS,Short Hairpin RNA,T-Lymphocyte,nnon,cell,1,AFFECTS_NNONafctCELL
C2930586,C0042542,AFFECTS,Short Hairpin RNA,Vero Cells,nnon,cell,1,AFFECTS_NNONafctCELL
C2930586,C1512977,AFFECTS,Short Hairpin RNA,Mammalian Cell,nnon,cell,1,AFFECTS_NNONafctCELL
C2982391,C0039194,AFFECTS,Long Intergenic Non-Protein Coding RNA,T-Lymphocyte,nnon,cell,2,AFFECTS_NNONafctCELL
C2982391,C0206116,AFFECTS,Long Intergenic Non-Protein Coding RNA,Microglia,nnon,cell,1,AFFECTS_NNONafctCELL
C2982391,C0524984,AFFECTS,Long Intergenic Non-Protein Coding RNA,Somatostatin-Secreting Cells,nnon,cell,2,AFFECTS_NNONafctCELL
C2982391,C1519658,AFFECTS,Long Intergenic Non-Protein Coding RNA,Trophoblast cell,nnon,cell,1,AFFECTS_NNONafctCELL
C2982391,C4330475,AFFECTS,Long Intergenic Non-Protein Coding RNA,Immune Cell,nnon,cell,2,AFFECTS_NNONafctCELL
C3658200,C0018956,AFFECTS,Clustered Regularly Interspaced Short Palindromic Repeats,Hematopoietic stem cells,nnon,cell,1,AFFECTS_NNONafctCELL
C3830308,C0014597,AFFECTS,Epstein-Barr Virus Early RNA,Epithelial Cells,nnon,cell,1,AFFECTS_NNONafctCELL
C3830308,C0024264,AFFECTS,Epstein-Barr Virus Early RNA,Lymphocyte,nnon,cell,1,AFFECTS_NNONafctCELL
C4041731,C0022688,AFFECTS,"microRNA-UL112, human cytomegalovirus",Natural Killer Cells,nnon,cell,1,AFFECTS_NNONafctCELL
