cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001367,C0007684,AFFECTS,acyclovir,Central Nervous System Infection,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0001367,C0019348,AFFECTS,acyclovir,Herpes Simplex Infections,nnon,dsyn,3,AFFECTS_NNONafctDSYN
C0010711,C0024115,AFFECTS,cytarabine,Lung diseases,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0012133,C0015624,AFFECTS,didanosine,Fanconi Syndrome,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0012133,C0162283,AFFECTS,didanosine,Nephrogenic Diabetes Insipidus,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0012931,C0007682,AFFECTS,Recombinant DNA,CNS disorder,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0012931,C0013570,AFFECTS,Recombinant DNA,"Ecthyma, Contagious",nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0012939,C0019372,AFFECTS,"DNA, Viral",Herpesviridae Infections,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0012939,C0276276,AFFECTS,"DNA, Viral",Canine parvovirus infection,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0021528,C0006271,AFFECTS,inosine,Bronchiolitis,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0021528,C4039867,AFFECTS,inosine,Acute hypoxemic respiratory failure,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0022230,C0012754,AFFECTS,inosine pranobex,Distemper,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0028630,C0010356,AFFECTS,Nucleotides,Cross Infection,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0028630,C0042769,AFFECTS,Nucleotides,Virus Diseases,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0028630,C1518296,AFFECTS,Nucleotides,Neuropathogenesis,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0028953,C0019196,AFFECTS,Oligonucleotides,Hepatitis C,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0032414,C0042769,AFFECTS,Poly I-C,Virus Diseases,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0033755,C0019196,AFFECTS,Proviruses,Hepatitis C,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0033755,C0042769,AFFECTS,Proviruses,Virus Diseases,nnon,dsyn,2,AFFECTS_NNONafctDSYN
C0033755,C0276500,AFFECTS,Proviruses,Human immunodeficiency virus I infection,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0035525,C0002871,AFFECTS,ribavirin,Anemia,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0035525,C0002878,AFFECTS,ribavirin,"Anemia, Hemolytic",nnon,dsyn,5,AFFECTS_NNONafctDSYN
C0035525,C0003811,AFFECTS,ribavirin,Cardiac Arrhythmia,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0035525,C0019196,AFFECTS,ribavirin,Hepatitis C,nnon,dsyn,2,AFFECTS_NNONafctDSYN
C0035525,C0023530,AFFECTS,ribavirin,Leukopenia,nnon,dsyn,2,AFFECTS_NNONafctDSYN
C0035525,C0032285,AFFECTS,ribavirin,Pneumonia,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0035525,C0035078,AFFECTS,ribavirin,Kidney Failure,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0035525,C0149725,AFFECTS,ribavirin,Lower respiratory tract infection,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0035525,C0340427,AFFECTS,ribavirin,Familial dilated cardiomyopathy,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0035525,C1175175,AFFECTS,ribavirin,Severe Acute Respiratory Syndrome,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0035525,C2062441,AFFECTS,ribavirin,Influenza A,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0035548,C0275518,AFFECTS,Ribonucleotides,Acute infectious disease,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0035736,C0022658,AFFECTS,"RNA, Viral",Kidney Diseases,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0035736,C0042769,AFFECTS,"RNA, Viral",Virus Diseases,nnon,dsyn,2,AFFECTS_NNONafctDSYN
C0035736,C0275524,AFFECTS,"RNA, Viral",Coinfection,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0035736,C5203670,AFFECTS,"RNA, Viral",COVID-19,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0043474,C0024115,AFFECTS,zidovudine,Lung diseases,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0045093,C0035869,AFFECTS,gemcitabine,Rotavirus Infections,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0050063,C0004364,AFFECTS,8-chloro-cyclic adenosine monophosphate,Autoimmune Diseases,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0050063,C0028754,AFFECTS,8-chloro-cyclic adenosine monophosphate,Obesity,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0050063,C0042769,AFFECTS,8-chloro-cyclic adenosine monophosphate,Virus Diseases,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0050178,C0013369,AFFECTS,buciclovir,Dysentery,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0050178,C0035204,AFFECTS,buciclovir,Respiration Disorders,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0050178,C0035243,AFFECTS,buciclovir,Respiratory Tract Infections,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0050178,C0036310,AFFECTS,buciclovir,Scheuermann's Disease,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0061994,C0009450,AFFECTS,guanylyl-(3'-5')-guanosine,Communicable Diseases,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0071360,C0029342,AFFECTS,"5'-Inosinic acid, 2'-deoxy-2'-fluoro-, homopolymer",Orthomyxoviridae Infections,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0071360,C0751748,AFFECTS,"5'-Inosinic acid, 2'-deoxy-2'-fluoro-, homopolymer",Nonketotic Hyperglycinemia,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0073432,C0004623,AFFECTS,"RNA, Circular",Bacterial Infections,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0073432,C0007222,AFFECTS,"RNA, Circular",Cardiovascular Diseases,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0073432,C0028754,AFFECTS,"RNA, Circular",Obesity,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0073432,C0036690,AFFECTS,"RNA, Circular",Septicemia,nnon,dsyn,3,AFFECTS_NNONafctDSYN
C0073432,C0042769,AFFECTS,"RNA, Circular",Virus Diseases,nnon,dsyn,2,AFFECTS_NNONafctDSYN
C0092801,C0275518,AFFECTS,cladribine,Acute infectious disease,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0164815,C0032269,AFFECTS,penciclovir,Pneumococcal Infections,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0164815,C0032285,AFFECTS,penciclovir,Pneumonia,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0164815,C0035243,AFFECTS,penciclovir,Respiratory Tract Infections,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0170737,C0442886,AFFECTS,Racivir,Secondary Infections,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0206415,C0006277,AFFECTS,Oligonucleotide Primers,Bronchitis,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0206415,C0021334,AFFECTS,Oligonucleotide Primers,Infectious Bovine Rhinotracheitis,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0206415,C0041296,AFFECTS,Oligonucleotide Primers,Tuberculosis,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0292819,C0010823,AFFECTS,fomivirsen,Cytomegalovirus Infections,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0384228,C0035078,AFFECTS,tenofovir,Kidney Failure,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0599013,C0011311,AFFECTS,Aptamer,Dengue Fever,nnon,dsyn,1,AFFECTS_NNONafctDSYN
C0599013,C0014061,AFFECTS,Aptamer,Tick-Borne Encephalitis,nnon,dsyn,1,AFFECTS_NNONafctDSYN
