cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000934,C0007222,AFFECTS,Acclimatization,Cardiovascular Diseases,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0000934,C0021831,AFFECTS,Acclimatization,Intestinal Diseases,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0000934,C0024530,AFFECTS,Acclimatization,Malaria,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0000934,C0343537,AFFECTS,Acclimatization,Specific viral infections,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0000934,C1175175,AFFECTS,Acclimatization,Severe Acute Respiratory Syndrome,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0000934,C5203670,AFFECTS,Acclimatization,COVID-19,orgf,dsyn,2,AFFECTS_ORGFafctDSYN
C0001400,C1443953,AFFECTS,"Adaptation, Physiological",Acute viral disease,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0001811,C0002395,AFFECTS,Aging,Alzheimer's Disease,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0001811,C0003864,AFFECTS,Aging,Arthritis,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0001811,C0007222,AFFECTS,Aging,Cardiovascular Diseases,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0001811,C0008679,AFFECTS,Aging,Chronic disease,orgf,dsyn,2,AFFECTS_ORGFafctDSYN
C0001811,C0009450,AFFECTS,Aging,Communicable Diseases,orgf,dsyn,2,AFFECTS_ORGFafctDSYN
C0001811,C0011269,AFFECTS,Aging,"Dementia, Vascular",orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0001811,C0017658,AFFECTS,Aging,Glomerulonephritis,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0001811,C0024312,AFFECTS,Aging,Lymphopenia,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0001811,C0034069,AFFECTS,Aging,Pulmonary Fibrosis,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0001811,C0042769,AFFECTS,Aging,Virus Diseases,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0001811,C0242387,AFFECTS,Aging,Mandibulofacial Dysostosis,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0001811,C0392557,AFFECTS,Aging,Nuclear cataract,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0001811,C0729531,AFFECTS,Aging,Viral respiratory infection,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0001811,C1096155,AFFECTS,Aging,Macrophage Activation Syndrome,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0001811,C1175175,AFFECTS,Aging,Severe Acute Respiratory Syndrome,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0001811,C4505065,AFFECTS,Aging,Noncommunicable Diseases,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0001811,C5203670,AFFECTS,Aging,COVID-19,orgf,dsyn,3,AFFECTS_ORGFafctDSYN
C0004048,C0004096,AFFECTS,Inspiration function,Asthma,orgf,dsyn,3,AFFECTS_ORGFafctDSYN
C0004048,C0004099,AFFECTS,Inspiration function,"Asthma, Exercise-Induced",orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0004048,C0024117,AFFECTS,Inspiration function,Chronic Obstructive Airway Disease,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0004048,C0029877,AFFECTS,Inspiration function,Ear Inflammation,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0004048,C0032285,AFFECTS,Inspiration function,Pneumonia,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0004048,C0035222,AFFECTS,Inspiration function,"Respiratory Distress Syndrome, Adult",orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0004048,C0035436,AFFECTS,Inspiration function,Rheumatic Fever,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0004048,C1145670,AFFECTS,Inspiration function,Respiratory Failure,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0004048,C1856053,AFFECTS,Inspiration function,Hydranencephaly with Renal Aplasia-Dysplasia,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0004048,C5203670,AFFECTS,Inspiration function,COVID-19,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0005486,C0042769,AFFECTS,Bioenergetics,Virus Diseases,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0005615,C0021400,AFFECTS,Birth,Influenza,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0005615,C0026229,AFFECTS,Birth,Mite Infestations,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0005615,C0036310,AFFECTS,Birth,Scheuermann's Disease,orgf,dsyn,3,AFFECTS_ORGFafctDSYN
C0005615,C0275544,AFFECTS,Birth,Congenital infectious disease,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0005615,C0872054,AFFECTS,Birth,Latent Infection,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0005615,C1096155,AFFECTS,Birth,Macrophage Activation Syndrome,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0005615,C5203670,AFFECTS,Birth,COVID-19,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0005823,C0003850,AFFECTS,Blood Pressure,Arteriosclerosis,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0005823,C0008679,AFFECTS,Blood Pressure,Chronic disease,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0005823,C0011847,AFFECTS,Blood Pressure,Diabetes,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0005823,C0034069,AFFECTS,Blood Pressure,Pulmonary Fibrosis,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0005823,C0035222,AFFECTS,Blood Pressure,"Respiratory Distress Syndrome, Adult",orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0005823,C0333427,AFFECTS,Blood Pressure,Proliferative inflammation,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0005823,C1397307,AFFECTS,Blood Pressure,Cardiac fibrosis,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0006147,C0004096,AFFECTS,Breast Feeding,Asthma,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0006147,C0009450,AFFECTS,Breast Feeding,Communicable Diseases,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0006147,C0022638,AFFECTS,Breast Feeding,Ketosis,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0006147,C0032285,AFFECTS,Breast Feeding,Pneumonia,orgf,dsyn,2,AFFECTS_ORGFafctDSYN
C0006147,C0035243,AFFECTS,Breast Feeding,Respiratory Tract Infections,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0006147,C0043167,AFFECTS,Breast Feeding,Pertussis,orgf,dsyn,2,AFFECTS_ORGFafctDSYN
C0006147,C0151723,AFFECTS,Breast Feeding,Hypomagnesemia,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0006147,C0872054,AFFECTS,Breast Feeding,Latent Infection,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0006147,C5203670,AFFECTS,Breast Feeding,COVID-19,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0006159,C0028754,AFFECTS,Breeding,Obesity,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0006159,C0042769,AFFECTS,Breeding,Virus Diseases,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0006159,C0085209,AFFECTS,Breeding,"Encephalopathy, Bovine Spongiform",orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0006159,C0149896,AFFECTS,Breeding,Primary gout,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0006159,C5203670,AFFECTS,Breeding,COVID-19,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0007179,C5203670,AFFECTS,Cardiac Volume,COVID-19,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0008071,C0264408,AFFECTS,Child Development,Childhood asthma,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
C0008810,C0004096,AFFECTS,Circadian Rhythms,Asthma,orgf,dsyn,1,AFFECTS_ORGFafctDSYN
