cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0812204,C0011991,ASSOCIATED_WITH,NME1 gene,Diarrhea,gngm,sosy,1,ASSOCIATED_WITH_GNGMaswtSOSY
C0812204,C0042963,ASSOCIATED_WITH,NME1 gene,Vomiting,gngm,sosy,1,ASSOCIATED_WITH_GNGMaswtSOSY
C1333532,C0003862,ASSOCIATED_WITH,FANCG gene,Arthralgia,gngm,sosy,1,ASSOCIATED_WITH_GNGMaswtSOSY
C1333532,C0018681,ASSOCIATED_WITH,FANCG gene,Headache,gngm,sosy,1,ASSOCIATED_WITH_GNGMaswtSOSY
C1333532,C0231528,ASSOCIATED_WITH,FANCG gene,Myalgia,gngm,sosy,1,ASSOCIATED_WITH_GNGMaswtSOSY
C1414176,C0027498,ASSOCIATED_WITH,DTNA gene,Nausea and vomiting,gngm,sosy,1,ASSOCIATED_WITH_GNGMaswtSOSY
C1417807,C0010201,ASSOCIATED_WITH,NPPA gene,Chronic cough,gngm,sosy,1,ASSOCIATED_WITH_GNGMaswtSOSY
C1540234,C0036572,ASSOCIATED_WITH,HAUS3 gene,Seizures,gngm,sosy,1,ASSOCIATED_WITH_GNGMaswtSOSY
C1709409,C0037088,ASSOCIATED_WITH,PLCG2 wt Allele,Signs and Symptoms,gngm,sosy,1,ASSOCIATED_WITH_GNGMaswtSOSY
C3273328,C3714552,ASSOCIATED_WITH,LYVE1 wt Allele,Weakness,gngm,sosy,1,ASSOCIATED_WITH_GNGMaswtSOSY
C3469764,C0043144,ASSOCIATED_WITH,CAAP1 gene,Wheezing,gngm,sosy,3,ASSOCIATED_WITH_GNGMaswtSOSY
