cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0005775,C0017725,ASSOCIATED_WITH,Blood Circulation,glucose,phsf,bacs,1,ASSOCIATED_WITH_PHSFaswtBACS
C0014272,C0007012,ASSOCIATED_WITH,Energy Metabolism,carbon dioxide,phsf,bacs,1,ASSOCIATED_WITH_PHSFaswtBACS
C0014272,C0017725,ASSOCIATED_WITH,Energy Metabolism,glucose,phsf,bacs,1,ASSOCIATED_WITH_PHSFaswtBACS
C0014272,C0023902,ASSOCIATED_WITH,Energy Metabolism,Liver Glycogen,phsf,bacs,1,ASSOCIATED_WITH_PHSFaswtBACS
C0014272,C0064582,ASSOCIATED_WITH,Energy Metabolism,lactic acid,phsf,bacs,1,ASSOCIATED_WITH_PHSFaswtBACS
C0014272,C0522095,ASSOCIATED_WITH,Energy Metabolism,Long chain fatty acid,phsf,bacs,1,ASSOCIATED_WITH_PHSFaswtBACS
C0020964,C0009968,ASSOCIATED_WITH,Immunity,copper,phsf,bacs,1,ASSOCIATED_WITH_PHSFaswtBACS
C0020964,C0015689,ASSOCIATED_WITH,Immunity,omega-3 fatty acids,phsf,bacs,1,ASSOCIATED_WITH_PHSFaswtBACS
C0020964,C0015691,ASSOCIATED_WITH,Immunity,"Fatty Acids, Volatile",phsf,bacs,1,ASSOCIATED_WITH_PHSFaswtBACS
C0020964,C0036581,ASSOCIATED_WITH,Immunity,selenium,phsf,bacs,4,ASSOCIATED_WITH_PHSFaswtBACS
C0020964,C0043481,ASSOCIATED_WITH,Immunity,zinc,phsf,bacs,6,ASSOCIATED_WITH_PHSFaswtBACS
C0020964,C0302583,ASSOCIATED_WITH,Immunity,iron,phsf,bacs,2,ASSOCIATED_WITH_PHSFaswtBACS
C0026820,C0006675,ASSOCIATED_WITH,Muscle Contraction,calcium,phsf,bacs,1,ASSOCIATED_WITH_PHSFaswtBACS
C0026820,C0017911,ASSOCIATED_WITH,Muscle Contraction,glycogen,phsf,bacs,1,ASSOCIATED_WITH_PHSFaswtBACS
C0035203,C0017725,ASSOCIATED_WITH,Respiration,glucose,phsf,bacs,1,ASSOCIATED_WITH_PHSFaswtBACS
C0035203,C0030054,ASSOCIATED_WITH,Respiration,oxygen,phsf,bacs,1,ASSOCIATED_WITH_PHSFaswtBACS
C0035203,C0034085,ASSOCIATED_WITH,Respiration,Pulmonary Surfactants,phsf,bacs,1,ASSOCIATED_WITH_PHSFaswtBACS
C0035245,C0061202,ASSOCIATED_WITH,Respiratory physiology,genistein,phsf,bacs,1,ASSOCIATED_WITH_PHSFaswtBACS
C0149784,C0007412,ASSOCIATED_WITH,biological adaptation to stress,Catecholamines,phsf,bacs,1,ASSOCIATED_WITH_PHSFaswtBACS
C0149784,C0017725,ASSOCIATED_WITH,biological adaptation to stress,glucose,phsf,bacs,1,ASSOCIATED_WITH_PHSFaswtBACS
C0149784,C0036248,ASSOCIATED_WITH,biological adaptation to stress,Saxitoxin,phsf,bacs,1,ASSOCIATED_WITH_PHSFaswtBACS
C0232338,C0087063,ASSOCIATED_WITH,Blood flow,Taurocholate,phsf,bacs,1,ASSOCIATED_WITH_PHSFaswtBACS
C0242732,C0067762,ASSOCIATED_WITH,Tropism,N-Acetylneuraminic Acid,phsf,bacs,2,ASSOCIATED_WITH_PHSFaswtBACS
C0243056,C0577749,ASSOCIATED_WITH,Plant Physiological Phenomena,Phytochemicals,phsf,bacs,1,ASSOCIATED_WITH_PHSFaswtBACS
C0243144,C0006675,ASSOCIATED_WITH,Uptake,calcium,phsf,bacs,1,ASSOCIATED_WITH_PHSFaswtBACS
C0243144,C0008377,ASSOCIATED_WITH,Uptake,cholesterol,phsf,bacs,2,ASSOCIATED_WITH_PHSFaswtBACS
C0243144,C0010738,ASSOCIATED_WITH,Uptake,Cytochalasin D,phsf,bacs,2,ASSOCIATED_WITH_PHSFaswtBACS
C0243144,C0031676,ASSOCIATED_WITH,Uptake,phospholipids,phsf,bacs,1,ASSOCIATED_WITH_PHSFaswtBACS
C0243144,C0067762,ASSOCIATED_WITH,Uptake,N-Acetylneuraminic Acid,phsf,bacs,1,ASSOCIATED_WITH_PHSFaswtBACS
C0243144,C0078517,ASSOCIATED_WITH,Uptake,Wortmannin,phsf,bacs,1,ASSOCIATED_WITH_PHSFaswtBACS
C0243144,C0522095,ASSOCIATED_WITH,Uptake,Long chain fatty acid,phsf,bacs,1,ASSOCIATED_WITH_PHSFaswtBACS
C0544570,C0030054,ASSOCIATED_WITH,Bactericidal activity,oxygen,phsf,bacs,1,ASSOCIATED_WITH_PHSFaswtBACS
C0596761,C0036581,ASSOCIATED_WITH,Immunosenescence,selenium,phsf,bacs,2,ASSOCIATED_WITH_PHSFaswtBACS
C0596761,C0043481,ASSOCIATED_WITH,Immunosenescence,zinc,phsf,bacs,1,ASSOCIATED_WITH_PHSFaswtBACS
C0678662,C0008377,ASSOCIATED_WITH,regulatory loop,cholesterol,phsf,bacs,1,ASSOCIATED_WITH_PHSFaswtBACS
C1514892,C0017725,ASSOCIATED_WITH,Resistance Process,glucose,phsf,bacs,1,ASSOCIATED_WITH_PHSFaswtBACS
C1514892,C0038636,ASSOCIATED_WITH,Resistance Process,sucrose,phsf,bacs,2,ASSOCIATED_WITH_PHSFaswtBACS
C2917212,C0019134,ASSOCIATED_WITH,Negative Regulation of Coagulation,heparin,phsf,bacs,1,ASSOCIATED_WITH_PHSFaswtBACS
C3714584,C0008377,ASSOCIATED_WITH,"Transformation, function",cholesterol,phsf,bacs,1,ASSOCIATED_WITH_PHSFaswtBACS
C3714584,C0016945,ASSOCIATED_WITH,"Transformation, function",galactose,phsf,bacs,1,ASSOCIATED_WITH_PHSFaswtBACS
C4520800,C0030054,ASSOCIATED_WITH,Hydration,oxygen,phsf,bacs,1,ASSOCIATED_WITH_PHSFaswtBACS
