cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0005437,C0424295,AUGMENTS,Bilirubin,Hyperactive behavior,bacs,mobd,1,AUGMENTS_BACSaugmMOBD
C0017725,C0086168,AUGMENTS,glucose,Dissociation,bacs,mobd,1,AUGMENTS_BACSaugmMOBD
C0030054,C0851578,AUGMENTS,oxygen,Sleep Disorders,bacs,mobd,1,AUGMENTS_BACSaugmMOBD
C0035693,C0858952,AUGMENTS,"RNA, Double-Stranded",silence,bacs,mobd,1,AUGMENTS_BACSaugmMOBD
C0035711,C0233494,AUGMENTS,Transfer RNA,Tension,bacs,mobd,1,AUGMENTS_BACSaugmMOBD
C0040549,C0424295,AUGMENTS,Toxin,Hyperactive behavior,bacs,mobd,1,AUGMENTS_BACSaugmMOBD
C0041942,C0086168,AUGMENTS,urea,Dissociation,bacs,mobd,1,AUGMENTS_BACSaugmMOBD
C0282151,C0011206,AUGMENTS,dopamine hydrochloride,Delirium,bacs,mobd,1,AUGMENTS_BACSaugmMOBD
C1099354,C0858952,AUGMENTS,"RNA, Small Interfering",silence,bacs,mobd,3,AUGMENTS_BACSaugmMOBD
C1101610,C0858952,AUGMENTS,MicroRNAs,silence,bacs,mobd,1,AUGMENTS_BACSaugmMOBD
