cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C1335278,C0027740,AUGMENTS,PTN gene,Nerve,gngm,bpoc,1,AUGMENTS_GNGMaugmBPOC
C1412294,C0023884,AUGMENTS,AHRR gene,Liver,gngm,bpoc,1,AUGMENTS_GNGMaugmBPOC
C1415825,C2350570,AUGMENTS,HYAL1 gene,Microvessels,gngm,bpoc,1,AUGMENTS_GNGMaugmBPOC
C1415907,C0021853,AUGMENTS,IFNA5 gene,Intestines,gngm,bpoc,1,AUGMENTS_GNGMaugmBPOC
C1420386,C0746922,AUGMENTS,SPTAN1 gene,Anatomic Node,gngm,bpoc,2,AUGMENTS_GNGMaugmBPOC
C1422579,C0018787,AUGMENTS,C1QTNF7 gene,Heart,gngm,bpoc,1,AUGMENTS_GNGMaugmBPOC
C1425335,C0010352,AUGMENTS,IGSF9 gene,Avian crop,gngm,bpoc,1,AUGMENTS_GNGMaugmBPOC
C1427411,C0024109,AUGMENTS,UNC5CL gene,Lung,gngm,bpoc,1,AUGMENTS_GNGMaugmBPOC
C1428471,C0039597,AUGMENTS,ZNF541 gene,Testis,gngm,bpoc,1,AUGMENTS_GNGMaugmBPOC
C1428848,C0023884,AUGMENTS,LZTS2 gene,Liver,gngm,bpoc,1,AUGMENTS_GNGMaugmBPOC
C1705572,C0040578,AUGMENTS,HRAS wt Allele,Trachea,gngm,bpoc,1,AUGMENTS_GNGMaugmBPOC
C2826016,C0024109,AUGMENTS,MIR214 wt Allele,Lung,gngm,bpoc,1,AUGMENTS_GNGMaugmBPOC
