cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C1336575,C0301872,AUGMENTS,TAP1 gene,Immune response,gngm,ortf,1,AUGMENTS_GNGMaugmORTF
C1366525,C0301872,AUGMENTS,RGS1 gene,Immune response,gngm,ortf,1,AUGMENTS_GNGMaugmORTF
C1415317,C1160630,AUGMENTS,GSC2 gene,nodulation,gngm,ortf,1,AUGMENTS_GNGMaugmORTF
C1415385,C0020965,AUGMENTS,HIST1H1A gene,Active immunity,gngm,ortf,1,AUGMENTS_GNGMaugmORTF
C1419632,C0301872,AUGMENTS,RPL15 gene,Immune response,gngm,ortf,2,AUGMENTS_GNGMaugmORTF
C1420117,C0301872,AUGMENTS,SLC19A1 gene,Immune response,gngm,ortf,1,AUGMENTS_GNGMaugmORTF
C1421250,C0301872,AUGMENTS,TYR gene,Immune response,gngm,ortf,1,AUGMENTS_GNGMaugmORTF
C1537853,C0302600,AUGMENTS,MIR217 gene,Angiogenic Process,gngm,ortf,1,AUGMENTS_GNGMaugmORTF
C1705924,C0079043,AUGMENTS,TAC1 wt Allele,Bronchoconstriction,gngm,ortf,1,AUGMENTS_GNGMaugmORTF
C1823546,C0301872,AUGMENTS,TTLL12 gene,Immune response,gngm,ortf,1,AUGMENTS_GNGMaugmORTF
