cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001551,C0020966,AUGMENTS,Immunologic Adjuvants,Cellular Immunity,imft,orgf,5,AUGMENTS_IMFTaugmORGF
C0001551,C0020967,AUGMENTS,Immunologic Adjuvants,Humoral Immunity,imft,orgf,6,AUGMENTS_IMFTaugmORGF
C0001551,C0301875,AUGMENTS,Immunologic Adjuvants,Primary immune response,imft,orgf,1,AUGMENTS_IMFTaugmORGF
C0001551,C0678723,AUGMENTS,Immunologic Adjuvants,Biologic Development,imft,orgf,5,AUGMENTS_IMFTaugmORGF
C0001551,C0678889,AUGMENTS,Immunologic Adjuvants,Immunoregulation,imft,orgf,1,AUGMENTS_IMFTaugmORGF
C0001551,C1136180,AUGMENTS,Immunologic Adjuvants,Disease Resistance,imft,orgf,1,AUGMENTS_IMFTaugmORGF
C0001551,C1148523,AUGMENTS,Immunologic Adjuvants,Childbirth,imft,orgf,4,AUGMENTS_IMFTaugmORGF
C0001551,C1155328,AUGMENTS,Immunologic Adjuvants,Antiviral Response,imft,orgf,3,AUGMENTS_IMFTaugmORGF
C0001551,C1749719,AUGMENTS,Immunologic Adjuvants,Adaptive Immune Response,imft,orgf,2,AUGMENTS_IMFTaugmORGF
C0001551,C1752856,AUGMENTS,Immunologic Adjuvants,Host-Pathogen Interactions,imft,orgf,1,AUGMENTS_IMFTaugmORGF
C0001551,C1817907,AUGMENTS,Immunologic Adjuvants,T cell mediated immunity,imft,orgf,1,AUGMENTS_IMFTaugmORGF
C0001551,C3156592,AUGMENTS,Immunologic Adjuvants,T-helper 17 type immune response,imft,orgf,1,AUGMENTS_IMFTaugmORGF
C0003320,C1749719,AUGMENTS,Antigens,Adaptive Immune Response,imft,orgf,1,AUGMENTS_IMFTaugmORGF
C0003342,C0020966,AUGMENTS,"Antigens, Viral",Cellular Immunity,imft,orgf,1,AUGMENTS_IMFTaugmORGF
C0004886,C0020966,AUGMENTS,BCG Vaccine,Cellular Immunity,imft,orgf,1,AUGMENTS_IMFTaugmORGF
C0004886,C0678889,AUGMENTS,BCG Vaccine,Immunoregulation,imft,orgf,2,AUGMENTS_IMFTaugmORGF
C0005525,C1749719,AUGMENTS,Biological Response Modifiers,Adaptive Immune Response,imft,orgf,1,AUGMENTS_IMFTaugmORGF
C0019168,C1155328,AUGMENTS,Hepatitis B Surface Antigens,Antiviral Response,imft,orgf,1,AUGMENTS_IMFTaugmORGF
