cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001551,C0026724,AUGMENTS,Immunologic Adjuvants,Mucous Membrane,imft,tisu,8,AUGMENTS_IMFTaugmTISU
C0001551,C0040300,AUGMENTS,Immunologic Adjuvants,Body tissue,imft,tisu,1,AUGMENTS_IMFTaugmTISU
C0004632,C0026724,AUGMENTS,Bacterial Vaccines,Mucous Membrane,imft,tisu,2,AUGMENTS_IMFTaugmTISU
C0021403,C0026724,AUGMENTS,Influenza virus vaccine,Mucous Membrane,imft,tisu,1,AUGMENTS_IMFTaugmTISU
C0031237,C0026724,AUGMENTS,pertussis vaccine,Mucous Membrane,imft,tisu,1,AUGMENTS_IMFTaugmTISU
C0597420,C0026724,AUGMENTS,Salmonella Vaccines,Mucous Membrane,imft,tisu,1,AUGMENTS_IMFTaugmTISU
C0597641,C0026724,AUGMENTS,plasmid vaccine,Mucous Membrane,imft,tisu,1,AUGMENTS_IMFTaugmTISU
C0770694,C0026724,AUGMENTS,trivalent influenza vaccine,Mucous Membrane,imft,tisu,1,AUGMENTS_IMFTaugmTISU
C0887892,C0026724,AUGMENTS,"Vaccines, Subunit",Mucous Membrane,imft,tisu,1,AUGMENTS_IMFTaugmTISU
C0887902,C0026724,AUGMENTS,"Vaccines, Edible",Mucous Membrane,imft,tisu,3,AUGMENTS_IMFTaugmTISU
C1519887,C0026724,AUGMENTS,Vaccine Antigen,Mucous Membrane,imft,tisu,1,AUGMENTS_IMFTaugmTISU
C2825347,C0026724,AUGMENTS,"immunoglobulin A, human",Mucous Membrane,imft,tisu,1,AUGMENTS_IMFTaugmTISU
C2825347,C0596638,AUGMENTS,"immunoglobulin A, human",Gut associated lymphoid tissue,imft,tisu,1,AUGMENTS_IMFTaugmTISU
C2825347,C1179418,AUGMENTS,"immunoglobulin A, human",Bronchial-associated lymphoid tissue,imft,tisu,1,AUGMENTS_IMFTaugmTISU
C3530029,C0026724,AUGMENTS,advax,Mucous Membrane,imft,tisu,1,AUGMENTS_IMFTaugmTISU
