cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002055,C0836921,AUGMENTS,Alkalies,Tonsil,inch,bpoc,1,AUGMENTS_INCHaugmBPOC
C0002607,C0005854,AUGMENTS,ammonia,Blood - brain barrier anatomy,inch,bpoc,1,AUGMENTS_INCHaugmBPOC
C0002607,C0040578,AUGMENTS,ammonia,Trachea,inch,bpoc,2,AUGMENTS_INCHaugmBPOC
C0002607,C0459385,AUGMENTS,ammonia,Brain tissue,inch,bpoc,1,AUGMENTS_INCHaugmBPOC
C0005367,C0038351,AUGMENTS,Bicarbonates,Stomach,inch,bpoc,1,AUGMENTS_INCHaugmBPOC
C0008203,C0021853,AUGMENTS,Chlorides,Intestines,inch,bpoc,1,AUGMENTS_INCHaugmBPOC
C0008838,C0022646,AUGMENTS,cisplatin,Kidney,inch,bpoc,3,AUGMENTS_INCHaugmBPOC
C0032825,C1882884,AUGMENTS,potassium chloride,Rat Trachea,inch,bpoc,1,AUGMENTS_INCHaugmBPOC
C0036085,C0024109,AUGMENTS,"Saline Solution, Hypertonic",Lung,inch,bpoc,1,AUGMENTS_INCHaugmBPOC
C0043047,C0004895,AUGMENTS,water,Beak,inch,bpoc,1,AUGMENTS_INCHaugmBPOC
C0043047,C0005847,AUGMENTS,water,Blood Vessel,inch,bpoc,1,AUGMENTS_INCHaugmBPOC
C0043047,C0018494,AUGMENTS,water,Hair,inch,bpoc,1,AUGMENTS_INCHaugmBPOC
C0051722,C0450139,AUGMENTS,ammonium nitrate,Free graft,inch,bpoc,1,AUGMENTS_INCHaugmBPOC
C0146894,C0023884,AUGMENTS,triphosphate,Liver,inch,bpoc,1,AUGMENTS_INCHaugmBPOC
C0163748,C0021853,AUGMENTS,Diosmectite,Intestines,inch,bpoc,1,AUGMENTS_INCHaugmBPOC
C0175960,C0023884,AUGMENTS,tetrachlorides,Liver,inch,bpoc,1,AUGMENTS_INCHaugmBPOC
C0700307,C0037949,AUGMENTS,hydroxyl group,Vertebral column,inch,bpoc,1,AUGMENTS_INCHaugmBPOC
C0790233,C0006549,AUGMENTS,Distilled water,C Fibers,inch,bpoc,1,AUGMENTS_INCHaugmBPOC
C0964361,C0003842,AUGMENTS,SonoVue,Arteries,inch,bpoc,1,AUGMENTS_INCHaugmBPOC
C0969698,C0024109,AUGMENTS,Reactive Nitrogen Species,Lung,inch,bpoc,1,AUGMENTS_INCHaugmBPOC
C3536832,C0024109,AUGMENTS,air,Lung,inch,bpoc,2,AUGMENTS_INCHaugmBPOC
C3536832,C0028429,AUGMENTS,air,Nose,inch,bpoc,1,AUGMENTS_INCHaugmBPOC
C4708833,C0028429,AUGMENTS,Cold water,Nose,inch,bpoc,1,AUGMENTS_INCHaugmBPOC
