cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002055,C0442726,AUGMENTS,Alkalies,Detected (finding),inch,fndg,1,AUGMENTS_INCHaugmFNDG
C0002371,C4321237,AUGMENTS,aluminum hydroxide,High Level,inch,fndg,1,AUGMENTS_INCHaugmFNDG
C0002607,C1832073,AUGMENTS,ammonia,Handling,inch,fndg,1,AUGMENTS_INCHaugmFNDG
C0006686,C1272641,AUGMENTS,calcium chloride,Systemic arterial pressure,inch,fndg,1,AUGMENTS_INCHaugmFNDG
C0008203,C4035627,AUGMENTS,Chlorides,2 times,inch,fndg,1,AUGMENTS_INCHaugmFNDG
C0008203,C4055506,AUGMENTS,Chlorides,Accumulation,inch,fndg,1,AUGMENTS_INCHaugmFNDG
C0008838,C0332149,AUGMENTS,cisplatin,Possible,inch,fndg,2,AUGMENTS_INCHaugmFNDG
C0008838,C0392209,AUGMENTS,cisplatin,Nutritional status,inch,fndg,1,AUGMENTS_INCHaugmFNDG
C0021966,C1545588,AUGMENTS,Iodides,Protection,inch,fndg,1,AUGMENTS_INCHaugmFNDG
C0025552,C0544726,AUGMENTS,Metals,Hole Finding,inch,fndg,1,AUGMENTS_INCHaugmFNDG
C0031603,C3842459,AUGMENTS,Phosphates,Energetic,inch,fndg,1,AUGMENTS_INCHaugmFNDG
C0032575,C1963076,AUGMENTS,Polyphosphates,"Platelets, CTCAE",inch,fndg,2,AUGMENTS_INCHaugmFNDG
C0037518,C3714738,AUGMENTS,sodium hypochlorite,Compliance,inch,fndg,1,AUGMENTS_INCHaugmFNDG
C0038720,C4321237,AUGMENTS,"Sulfates, Inorganic",High Level,inch,fndg,1,AUGMENTS_INCHaugmFNDG
C0043047,C0033213,AUGMENTS,water,Problem,inch,fndg,2,AUGMENTS_INCHaugmFNDG
C0043047,C0150312,AUGMENTS,water,Present,inch,fndg,2,AUGMENTS_INCHaugmFNDG
C0043047,C0152030,AUGMENTS,water,Skin irritation,inch,fndg,1,AUGMENTS_INCHaugmFNDG
C0043047,C0237849,AUGMENTS,water,Peeling of skin,inch,fndg,1,AUGMENTS_INCHaugmFNDG
C0043047,C0301634,AUGMENTS,water,Increased turbidity,inch,fndg,1,AUGMENTS_INCHaugmFNDG
C0043047,C0332149,AUGMENTS,water,Possible,inch,fndg,1,AUGMENTS_INCHaugmFNDG
C0043047,C0429619,AUGMENTS,water,Testicular volume,inch,fndg,1,AUGMENTS_INCHaugmFNDG
C0043047,C4321351,AUGMENTS,water,Low Level,inch,fndg,1,AUGMENTS_INCHaugmFNDG
C0051522,C1545588,AUGMENTS,aluminum sulfate,Protection,inch,fndg,1,AUGMENTS_INCHaugmFNDG
C0051522,C2986560,AUGMENTS,aluminum sulfate,Best Overall Response,inch,fndg,1,AUGMENTS_INCHaugmFNDG
C0051522,C3840880,AUGMENTS,aluminum sulfate,Traffic,inch,fndg,1,AUGMENTS_INCHaugmFNDG
C0064990,C1304686,AUGMENTS,calcium oxide,Finding of pH,inch,fndg,1,AUGMENTS_INCHaugmFNDG
C0069590,C0439662,AUGMENTS,ORALIT,Immune,inch,fndg,1,AUGMENTS_INCHaugmFNDG
C0069590,C4698719,AUGMENTS,ORALIT,Confirmed case,inch,fndg,1,AUGMENTS_INCHaugmFNDG
C0071687,C0728725,AUGMENTS,polysulfide,Low pH,inch,fndg,1,AUGMENTS_INCHaugmFNDG
C0074748,C0150312,AUGMENTS,sodium nitrate,Present,inch,fndg,1,AUGMENTS_INCHaugmFNDG
C0145993,C1709157,AUGMENTS,Titania,Negative Surgical Margin,inch,fndg,1,AUGMENTS_INCHaugmFNDG
C0661172,C0424589,AUGMENTS,clinoptilolite,Vitality,inch,fndg,1,AUGMENTS_INCHaugmFNDG
C0723457,C4086268,AUGMENTS,Stop brand of fluoride,Exacerbation,inch,fndg,1,AUGMENTS_INCHaugmFNDG
C0757156,C1299586,AUGMENTS,fortune,Has difficulty doing (qualifier value),inch,fndg,1,AUGMENTS_INCHaugmFNDG
C1550678,C2945640,AUGMENTS,Water Specimen,compromise,inch,fndg,1,AUGMENTS_INCHaugmFNDG
C3536832,C0234766,AUGMENTS,air,Whispering,inch,fndg,1,AUGMENTS_INCHaugmFNDG
C3536832,C0332149,AUGMENTS,air,Possible,inch,fndg,2,AUGMENTS_INCHaugmFNDG
C3536832,C0391841,AUGMENTS,air,Oxygen content,inch,fndg,1,AUGMENTS_INCHaugmFNDG
C3536832,C0746094,AUGMENTS,air,lung density,inch,fndg,1,AUGMENTS_INCHaugmFNDG
C3536832,C3840880,AUGMENTS,air,Traffic,inch,fndg,2,AUGMENTS_INCHaugmFNDG
C3536832,C3845876,AUGMENTS,air,Consequent,inch,fndg,1,AUGMENTS_INCHaugmFNDG
C3536832,C4035633,AUGMENTS,air,3-5 times,inch,fndg,1,AUGMENTS_INCHaugmFNDG
