cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0028630,C0014609,AUGMENTS,Nucleotides,Epithelium,nnon,tisu,1,AUGMENTS_NNONaugmTISU
C0032414,C0026724,AUGMENTS,Poly I-C,Mucous Membrane,nnon,tisu,1,AUGMENTS_NNONaugmTISU
C0032414,C0040300,AUGMENTS,Poly I-C,Body tissue,nnon,tisu,1,AUGMENTS_NNONaugmTISU
C0032414,C1516828,AUGMENTS,Poly I-C,Mouse Embryonic Fibroblast,nnon,tisu,1,AUGMENTS_NNONaugmTISU
C0035736,C0025255,AUGMENTS,"RNA, Viral",Tissue membrane,nnon,tisu,1,AUGMENTS_NNONaugmTISU
C0050063,C0021839,AUGMENTS,8-chloro-cyclic adenosine monophosphate,Intestinal Mucosa,nnon,tisu,1,AUGMENTS_NNONaugmTISU
C0071360,C0040300,AUGMENTS,"5'-Inosinic acid, 2'-deoxy-2'-fluoro-, homopolymer",Body tissue,nnon,tisu,1,AUGMENTS_NNONaugmTISU
C0073432,C0015350,AUGMENTS,"RNA, Circular",Extracellular Matrix,nnon,tisu,1,AUGMENTS_NNONaugmTISU
C0073432,C0040300,AUGMENTS,"RNA, Circular",Body tissue,nnon,tisu,1,AUGMENTS_NNONaugmTISU
C0206415,C1522642,AUGMENTS,Oligonucleotide Primers,Clone,nnon,tisu,1,AUGMENTS_NNONaugmTISU
C0245085,C0040300,AUGMENTS,H-DNA,Body tissue,nnon,tisu,2,AUGMENTS_NNONaugmTISU
C1510800,C0026724,AUGMENTS,Adenovirus Vector,Mucous Membrane,nnon,tisu,1,AUGMENTS_NNONaugmTISU
C1519595,C0007301,AUGMENTS,Transcript,Cartilage,nnon,tisu,1,AUGMENTS_NNONaugmTISU
C2982391,C0040300,AUGMENTS,Long Intergenic Non-Protein Coding RNA,Body tissue,nnon,tisu,1,AUGMENTS_NNONaugmTISU
C2982391,C1516828,AUGMENTS,Long Intergenic Non-Protein Coding RNA,Mouse Embryonic Fibroblast,nnon,tisu,1,AUGMENTS_NNONaugmTISU
C2982391,C1518039,AUGMENTS,Long Intergenic Non-Protein Coding RNA,Mouse Lung,nnon,tisu,1,AUGMENTS_NNONaugmTISU
C4733593,C0026724,AUGMENTS,cytidine-phosphate-guanosine DNA,Mucous Membrane,nnon,tisu,1,AUGMENTS_NNONaugmTISU
