cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0009221,C0000934,AUGMENTS,Codon (nucleotide sequence),Acclimatization,nusq,orgf,1,AUGMENTS_NUSQaugmORGF
C0162326,C0000934,AUGMENTS,DNA Sequence,Acclimatization,nusq,orgf,1,AUGMENTS_NUSQaugmORGF
C0162326,C1148523,AUGMENTS,DNA Sequence,Childbirth,nusq,orgf,1,AUGMENTS_NUSQaugmORGF
C0162327,C0001811,AUGMENTS,RNA Sequence,Aging,nusq,orgf,2,AUGMENTS_NUSQaugmORGF
C0242611,C0014653,AUGMENTS,"Codon, Terminator",Equilibrium,nusq,orgf,1,AUGMENTS_NUSQaugmORGF
C0242611,C0026649,AUGMENTS,"Codon, Terminator",Movement,nusq,orgf,1,AUGMENTS_NUSQaugmORGF
C0242611,C0699900,AUGMENTS,"Codon, Terminator",Catabolism,nusq,orgf,1,AUGMENTS_NUSQaugmORGF
C0600600,C0699900,AUGMENTS,3' Untranslated Regions,Catabolism,nusq,orgf,2,AUGMENTS_NUSQaugmORGF
C1883633,C0699900,AUGMENTS,3' Region,Catabolism,nusq,orgf,1,AUGMENTS_NUSQaugmORGF
C3178810,C0011065,AUGMENTS,Transcriptome,Cessation of life,nusq,orgf,1,AUGMENTS_NUSQaugmORGF
