cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004434,C0406161,CAUSES,Avidin,Seed corn,aapp,acab,1,CAUSES_AAPPcausACAB
C0007641,C0406161,CAUSES,cellulase,Seed corn,aapp,acab,1,CAUSES_AAPPcausACAB
C0009325,C0333203,CAUSES,collagen,Occlusive thrombus,aapp,acab,1,CAUSES_AAPPcausACAB
C0013729,C0001168,CAUSES,Eukaryotic Initiation Factor-2,Complete obstruction,aapp,acab,1,CAUSES_AAPPcausACAB
C0015982,C0028259,CAUSES,Fibrin,Nodule,aapp,acab,1,CAUSES_AAPPcausACAB
C0019721,C1265875,CAUSES,HLA Antigens,Disintegration (morphologic abnormality),aapp,acab,1,CAUSES_AAPPcausACAB
C0021760,C0410158,CAUSES,interleukin-6,Muscle damage,aapp,acab,1,CAUSES_AAPPcausACAB
C0040048,C0333203,CAUSES,Thromboplastin,Occlusive thrombus,aapp,acab,1,CAUSES_AAPPcausACAB
C0041236,C0333463,CAUSES,trypsin,Senile Plaques,aapp,acab,1,CAUSES_AAPPcausACAB
C0041236,C0406161,CAUSES,trypsin,Seed corn,aapp,acab,1,CAUSES_AAPPcausACAB
C0041249,C0001168,CAUSES,tryptophan,Complete obstruction,aapp,acab,1,CAUSES_AAPPcausACAB
C0041249,C0086543,CAUSES,tryptophan,Cataract,aapp,acab,1,CAUSES_AAPPcausACAB
C0042720,C1265875,CAUSES,Viral Genome,Disintegration (morphologic abnormality),aapp,acab,1,CAUSES_AAPPcausACAB
C0042971,C0333203,CAUSES,von Willebrand factor,Occlusive thrombus,aapp,acab,1,CAUSES_AAPPcausACAB
C0060323,C0241970,CAUSES,Fibrin fragment D,lacune,aapp,acab,1,CAUSES_AAPPcausACAB
C0064566,C0406161,CAUSES,Laccase,Seed corn,aapp,acab,1,CAUSES_AAPPcausACAB
C0079189,C0333463,CAUSES,cytokine,Senile Plaques,aapp,acab,1,CAUSES_AAPPcausACAB
C0079281,C0740391,CAUSES,Endothelin-1,Middle Cerebral Artery Occlusion,aapp,acab,1,CAUSES_AAPPcausACAB
C0083031,C0028259,CAUSES,interleukin-11,Nodule,aapp,acab,1,CAUSES_AAPPcausACAB
C0757844,C1265875,CAUSES,"TNFSF13 protein, human",Disintegration (morphologic abnormality),aapp,acab,1,CAUSES_AAPPcausACAB
C0905072,C0028259,CAUSES,"TFF2 protein, human",Nodule,aapp,acab,1,CAUSES_AAPPcausACAB
C1309025,C1265875,CAUSES,"SH2D3A protein, human",Disintegration (morphologic abnormality),aapp,acab,1,CAUSES_AAPPcausACAB
C1309483,C0334070,CAUSES,"DICER1 protein, human",Maturation defect,aapp,acab,1,CAUSES_AAPPcausACAB
C1332700,C0333463,CAUSES,CCR5 gene,Senile Plaques,aapp,acab,1,CAUSES_AAPPcausACAB
C1414371,C1265875,CAUSES,ELAVL1 gene,Disintegration (morphologic abnormality),aapp,acab,1,CAUSES_AAPPcausACAB
C1415181,C0410158,CAUSES,GOT1 gene,Muscle damage,aapp,acab,1,CAUSES_AAPPcausACAB
C1418793,C0001168,CAUSES,PPIA gene,Complete obstruction,aapp,acab,1,CAUSES_AAPPcausACAB
C1418795,C0001168,CAUSES,PPIB gene,Complete obstruction,aapp,acab,1,CAUSES_AAPPcausACAB
C1420076,C0086543,CAUSES,SIX5 gene,Cataract,aapp,acab,1,CAUSES_AAPPcausACAB
C1421479,C1265875,CAUSES,WASF1 gene,Disintegration (morphologic abnormality),aapp,acab,1,CAUSES_AAPPcausACAB
C1423506,C0001168,CAUSES,SPINK5 gene,Complete obstruction,aapp,acab,1,CAUSES_AAPPcausACAB
C1425435,C0334070,CAUSES,ATP6AP2 gene,Maturation defect,aapp,acab,1,CAUSES_AAPPcausACAB
C1426765,C0333307,CAUSES,AP5M1 gene,Superficial ulcer,aapp,acab,1,CAUSES_AAPPcausACAB
C1521863,C1265875,CAUSES,"estrogen receptor alpha, human",Disintegration (morphologic abnormality),aapp,acab,1,CAUSES_AAPPcausACAB
C1822790,C1265875,CAUSES,SMG7 gene,Disintegration (morphologic abnormality),aapp,acab,1,CAUSES_AAPPcausACAB
C1825598,C0333307,CAUSES,IMPACT gene,Superficial ulcer,aapp,acab,1,CAUSES_AAPPcausACAB
C2825314,C0334070,CAUSES,MicroRNA Gene,Maturation defect,aapp,acab,1,CAUSES_AAPPcausACAB
C2936529,C2936349,CAUSES,Inflammasomes,"Plaque, Amyloid",aapp,acab,1,CAUSES_AAPPcausACAB
C3889123,C0333160,CAUSES,SMG1 wt Allele,Air cyst,aapp,acab,1,CAUSES_AAPPcausACAB
C4553636,C0406161,CAUSES,GUSB wt Allele,Seed corn,aapp,acab,1,CAUSES_AAPPcausACAB
C4723668,C0333307,CAUSES,HLA-DMA wt Allele,Superficial ulcer,aapp,acab,2,CAUSES_AAPPcausACAB
