cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001239,C0220781,CAUSES,Actin-Binding Protein,Anabolism,aapp,biof,1,CAUSES_AAPPcausBIOF
C0001271,C0220781,CAUSES,Actins,Anabolism,aapp,biof,4,CAUSES_AAPPcausBIOF
C0001347,C0003261,CAUSES,Acute-Phase Proteins,Antibody Formation,aapp,biof,1,CAUSES_AAPPcausBIOF
C0001898,C0242735,CAUSES,alanine,Germination,aapp,biof,1,CAUSES_AAPPcausBIOF
C0002520,C0042765,CAUSES,Amino Acids,Virulence,aapp,biof,1,CAUSES_AAPPcausBIOF
C0002520,C0220781,CAUSES,Amino Acids,Anabolism,aapp,biof,1,CAUSES_AAPPcausBIOF
C0002520,C2936195,CAUSES,Amino Acids,Catabolite Repression,aapp,biof,1,CAUSES_AAPPcausBIOF
C0002716,C0220781,CAUSES,Amyloid,Anabolism,aapp,biof,2,CAUSES_AAPPcausBIOF
C0003006,C0220781,CAUSES,Angiotensin I,Anabolism,aapp,biof,1,CAUSES_AAPPcausBIOF
C0003009,C0220781,CAUSES,angiotensin II,Anabolism,aapp,biof,3,CAUSES_AAPPcausBIOF
C0003765,C0220781,CAUSES,arginine,Anabolism,aapp,biof,1,CAUSES_AAPPcausBIOF
C0003995,C0220781,CAUSES,asparagine,Anabolism,aapp,biof,1,CAUSES_AAPPcausBIOF
C0004630,C0042765,CAUSES,Bacterial Toxins,Virulence,aapp,biof,1,CAUSES_AAPPcausBIOF
C0005832,C0220781,CAUSES,Blood Proteins,Anabolism,aapp,biof,1,CAUSES_AAPPcausBIOF
C0006100,C0220781,CAUSES,Bradykinin,Anabolism,aapp,biof,1,CAUSES_AAPPcausBIOF
C0006631,C0220781,CAUSES,Cadherins,Anabolism,aapp,biof,1,CAUSES_AAPPcausBIOF
C0007578,C0220781,CAUSES,Cell Adhesion Molecules,Anabolism,aapp,biof,2,CAUSES_AAPPcausBIOF
C0009325,C0220781,CAUSES,collagen,Anabolism,aapp,biof,1,CAUSES_AAPPcausBIOF
C0009333,C0220781,CAUSES,Collagen Type IV,Anabolism,aapp,biof,1,CAUSES_AAPPcausBIOF
C0010646,C0220781,CAUSES,Cystatins,Anabolism,aapp,biof,1,CAUSES_AAPPcausBIOF
C0010654,C0003261,CAUSES,cysteine,Antibody Formation,aapp,biof,1,CAUSES_AAPPcausBIOF
C0010654,C0220781,CAUSES,cysteine,Anabolism,aapp,biof,4,CAUSES_AAPPcausBIOF
C0013729,C0220781,CAUSES,Eukaryotic Initiation Factor-2,Anabolism,aapp,biof,2,CAUSES_AAPPcausBIOF
C0014298,C0220781,CAUSES,Enkephalins,Anabolism,aapp,biof,1,CAUSES_AAPPcausBIOF
C0015525,C0220781,CAUSES,Factor XII,Anabolism,aapp,biof,1,CAUSES_AAPPcausBIOF
C0015982,C0220781,CAUSES,Fibrin,Anabolism,aapp,biof,2,CAUSES_AAPPcausBIOF
C0016006,C0220781,CAUSES,fibrinogen,Anabolism,aapp,biof,1,CAUSES_AAPPcausBIOF
C0016011,C0220781,CAUSES,Platelet Glycoprotein GPIIb-IIIa Complex,Anabolism,aapp,biof,1,CAUSES_AAPPcausBIOF
C0016194,C0003261,CAUSES,Flagellin,Antibody Formation,aapp,biof,1,CAUSES_AAPPcausBIOF
C0017278,C0220781,CAUSES,"Gene Products, env",Anabolism,aapp,biof,2,CAUSES_AAPPcausBIOF
C0017278,C3853734,CAUSES,"Gene Products, env",viral process,aapp,biof,1,CAUSES_AAPPcausBIOF
C0017360,C0220781,CAUSES,pol genes,Anabolism,aapp,biof,1,CAUSES_AAPPcausBIOF
