cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002679,C0595916,CAUSES,amphotericin B,Toxic nephropathy,antb,inpo,1,CAUSES_ANTBcausINPO
C0003232,C0010957,CAUSES,Antibiotics,Tissue damage,antb,inpo,1,CAUSES_ANTBcausINPO
C0003232,C0080194,CAUSES,Antibiotics,Muscle strain,antb,inpo,3,CAUSES_ANTBcausINPO
C0003232,C0259756,CAUSES,Antibiotics,Jarisch Herxheimer reaction,antb,inpo,1,CAUSES_ANTBcausINPO
C0003232,C0273115,CAUSES,Antibiotics,Lung Injury,antb,inpo,1,CAUSES_ANTBcausINPO
C0003232,C0481388,CAUSES,Antibiotics,Nosocomial condition,antb,inpo,1,CAUSES_ANTBcausINPO
C0003232,C0850107,CAUSES,Antibiotics,antibiotic side-effect,antb,inpo,1,CAUSES_ANTBcausINPO
C0003234,C1739418,CAUSES,Anthracycline Antibiotics,Acute Cardiotoxicity,antb,inpo,1,CAUSES_ANTBcausINPO
C0003240,C0080194,CAUSES,Macrolide Antibiotics,Muscle strain,antb,inpo,1,CAUSES_ANTBcausINPO
C0003240,C0876994,CAUSES,Macrolide Antibiotics,Cardiotoxicity,antb,inpo,1,CAUSES_ANTBcausINPO
C0011015,C0595916,CAUSES,daunorubicin,Toxic nephropathy,antb,inpo,1,CAUSES_ANTBcausINPO
C0013089,C0018805,CAUSES,doxorubicin,Heart Injuries,antb,inpo,1,CAUSES_ANTBcausINPO
C0013089,C0160420,CAUSES,doxorubicin,Injury of kidney,antb,inpo,1,CAUSES_ANTBcausINPO
C0013089,C0235378,CAUSES,doxorubicin,Hepatotoxicity,antb,inpo,2,CAUSES_ANTBcausINPO
C0013089,C0441718,CAUSES,doxorubicin,Direct trauma,antb,inpo,1,CAUSES_ANTBcausINPO
C0013089,C0595916,CAUSES,doxorubicin,Toxic nephropathy,antb,inpo,1,CAUSES_ANTBcausINPO
C0013089,C0746730,CAUSES,doxorubicin,myocardial injury,antb,inpo,1,CAUSES_ANTBcausINPO
C0013089,C0876994,CAUSES,doxorubicin,Cardiotoxicity,antb,inpo,1,CAUSES_ANTBcausINPO
C0013090,C0600688,CAUSES,doxycycline,Toxic effect,antb,inpo,1,CAUSES_ANTBcausINPO
C0027603,C0595916,CAUSES,neomycin,Toxic nephropathy,antb,inpo,1,CAUSES_ANTBcausINPO
C0052796,C0876994,CAUSES,azithromycin,Cardiotoxicity,antb,inpo,1,CAUSES_ANTBcausINPO
C0072980,C0273115,CAUSES,sirolimus,Lung Injury,antb,inpo,1,CAUSES_ANTBcausINPO
C0085795,C0595916,CAUSES,amphotericin,Toxic nephropathy,antb,inpo,1,CAUSES_ANTBcausINPO
C0279516,C0481388,CAUSES,Anti-Bacterial Agents,Nosocomial condition,antb,inpo,1,CAUSES_ANTBcausINPO
C0279516,C0600688,CAUSES,Anti-Bacterial Agents,Toxic effect,antb,inpo,1,CAUSES_ANTBcausINPO
C0310367,C0264221,CAUSES,Today,Disorder of upper respiratory system,antb,inpo,1,CAUSES_ANTBcausINPO
C3854019,C0595916,CAUSES,gentamicin,Toxic nephropathy,antb,inpo,1,CAUSES_ANTBcausINPO
