cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004611,C0004936,CAUSES,Bacteria,Mental disorders,bact,mobd,1,CAUSES_BACTcausMOBD
C0004611,C0009983,CAUSES,Bacteria,Coprophagia,bact,mobd,2,CAUSES_BACTcausMOBD
C0022938,C0003467,CAUSES,Lactobacillus,Anxiety,bact,mobd,2,CAUSES_BACTcausMOBD
C0036111,C0009676,CAUSES,Salmonella,Confusion,bact,mobd,1,CAUSES_BACTcausMOBD
C0036111,C0233514,CAUSES,Salmonella,Abnormal behavior,bact,mobd,1,CAUSES_BACTcausMOBD
C0038411,C0013473,CAUSES,Streptococcus pyogenes,Eating Disorders,bact,mobd,1,CAUSES_BACTcausMOBD
C0085467,C0233494,CAUSES,Acinetobacter calcoaceticus,Tension,bact,mobd,1,CAUSES_BACTcausMOBD
C0315260,C0424295,CAUSES,Klebsiella oxytoca,Hyperactive behavior,bact,mobd,1,CAUSES_BACTcausMOBD
C0318153,C0036341,CAUSES,Alpha-hemolytic streptococcus,Schizophrenia,bact,mobd,1,CAUSES_BACTcausMOBD
C0580247,C0009676,CAUSES,Enteropathogenic Escherichia coli,Confusion,bact,mobd,1,CAUSES_BACTcausMOBD
C0600148,C0009676,CAUSES,Actinobacteria class,Confusion,bact,mobd,1,CAUSES_BACTcausMOBD
C1264842,C0086168,CAUSES,Diarrheagenic Escherichia coli,Dissociation,bact,mobd,1,CAUSES_BACTcausMOBD
C4698067,C0001973,CAUSES,Acinetobacter baumanii,"Alcoholic Intoxication, Chronic",bact,mobd,1,CAUSES_BACTcausMOBD
