cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0013161,C0600688,CAUSES,Drug Carriers,Toxic effect,bodm,inpo,1,CAUSES_BODMcausINPO
C0017243,C0010957,CAUSES,Gel,Tissue damage,bodm,inpo,1,CAUSES_BODMcausINPO
C0028912,C0032343,CAUSES,Ointments,Poisoning,bodm,inpo,1,CAUSES_BODMcausINPO
C0032521,C0600688,CAUSES,Polymers,Toxic effect,bodm,inpo,1,CAUSES_BODMcausINPO
C0032521,C3203359,CAUSES,Polymers,Rupture,bodm,inpo,1,CAUSES_BODMcausINPO
C0038960,C0043251,CAUSES,Suspensions,Wounds and Injuries,bodm,inpo,1,CAUSES_BODMcausINPO
C0038960,C4552279,CAUSES,Suspensions,Tissue injury,bodm,inpo,1,CAUSES_BODMcausINPO
C0039225,C0235378,CAUSES,Tablet Dosage Form,Hepatotoxicity,bodm,inpo,1,CAUSES_BODMcausINPO
C0042444,C0332679,CAUSES,Drug vehicle,Crushing injury,bodm,inpo,1,CAUSES_BODMcausINPO
C0042444,C0600688,CAUSES,Drug vehicle,Toxic effect,bodm,inpo,1,CAUSES_BODMcausINPO
C0525069,C0010957,CAUSES,Pharmaceutical Solutions,Tissue damage,bodm,inpo,1,CAUSES_BODMcausINPO
C1272883,C0005700,CAUSES,Injection,Blast Injuries,bodm,inpo,1,CAUSES_BODMcausINPO
C1272883,C0010957,CAUSES,Injection,Tissue damage,bodm,inpo,1,CAUSES_BODMcausINPO
C1272883,C0032343,CAUSES,Injection,Poisoning,bodm,inpo,1,CAUSES_BODMcausINPO
C1272883,C0043251,CAUSES,Injection,Wounds and Injuries,bodm,inpo,3,CAUSES_BODMcausINPO
C1272883,C0160390,CAUSES,Injection,Injury of liver,bodm,inpo,1,CAUSES_BODMcausINPO
C1272883,C0242488,CAUSES,Injection,Acute Lung Injury,bodm,inpo,4,CAUSES_BODMcausINPO
C1272883,C0273115,CAUSES,Injection,Lung Injury,bodm,inpo,7,CAUSES_BODMcausINPO
C1272883,C0600688,CAUSES,Injection,Toxic effect,bodm,inpo,2,CAUSES_BODMcausINPO
C1272883,C3263723,CAUSES,Injection,Traumatic injury,bodm,inpo,1,CAUSES_BODMcausINPO
C1272883,C4552279,CAUSES,Injection,Tissue injury,bodm,inpo,1,CAUSES_BODMcausINPO
C1563732,C0242488,CAUSES,Dendrimers,Acute Lung Injury,bodm,inpo,1,CAUSES_BODMcausINPO
C1875022,C0521819,CAUSES,DILUENT,Vaccination failure,bodm,inpo,1,CAUSES_BODMcausINPO
