cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003819,C0600688,CAUSES,Arsenicals,Toxic effect,chvs,inpo,1,CAUSES_CHVScausINPO
C0007447,C0600688,CAUSES,Cations,Toxic effect,chvs,inpo,1,CAUSES_CHVScausINPO
C0014020,C0600688,CAUSES,Emulsions,Toxic effect,chvs,inpo,1,CAUSES_CHVScausINPO
C0017110,C0005700,CAUSES,Gases,Blast Injuries,chvs,inpo,1,CAUSES_CHVScausINPO
C0017110,C0273115,CAUSES,Gases,Lung Injury,chvs,inpo,1,CAUSES_CHVScausINPO
C0017110,C0600688,CAUSES,Gases,Toxic effect,chvs,inpo,1,CAUSES_CHVScausINPO
C0017110,C3203359,CAUSES,Gases,Rupture,chvs,inpo,1,CAUSES_CHVScausINPO
C0028125,C0032343,CAUSES,Nitrates,Poisoning,chvs,inpo,1,CAUSES_CHVScausINPO
C0036140,C0160420,CAUSES,Salts,Injury of kidney,chvs,inpo,1,CAUSES_CHVScausINPO
C0036140,C3203359,CAUSES,Salts,Rupture,chvs,inpo,1,CAUSES_CHVScausINPO
C0243072,C0600688,CAUSES,derivatives,Toxic effect,chvs,inpo,1,CAUSES_CHVScausINPO
C0302912,C0600688,CAUSES,Radicals (chemistry),Toxic effect,chvs,inpo,1,CAUSES_CHVScausINPO
C0303074,C0751792,CAUSES,Metallic compound,"Trauma, Nervous System",chvs,inpo,1,CAUSES_CHVScausINPO
C0581444,C0005700,CAUSES,Gas mixture,Blast Injuries,chvs,inpo,1,CAUSES_CHVScausINPO
C0597177,C0242488,CAUSES,Particle,Acute Lung Injury,chvs,inpo,1,CAUSES_CHVScausINPO
C0597177,C0518443,CAUSES,Particle,skin abrasion,chvs,inpo,1,CAUSES_CHVScausINPO
C0597177,C0600688,CAUSES,Particle,Toxic effect,chvs,inpo,3,CAUSES_CHVScausINPO
C0597177,C3203359,CAUSES,Particle,Rupture,chvs,inpo,1,CAUSES_CHVScausINPO
C1138408,C0600688,CAUSES,"Nanotubes, Carbon",Toxic effect,chvs,inpo,1,CAUSES_CHVScausINPO
C1704241,C2905612,CAUSES,complex (molecular entity),Storm NOS,chvs,inpo,1,CAUSES_CHVScausINPO
C1704241,C4552279,CAUSES,complex (molecular entity),Tissue injury,chvs,inpo,1,CAUSES_CHVScausINPO
C3890228,C0600688,CAUSES,Structural Modifier,Toxic effect,chvs,inpo,1,CAUSES_CHVScausINPO
