cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003075,C0022650,CAUSES,Anions,Kidney Calculi,elii,dsyn,1,CAUSES_ELIIcausDSYN
C0003818,C0003811,CAUSES,arsenic,Cardiac Arrhythmia,elii,dsyn,1,CAUSES_ELIIcausDSYN
C0003818,C0032273,CAUSES,arsenic,Pneumoconiosis,elii,dsyn,1,CAUSES_ELIIcausDSYN
C0003818,C0878544,CAUSES,arsenic,Cardiomyopathies,elii,dsyn,1,CAUSES_ELIIcausDSYN
C0006632,C0002871,CAUSES,cadmium,Anemia,elii,dsyn,1,CAUSES_ELIIcausDSYN
C0006632,C0021831,CAUSES,cadmium,Intestinal Diseases,elii,dsyn,1,CAUSES_ELIIcausDSYN
C0006632,C0032273,CAUSES,cadmium,Pneumoconiosis,elii,dsyn,1,CAUSES_ELIIcausDSYN
C0006632,C0037036,CAUSES,cadmium,Sialorrhea,elii,dsyn,1,CAUSES_ELIIcausDSYN
C0007955,C0015674,CAUSES,charcoal,Chronic Fatigue Syndrome,elii,dsyn,1,CAUSES_ELIIcausDSYN
C0008209,C3472677,CAUSES,chlorine,Irritant rhinitis,elii,dsyn,1,CAUSES_ELIIcausDSYN
C0013852,C3828416,CAUSES,Electrons,Radiation Damage,elii,dsyn,1,CAUSES_ELIIcausDSYN
C0016911,C0035078,CAUSES,gadolinium,Kidney Failure,elii,dsyn,1,CAUSES_ELIIcausDSYN
C0018026,C0206062,CAUSES,gold,"Lung Diseases, Interstitial",elii,dsyn,1,CAUSES_ELIIcausDSYN
C0018880,C0001883,CAUSES,helium,Airway Obstruction,elii,dsyn,1,CAUSES_ELIIcausDSYN
C0022023,C0002878,CAUSES,Ions,"Anemia, Hemolytic",elii,dsyn,1,CAUSES_ELIIcausDSYN
C0022023,C0019159,CAUSES,Ions,Hepatitis A,elii,dsyn,1,CAUSES_ELIIcausDSYN
C0022023,C0027341,CAUSES,Ions,Nail-Patella Syndrome,elii,dsyn,1,CAUSES_ELIIcausDSYN
C0022023,C0031887,CAUSES,Ions,Picornaviridae Infections,elii,dsyn,1,CAUSES_ELIIcausDSYN
C0022023,C0162820,CAUSES,Ions,"Dermatitis, Allergic Contact",elii,dsyn,1,CAUSES_ELIIcausDSYN
C0022023,C0549567,CAUSES,Ions,Pigmentation Disorders,elii,dsyn,1,CAUSES_ELIIcausDSYN
C0022023,C2676739,CAUSES,Ions,Chromosome 2q32-Q33 Deletion Syndrome,elii,dsyn,1,CAUSES_ELIIcausDSYN
C0023175,C0007222,CAUSES,lead,Cardiovascular Diseases,elii,dsyn,1,CAUSES_ELIIcausDSYN
C0023175,C0020538,CAUSES,lead,Hypertensive disease,elii,dsyn,3,CAUSES_ELIIcausDSYN
C0023175,C0035078,CAUSES,lead,Kidney Failure,elii,dsyn,1,CAUSES_ELIIcausDSYN
C0023175,C0302332,CAUSES,lead,Poisoning syndrome,elii,dsyn,1,CAUSES_ELIIcausDSYN
C0023175,C1998028,CAUSES,lead,Photoreceptor degeneration,elii,dsyn,1,CAUSES_ELIIcausDSYN
C0023870,C0023518,CAUSES,lithium,Leukocytosis,elii,dsyn,1,CAUSES_ELIIcausDSYN
C0023870,C0035243,CAUSES,lithium,Respiratory Tract Infections,elii,dsyn,1,CAUSES_ELIIcausDSYN
C0025424,C0004364,CAUSES,mercury,Autoimmune Diseases,elii,dsyn,9,CAUSES_ELIIcausDSYN
C0031705,C0029456,CAUSES,phosphorus,Osteoporosis,elii,dsyn,1,CAUSES_ELIIcausDSYN
C0031705,C0035579,CAUSES,phosphorus,Rickets,elii,dsyn,2,CAUSES_ELIIcausDSYN
C0032207,C0442874,CAUSES,platinum,Neuropathy,elii,dsyn,1,CAUSES_ELIIcausDSYN
C0034629,C0032273,CAUSES,Radon,Pneumoconiosis,elii,dsyn,1,CAUSES_ELIIcausDSYN
C0037125,C0023530,CAUSES,Silver,Leukopenia,elii,dsyn,1,CAUSES_ELIIcausDSYN
C0038836,C0009450,CAUSES,Superoxides,Communicable Diseases,elii,dsyn,2,CAUSES_ELIIcausDSYN
C0038836,C0029134,CAUSES,Superoxides,Optic Neuritis,elii,dsyn,1,CAUSES_ELIIcausDSYN
C0038836,C0032285,CAUSES,Superoxides,Pneumonia,elii,dsyn,3,CAUSES_ELIIcausDSYN
C0038836,C0042769,CAUSES,Superoxides,Virus Diseases,elii,dsyn,1,CAUSES_ELIIcausDSYN
C0039411,C0023530,CAUSES,Technetium,Leukopenia,elii,dsyn,1,CAUSES_ELIIcausDSYN
