cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000983,C0162638,CAUSES,acetic acid,Apoptosis,irda,celf,1,CAUSES_IRDAcausCELF
C0001771,C2613267,CAUSES,agar,sporulation,irda,celf,1,CAUSES_IRDAcausCELF
C0006353,C1156309,CAUSES,Buffers,syncytium formation by plasma membrane fusion,irda,celf,1,CAUSES_IRDAcausCELF
C0006353,C1159455,CAUSES,Buffers,syncytium formation,irda,celf,3,CAUSES_IRDAcausCELF
C0006353,C1816453,CAUSES,Buffers,membrane depolarization,irda,celf,1,CAUSES_IRDAcausCELF
C0007974,C0007587,CAUSES,Chelating Agents,Cell Death,irda,celf,1,CAUSES_IRDAcausCELF
C0010460,C0596991,CAUSES,Cuprizone,myelination,irda,celf,1,CAUSES_IRDAcausCELF
C0010467,C0004391,CAUSES,curcumin,Autophagy,irda,celf,4,CAUSES_IRDAcausCELF
C0010467,C0162638,CAUSES,curcumin,Apoptosis,irda,celf,4,CAUSES_IRDAcausCELF
C0010467,C0598958,CAUSES,curcumin,Neuroprotection,irda,celf,1,CAUSES_IRDAcausCELF
C0010467,C3825288,CAUSES,curcumin,Cellular signal transduction,irda,celf,1,CAUSES_IRDAcausCELF
C0011051,C0042774,CAUSES,DEAE-Dextran,Virus Replication,irda,celf,1,CAUSES_IRDAcausCELF
C0016979,C0007587,CAUSES,gallic acid,Cell Death,irda,celf,3,CAUSES_IRDAcausCELF
C0016979,C0162638,CAUSES,gallic acid,Apoptosis,irda,celf,4,CAUSES_IRDAcausCELF
C0021936,C2754073,CAUSES,inulin,interleukin-2 secretion,irda,celf,1,CAUSES_IRDAcausCELF
C0022115,C0007587,CAUSES,Isatin,Cell Death,irda,celf,1,CAUSES_IRDAcausCELF
C0034303,C0007587,CAUSES,pyrogallol,Cell Death,irda,celf,1,CAUSES_IRDAcausCELF
C0040392,C0162638,CAUSES,Tomatine,Apoptosis,irda,celf,1,CAUSES_IRDAcausCELF
C0040392,C2613267,CAUSES,Tomatine,sporulation,irda,celf,1,CAUSES_IRDAcausCELF
C0041213,C0162638,CAUSES,trypan blue,Apoptosis,irda,celf,1,CAUSES_IRDAcausCELF
C0049832,C0162638,CAUSES,7-aminoactinomycin D,Apoptosis,irda,celf,1,CAUSES_IRDAcausCELF
C5206998,C0162638,CAUSES,Monoiodoacetamide,Apoptosis,irda,celf,1,CAUSES_IRDAcausCELF
