cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0016278,C0015230,CAUSES,flucytosine,Exanthema,nnon,sosy,1,CAUSES_NNONcausSOSY
C0016360,C0008031,CAUSES,fluorouracil,Chest Pain,nnon,sosy,1,CAUSES_NNONcausSOSY
C0020811,C2364135,CAUSES,idoxuridine,Discomfort,nnon,sosy,2,CAUSES_NNONcausSOSY
C0022230,C0027497,CAUSES,inosine pranobex,Nausea,nnon,sosy,1,CAUSES_NNONcausSOSY
C0028630,C0015967,CAUSES,Nucleotides,Fever,nnon,sosy,1,CAUSES_NNONcausSOSY
C0035525,C0003862,CAUSES,ribavirin,Arthralgia,nnon,sosy,1,CAUSES_NNONcausSOSY
C0035525,C0004604,CAUSES,ribavirin,Back Pain,nnon,sosy,1,CAUSES_NNONcausSOSY
C0035525,C0027497,CAUSES,ribavirin,Nausea,nnon,sosy,1,CAUSES_NNONcausSOSY
C0040987,C2364135,CAUSES,trifluridine,Discomfort,nnon,sosy,2,CAUSES_NNONcausSOSY
C0045093,C0015230,CAUSES,gemcitabine,Exanthema,nnon,sosy,1,CAUSES_NNONcausSOSY
C0045093,C0392171,CAUSES,gemcitabine,Influenza-like symptoms,nnon,sosy,1,CAUSES_NNONcausSOSY
C0050063,C0011991,CAUSES,8-chloro-cyclic adenosine monophosphate,Diarrhea,nnon,sosy,2,CAUSES_NNONcausSOSY
C0050063,C0239182,CAUSES,8-chloro-cyclic adenosine monophosphate,Watery diarrhea,nnon,sosy,1,CAUSES_NNONcausSOSY
C0050178,C0011991,CAUSES,buciclovir,Diarrhea,nnon,sosy,11,CAUSES_NNONcausSOSY
C0050178,C1443924,CAUSES,buciclovir,Severe diarrhea,nnon,sosy,3,CAUSES_NNONcausSOSY
C0071359,C0015967,CAUSES,poly ICLC,Fever,nnon,sosy,1,CAUSES_NNONcausSOSY
C0206415,C0039070,CAUSES,Oligonucleotide Primers,Syncope,nnon,sosy,1,CAUSES_NNONcausSOSY
C0206415,C0231807,CAUSES,Oligonucleotide Primers,Dyspnea on exertion,nnon,sosy,1,CAUSES_NNONcausSOSY
C0599013,C0015967,CAUSES,Aptamer,Fever,nnon,sosy,1,CAUSES_NNONcausSOSY
C0599566,C0011991,CAUSES,expression vector,Diarrhea,nnon,sosy,1,CAUSES_NNONcausSOSY
C1511699,C3714552,CAUSES,DNA Structure,Weakness,nnon,sosy,1,CAUSES_NNONcausSOSY
C3272452,C1443924,CAUSES,Single-Stranded RNA,Severe diarrhea,nnon,sosy,1,CAUSES_NNONcausSOSY
