cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000742,C0027651,CAUSES,Abelson murine leukemia virus,Neoplasms,virs,neop,1,CAUSES_VIRScausNEOP
C0001483,C0027651,CAUSES,Adenoviruses,Neoplasms,virs,neop,8,CAUSES_VIRScausNEOP
C0001483,C3825002,CAUSES,Adenoviruses,Cancer in animals,virs,neop,1,CAUSES_VIRScausNEOP
C0001490,C0027627,CAUSES,"Adenoviruses, Human",Neoplasm Metastasis,virs,neop,1,CAUSES_VIRScausNEOP
C0003060,C0006826,CAUSES,Animal Viruses,Malignant Neoplasms,virs,neop,2,CAUSES_VIRScausNEOP
C0004422,C0007621,CAUSES,Avian leukosis virus,Neoplastic Cell Transformation,virs,neop,3,CAUSES_VIRScausNEOP
C0004422,C0018916,CAUSES,Avian leukosis virus,Hemangioma,virs,neop,2,CAUSES_VIRScausNEOP
C0004422,C0027651,CAUSES,Avian leukosis virus,Neoplasms,virs,neop,4,CAUSES_VIRScausNEOP
C0004422,C0079731,CAUSES,Avian leukosis virus,B-Cell Lymphomas,virs,neop,2,CAUSES_VIRScausNEOP
C0004423,C0024299,CAUSES,Genus Alpharetrovirus,Lymphoma,virs,neop,1,CAUSES_VIRScausNEOP
C0004423,C0027651,CAUSES,Genus Alpharetrovirus,Neoplasms,virs,neop,1,CAUSES_VIRScausNEOP
C0004425,C0027651,CAUSES,Reticuloendotheliosis virus,Neoplasms,virs,neop,1,CAUSES_VIRScausNEOP
C0006024,C0677932,CAUSES,Borna disease virus,Progressive Neoplastic Disease,virs,neop,1,CAUSES_VIRScausNEOP
C0006069,C0006142,CAUSES,"Leukemia Virus, Bovine",Malignant neoplasm of breast,virs,neop,2,CAUSES_VIRScausNEOP
C0006069,C0006826,CAUSES,"Leukemia Virus, Bovine",Malignant Neoplasms,virs,neop,2,CAUSES_VIRScausNEOP
C0006069,C0024299,CAUSES,"Leukemia Virus, Bovine",Lymphoma,virs,neop,1,CAUSES_VIRScausNEOP
C0006069,C0027651,CAUSES,"Leukemia Virus, Bovine",Neoplasms,virs,neop,1,CAUSES_VIRScausNEOP
C0006069,C0085165,CAUSES,"Leukemia Virus, Bovine",Enzootic bovine leukosis,virs,neop,1,CAUSES_VIRScausNEOP
C0006072,C0334701,CAUSES,Bovine papillomavirus,Equine sarcoid,virs,neop,1,CAUSES_VIRScausNEOP
C0011315,C0206655,CAUSES,Dengue Virus,Alveolar rhabdomyosarcoma,virs,neop,1,CAUSES_VIRScausNEOP
C0012917,C0027651,CAUSES,DNA Tumor Viruses,Neoplasms,virs,neop,3,CAUSES_VIRScausNEOP
C0012923,C0006826,CAUSES,DNA Viruses,Malignant Neoplasms,virs,neop,1,CAUSES_VIRScausNEOP
C0012923,C0007097,CAUSES,DNA Viruses,Carcinoma,virs,neop,1,CAUSES_VIRScausNEOP
C0012923,C0027651,CAUSES,DNA Viruses,Neoplasms,virs,neop,5,CAUSES_VIRScausNEOP
C0012923,C0205875,CAUSES,DNA Viruses,Papillomatosis,virs,neop,1,CAUSES_VIRScausNEOP
C0012923,C0280313,CAUSES,DNA Viruses,Squamous cell carcinoma of oropharynx,virs,neop,1,CAUSES_VIRScausNEOP
C0014644,C0006413,CAUSES,Epstein-Barr virus,Burkitt Lymphoma,virs,neop,5,CAUSES_VIRScausNEOP
C0014644,C0006826,CAUSES,Epstein-Barr virus,Malignant Neoplasms,virs,neop,5,CAUSES_VIRScausNEOP
C0014644,C0007621,CAUSES,Epstein-Barr virus,Neoplastic Cell Transformation,virs,neop,4,CAUSES_VIRScausNEOP
C0014644,C0019829,CAUSES,Epstein-Barr virus,Hodgkin Disease,virs,neop,1,CAUSES_VIRScausNEOP
C0014644,C0024299,CAUSES,Epstein-Barr virus,Lymphoma,virs,neop,5,CAUSES_VIRScausNEOP
C0014644,C0024314,CAUSES,Epstein-Barr virus,Lymphoproliferative Disorders,virs,neop,6,CAUSES_VIRScausNEOP
C0014644,C0027651,CAUSES,Epstein-Barr virus,Neoplasms,virs,neop,6,CAUSES_VIRScausNEOP
C0014644,C0036220,CAUSES,Epstein-Barr virus,Kaposi Sarcoma,virs,neop,1,CAUSES_VIRScausNEOP
C0014644,C0079731,CAUSES,Epstein-Barr virus,B-Cell Lymphomas,virs,neop,1,CAUSES_VIRScausNEOP
C0014644,C0079772,CAUSES,Epstein-Barr virus,T-Cell Lymphoma,virs,neop,1,CAUSES_VIRScausNEOP
C0014644,C0206186,CAUSES,Epstein-Barr virus,"Leukoplakia, Hairy",virs,neop,1,CAUSES_VIRScausNEOP
C0014644,C0206658,CAUSES,Epstein-Barr virus,Smooth Muscle Tumor,virs,neop,1,CAUSES_VIRScausNEOP
