cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001041,C0006463,COEXISTS_WITH,acetylcholine,busulfan,bacs,hops,1,COEXISTS_WITH_BACScxwtHOPS
C0001443,C0001963,COEXISTS_WITH,adenosine,methanol,bacs,hops,1,COEXISTS_WITH_BACScxwtHOPS
C0005437,C0008238,COEXISTS_WITH,Bilirubin,chloroform,bacs,hops,1,COEXISTS_WITH_BACScxwtHOPS
C0007271,C0025748,COEXISTS_WITH,Carotenoids,methylene chloride,bacs,hops,1,COEXISTS_WITH_BACScxwtHOPS
C0008377,C0001963,COEXISTS_WITH,cholesterol,methanol,bacs,hops,2,COEXISTS_WITH_BACScxwtHOPS
C0008377,C0008238,COEXISTS_WITH,cholesterol,chloroform,bacs,hops,5,COEXISTS_WITH_BACScxwtHOPS
C0008377,C0037366,COEXISTS_WITH,cholesterol,Smoke,bacs,hops,1,COEXISTS_WITH_BACScxwtHOPS
C0009968,C0015919,COEXISTS_WITH,copper,Fertilizers,bacs,hops,1,COEXISTS_WITH_BACScxwtHOPS
C0010843,C0001963,COEXISTS_WITH,cytosine,methanol,bacs,hops,1,COEXISTS_WITH_BACScxwtHOPS
C0012854,C0001963,COEXISTS_WITH,DNA,methanol,bacs,hops,2,COEXISTS_WITH_BACScxwtHOPS
C0012854,C0008238,COEXISTS_WITH,DNA,chloroform,bacs,hops,2,COEXISTS_WITH_BACScxwtHOPS
C0012854,C0028165,COEXISTS_WITH,DNA,Nitrogen Mustard Compounds,bacs,hops,1,COEXISTS_WITH_BACScxwtHOPS
C0012854,C0032829,COEXISTS_WITH,DNA,potassium dichromate,bacs,hops,1,COEXISTS_WITH_BACScxwtHOPS
C0012854,C0048243,COEXISTS_WITH,DNA,4-dichlorobenzene,bacs,hops,1,COEXISTS_WITH_BACScxwtHOPS
C0012854,C0054282,COEXISTS_WITH,DNA,butyl phosphorotrithioate,bacs,hops,1,COEXISTS_WITH_BACScxwtHOPS
C0012854,C0069299,COEXISTS_WITH,DNA,ochratoxin A,bacs,hops,1,COEXISTS_WITH_BACScxwtHOPS
C0016693,C0037366,COEXISTS_WITH,Free Radicals,Smoke,bacs,hops,1,COEXISTS_WITH_BACScxwtHOPS
C0016945,C0025748,COEXISTS_WITH,galactose,methylene chloride,bacs,hops,1,COEXISTS_WITH_BACScxwtHOPS
C0017861,C0014969,COEXISTS_WITH,glycerin,Ethane,bacs,hops,2,COEXISTS_WITH_BACScxwtHOPS
