cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004391,C0006826,COEXISTS_WITH,Autophagy,Malignant Neoplasms,celf,neop,1,COEXISTS_WITH_CELFcxwtNEOP
C0004391,C0007621,COEXISTS_WITH,Autophagy,Neoplastic Cell Transformation,celf,neop,2,COEXISTS_WITH_CELFcxwtNEOP
C0004391,C0206669,COEXISTS_WITH,Autophagy,Hepatocellular Adenoma,celf,neop,1,COEXISTS_WITH_CELFcxwtNEOP
C0004391,C0596263,COEXISTS_WITH,Autophagy,Carcinogenesis,celf,neop,1,COEXISTS_WITH_CELFcxwtNEOP
C0004391,C2239176,COEXISTS_WITH,Autophagy,Liver carcinoma,celf,neop,1,COEXISTS_WITH_CELFcxwtNEOP
C0007582,C0027627,COEXISTS_WITH,Cell Communication,Neoplasm Metastasis,celf,neop,1,COEXISTS_WITH_CELFcxwtNEOP
C0007582,C0596263,COEXISTS_WITH,Cell Communication,Carcinogenesis,celf,neop,1,COEXISTS_WITH_CELFcxwtNEOP
C0007586,C0006826,COEXISTS_WITH,Cell Cycle,Malignant Neoplasms,celf,neop,2,COEXISTS_WITH_CELFcxwtNEOP
C0007587,C0206695,COEXISTS_WITH,Cell Death,"Carcinoma, Neuroendocrine",celf,neop,1,COEXISTS_WITH_CELFcxwtNEOP
C0007590,C0006826,COEXISTS_WITH,Cell division,Malignant Neoplasms,celf,neop,1,COEXISTS_WITH_CELFcxwtNEOP
C0007590,C0027651,COEXISTS_WITH,Cell division,Neoplasms,celf,neop,1,COEXISTS_WITH_CELFcxwtNEOP
C0007595,C0242379,COEXISTS_WITH,Cell Growth,Malignant neoplasm of lung,celf,neop,1,COEXISTS_WITH_CELFcxwtNEOP
C0007595,C1512409,COEXISTS_WITH,Cell Growth,Hepatocarcinogenesis,celf,neop,1,COEXISTS_WITH_CELFcxwtNEOP
C0007613,C0007621,COEXISTS_WITH,Cell physiology,Neoplastic Cell Transformation,celf,neop,1,COEXISTS_WITH_CELFcxwtNEOP
C0007620,C2239176,COEXISTS_WITH,Cell Survival,Liver carcinoma,celf,neop,1,COEXISTS_WITH_CELFcxwtNEOP
C0010813,C0431128,COEXISTS_WITH,Cytokinesis,Papillary craniopharyngioma,celf,neop,1,COEXISTS_WITH_CELFcxwtNEOP
C0010813,C1519670,COEXISTS_WITH,Cytokinesis,Tumor Angiogenesis,celf,neop,1,COEXISTS_WITH_CELFcxwtNEOP
C0014139,C1512694,COEXISTS_WITH,Endocytosis,Increased Cellularity Present,celf,neop,1,COEXISTS_WITH_CELFcxwtNEOP
C0014139,C2939461,COEXISTS_WITH,Endocytosis,Myeloid neoplasm,celf,neop,1,COEXISTS_WITH_CELFcxwtNEOP
C0031308,C0019829,COEXISTS_WITH,Phagocytosis,Hodgkin Disease,celf,neop,1,COEXISTS_WITH_CELFcxwtNEOP
C0031308,C0027651,COEXISTS_WITH,Phagocytosis,Neoplasms,celf,neop,1,COEXISTS_WITH_CELFcxwtNEOP
C0032176,C0085668,COEXISTS_WITH,Platelet aggregation,Secondary carcinoma,celf,neop,1,COEXISTS_WITH_CELFcxwtNEOP
