cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000768,C0003723,COEXISTS_WITH,Congenital Abnormality,Arbovirus Infections,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0000768,C0003873,COEXISTS_WITH,Congenital Abnormality,Rheumatoid Arthritis,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0000768,C0009450,COEXISTS_WITH,Congenital Abnormality,Communicable Diseases,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0000768,C0010823,COEXISTS_WITH,Congenital Abnormality,Cytomegalovirus Infections,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0000768,C0019247,COEXISTS_WITH,Congenital Abnormality,Hereditary Diseases,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0000768,C0019372,COEXISTS_WITH,Congenital Abnormality,Herpesviridae Infections,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0000768,C0019693,COEXISTS_WITH,Congenital Abnormality,HIV Infections,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0000768,C0020725,COEXISTS_WITH,Congenital Abnormality,Type II Mucolipidosis,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0000768,C0025007,COEXISTS_WITH,Congenital Abnormality,Measles,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0000768,C0027059,COEXISTS_WITH,Congenital Abnormality,Myocarditis,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0000768,C0031190,COEXISTS_WITH,Congenital Abnormality,Persistent Fetal Circulation Syndrome,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0000768,C0036310,COEXISTS_WITH,Congenital Abnormality,Scheuermann's Disease,cgab,dsyn,5,COEXISTS_WITH_CGABcxwtDSYN
C0000768,C0036439,COEXISTS_WITH,Congenital Abnormality,"Scoliosis, unspecified",cgab,dsyn,2,COEXISTS_WITH_CGABcxwtDSYN
C0000768,C0040034,COEXISTS_WITH,Congenital Abnormality,Thrombocytopenia,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0000768,C0042769,COEXISTS_WITH,Congenital Abnormality,Virus Diseases,cgab,dsyn,2,COEXISTS_WITH_CGABcxwtDSYN
C0000768,C0162628,COEXISTS_WITH,Congenital Abnormality,"Skin Diseases, Viral",cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0000768,C0162670,COEXISTS_WITH,Congenital Abnormality,Mitochondrial Myopathies,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0000768,C0206019,COEXISTS_WITH,Congenital Abnormality,HIV Encephalopathy,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0000768,C0206750,COEXISTS_WITH,Congenital Abnormality,Coronavirus Infections,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0000768,C0221026,COEXISTS_WITH,Congenital Abnormality,X-linked agammaglobulinemia,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0000768,C0270724,COEXISTS_WITH,Congenital Abnormality,Infantile Neuroaxonal Dystrophy,cgab,dsyn,2,COEXISTS_WITH_CGABcxwtDSYN
C0000768,C0272199,COEXISTS_WITH,Congenital Abnormality,Familial Hemophagocytic Lymphocytosis,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0000768,C0275544,COEXISTS_WITH,Congenital Abnormality,Congenital infectious disease,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0000768,C0276289,COEXISTS_WITH,Congenital Abnormality,Zika Virus Infection,cgab,dsyn,4,COEXISTS_WITH_CGABcxwtDSYN
C0000768,C0339961,COEXISTS_WITH,Congenital Abnormality,Fungal pneumonia,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0000768,C0398686,COEXISTS_WITH,Congenital Abnormality,Primary immune deficiency disorder,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0000768,C0494261,COEXISTS_WITH,Congenital Abnormality,Combined immunodeficiency,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0000768,C0747845,COEXISTS_WITH,Congenital Abnormality,early pregnancy,cgab,dsyn,3,COEXISTS_WITH_CGABcxwtDSYN
C0000768,C0948187,COEXISTS_WITH,Congenital Abnormality,Tracheomalacia,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0000768,C1112157,COEXISTS_WITH,Congenital Abnormality,intrauterine infection,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0000768,C1260899,COEXISTS_WITH,Congenital Abnormality,"Anemia, Diamond-Blackfan",cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0000768,C1384600,COEXISTS_WITH,Congenital Abnormality,Systemic onset juvenile chronic arthritis,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0000768,C1640363,COEXISTS_WITH,Congenital Abnormality,Vector Borne Diseases,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0000768,C1739395,COEXISTS_WITH,Congenital Abnormality,Takotsubo Cardiomyopathy,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0000768,C2676137,COEXISTS_WITH,Congenital Abnormality,Diamond-Blackfan Anemia 1,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0000768,C4288409,COEXISTS_WITH,Congenital Abnormality,Perforin Deficiency,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0000772,C0002418,COEXISTS_WITH,Multiple congenital anomalies,Amblyopia,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0000772,C0019247,COEXISTS_WITH,Multiple congenital anomalies,Hereditary Diseases,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0000772,C3899988,COEXISTS_WITH,Multiple congenital anomalies,Autosomal Recessive Disorder,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0000772,C5203670,COEXISTS_WITH,Multiple congenital anomalies,COVID-19,cgab,dsyn,3,COEXISTS_WITH_CGABcxwtDSYN
C0003857,C3899989,COEXISTS_WITH,Congenital arteriovenous malformation,Autosomal Dominant Disorder,cgab,dsyn,2,COEXISTS_WITH_CGABcxwtDSYN
C0003857,C4551861,COEXISTS_WITH,Congenital arteriovenous malformation,"Telangiectasia, Hereditary Hemorrhagic, Type 1",cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0005411,C0008340,COEXISTS_WITH,Biliary Atresia,Choledochal Cyst,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0005411,C0023892,COEXISTS_WITH,Biliary Atresia,Biliary cirrhosis,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0005411,C0042769,COEXISTS_WITH,Biliary Atresia,Virus Diseases,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0009691,C0035920,COEXISTS_WITH,Congenital cataract,Rubella,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0009691,C0339321,COEXISTS_WITH,Congenital cataract,Phacotoxic uveitis,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0010417,C0036310,COEXISTS_WITH,Cryptorchidism,Scheuermann's Disease,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0013274,C0035220,COEXISTS_WITH,Patent ductus arteriosus,"Respiratory Distress Syndrome, Newborn",cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0013274,C5203670,COEXISTS_WITH,Patent ductus arteriosus,COVID-19,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0013336,C0033770,COEXISTS_WITH,Dwarfism,Prune Belly Syndrome,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0013336,C0494261,COEXISTS_WITH,Dwarfism,Combined immunodeficiency,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0013336,C1274233,COEXISTS_WITH,Dwarfism,T-lymphocyte immunodeficiency,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0013364,C0011860,COEXISTS_WITH,"Dysautonomia, Familial","Diabetes Mellitus, Non-Insulin-Dependent",cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0013364,C0027059,COEXISTS_WITH,"Dysautonomia, Familial",Myocarditis,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0013364,C0027765,COEXISTS_WITH,"Dysautonomia, Familial",nervous system disorder,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0014116,C0013080,COEXISTS_WITH,Endocardial Cushion Defects,Down Syndrome,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0015393,C0035921,COEXISTS_WITH,Eye Abnormalities,Congenital Rubella Syndrome,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0018798,C0024214,COEXISTS_WITH,Congenital Heart Defects,Lymphangiectasis,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0018798,C1855663,COEXISTS_WITH,Congenital Heart Defects,Kaufman oculocerebrofacial syndrome,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0018798,C5203670,COEXISTS_WITH,Congenital Heart Defects,COVID-19,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0018817,C0162429,COEXISTS_WITH,Atrial Septal Defects,Malnutrition,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0018817,C5203670,COEXISTS_WITH,Atrial Septal Defects,COVID-19,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0018818,C0013080,COEXISTS_WITH,Ventricular Septal Defects,Down Syndrome,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0020225,C0036310,COEXISTS_WITH,Hydranencephaly,Scheuermann's Disease,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0020256,C1263835,COEXISTS_WITH,Congenital Hydrocephalus,Infectious disorder of the fetus,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0022283,C0034069,COEXISTS_WITH,Incontinentia Pigmenti Achromians,Pulmonary Fibrosis,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0025958,C0004903,COEXISTS_WITH,Microcephaly,Beckwith-Wiedemann Syndrome,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0025958,C0028860,COEXISTS_WITH,Microcephaly,Oculocerebrorenal Syndrome,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0025958,C0042769,COEXISTS_WITH,Microcephaly,Virus Diseases,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0025958,C0175713,COEXISTS_WITH,Microcephaly,Aicardi's syndrome,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0025958,C0275544,COEXISTS_WITH,Microcephaly,Congenital infectious disease,cgab,dsyn,2,COEXISTS_WITH_CGABcxwtDSYN
C0025958,C0276289,COEXISTS_WITH,Microcephaly,Zika Virus Infection,cgab,dsyn,6,COEXISTS_WITH_CGABcxwtDSYN
C0025958,C0521839,COEXISTS_WITH,Microcephaly,Influenza-like illness,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0025958,C0747845,COEXISTS_WITH,Microcephaly,early pregnancy,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0025958,C1112157,COEXISTS_WITH,Microcephaly,intrauterine infection,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0025958,C1263835,COEXISTS_WITH,Microcephaly,Infectious disorder of the fetus,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0025958,C1563697,COEXISTS_WITH,Microcephaly,Chromosome Instability Syndromes,cgab,dsyn,2,COEXISTS_WITH_CGABcxwtDSYN
C0025990,C0019247,COEXISTS_WITH,Micrognathism,Hereditary Diseases,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0026010,C0155299,COEXISTS_WITH,Microphthalmos,Coloboma of optic disc,cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
C0026985,C0024291,COEXISTS_WITH,Myelodysplasia,"Lymphohistiocytosis, Hemophagocytic",cgab,dsyn,1,COEXISTS_WITH_CGABcxwtDSYN
