cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0012860,C0242606,COEXISTS_WITH,DNA Damage,Oxidative Stress,comd,comd,1,COEXISTS_WITH_COMDcxwtCOMD
C0012860,C2985436,COEXISTS_WITH,DNA Damage,Deleterious Mutation,comd,comd,1,COEXISTS_WITH_COMDcxwtCOMD
C0027746,C0242606,COEXISTS_WITH,Nerve Degeneration,Oxidative Stress,comd,comd,1,COEXISTS_WITH_COMDcxwtCOMD
C0035268,C0162735,COEXISTS_WITH,Restriction fragment length polymorphism,Point Mutation,comd,comd,1,COEXISTS_WITH_COMDcxwtCOMD
C0040715,C0008625,COEXISTS_WITH,Chromosomal translocation,Chromosome Aberrations,comd,comd,1,COEXISTS_WITH_COMDcxwtCOMD
C0040715,C4727136,COEXISTS_WITH,Chromosomal translocation,NUTM1 Gene Rearrangement,comd,comd,1,COEXISTS_WITH_COMDcxwtCOMD
C0242606,C0010827,COEXISTS_WITH,Oxidative Stress,"Cytopathogenic Effect, Viral",comd,comd,1,COEXISTS_WITH_COMDcxwtCOMD
C0333905,C0334031,COEXISTS_WITH,Anisokaryosis,Keratin pearl formation,comd,comd,1,COEXISTS_WITH_COMDcxwtCOMD
C0544908,C0599732,COEXISTS_WITH,Nuclear aggregate,cell injury,comd,comd,1,COEXISTS_WITH_COMDcxwtCOMD
C0544925,C0242606,COEXISTS_WITH,Axonal swelling,Oxidative Stress,comd,comd,1,COEXISTS_WITH_COMDcxwtCOMD
C0545004,C0027746,COEXISTS_WITH,Myelin sheath alteration,Nerve Degeneration,comd,comd,1,COEXISTS_WITH_COMDcxwtCOMD
C0599157,C1709094,COEXISTS_WITH,Transversion Mutation,Multiple Transversion Abnormalities,comd,comd,1,COEXISTS_WITH_COMDcxwtCOMD
C0599732,C0242606,COEXISTS_WITH,cell injury,Oxidative Stress,comd,comd,2,COEXISTS_WITH_COMDcxwtCOMD
C0599732,C0920672,COEXISTS_WITH,cell injury,virus pathogenesis,comd,comd,1,COEXISTS_WITH_COMDcxwtCOMD
C0919532,C0012860,COEXISTS_WITH,Genomic Instability,DNA Damage,comd,comd,1,COEXISTS_WITH_COMDcxwtCOMD
C1515263,C0242606,COEXISTS_WITH,Telomere Shortening,Oxidative Stress,comd,comd,1,COEXISTS_WITH_COMDcxwtCOMD
C1516519,C0002938,COEXISTS_WITH,Chromosomal Loss,Aneuploidy,comd,comd,1,COEXISTS_WITH_COMDcxwtCOMD
C2985436,C2718060,COEXISTS_WITH,Deleterious Mutation,Sequence Inversion,comd,comd,1,COEXISTS_WITH_COMDcxwtCOMD
