cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001339,C0333161,COEXISTS_WITH,"Pancreatitis, Acute",Pseudocyst,dsyn,acab,1,COEXISTS_WITH_DSYNcxwtACAB
C0002170,C0205204,COEXISTS_WITH,Alopecia,Scab,dsyn,acab,1,COEXISTS_WITH_DSYNcxwtACAB
C0002390,C0028259,COEXISTS_WITH,Extrinsic allergic alveolitis,Nodule,dsyn,acab,1,COEXISTS_WITH_DSYNcxwtACAB
C0002395,C0333463,COEXISTS_WITH,Alzheimer's Disease,Senile Plaques,dsyn,acab,2,COEXISTS_WITH_DSYNcxwtACAB
C0003873,C0086543,COEXISTS_WITH,Rheumatoid Arthritis,Cataract,dsyn,acab,1,COEXISTS_WITH_DSYNcxwtACAB
C0006267,C0028259,COEXISTS_WITH,Bronchiectasis,Nodule,dsyn,acab,2,COEXISTS_WITH_DSYNcxwtACAB
C0006271,C0028259,COEXISTS_WITH,Bronchiolitis,Nodule,dsyn,acab,1,COEXISTS_WITH_DSYNcxwtACAB
C0006285,C0028259,COEXISTS_WITH,Bronchopneumonia,Nodule,dsyn,acab,1,COEXISTS_WITH_DSYNcxwtACAB
C0008049,C0028259,COEXISTS_WITH,Chickenpox,Nodule,dsyn,acab,1,COEXISTS_WITH_DSYNcxwtACAB
C0010709,C0028259,COEXISTS_WITH,Cyst,Nodule,dsyn,acab,1,COEXISTS_WITH_DSYNcxwtACAB
C0010823,C0334139,COEXISTS_WITH,Cytomegalovirus Infections,Microglial nodules,dsyn,acab,1,COEXISTS_WITH_DSYNcxwtACAB
C0011847,C0086543,COEXISTS_WITH,Diabetes,Cataract,dsyn,acab,1,COEXISTS_WITH_DSYNcxwtACAB
C0011849,C0086543,COEXISTS_WITH,Diabetes Mellitus,Cataract,dsyn,acab,1,COEXISTS_WITH_DSYNcxwtACAB
C0014038,C0334139,COEXISTS_WITH,Encephalitis,Microglial nodules,dsyn,acab,1,COEXISTS_WITH_DSYNcxwtACAB
C0014118,C0333222,COEXISTS_WITH,Endocarditis,Septic embolus,dsyn,acab,3,COEXISTS_WITH_DSYNcxwtACAB
C0014599,C0333307,COEXISTS_WITH,Epithelial hyperplasia,Superficial ulcer,dsyn,acab,1,COEXISTS_WITH_DSYNcxwtACAB
C0017574,C0333463,COEXISTS_WITH,Gingivitis,Senile Plaques,dsyn,acab,2,COEXISTS_WITH_DSYNcxwtACAB
C0019247,C0442872,COEXISTS_WITH,Hereditary Diseases,Multiple cysts,dsyn,acab,1,COEXISTS_WITH_DSYNcxwtACAB
C0019340,C0028259,COEXISTS_WITH,Herpes,Nodule,dsyn,acab,1,COEXISTS_WITH_DSYNcxwtACAB
C0024110,C0333222,COEXISTS_WITH,Lung Abscess,Septic embolus,dsyn,acab,3,COEXISTS_WITH_DSYNcxwtACAB
C0024115,C0028259,COEXISTS_WITH,Lung diseases,Nodule,dsyn,acab,2,COEXISTS_WITH_DSYNcxwtACAB
C0025062,C0028259,COEXISTS_WITH,Mediastinal Emphysema,Nodule,dsyn,acab,1,COEXISTS_WITH_DSYNcxwtACAB
C0025062,C0442832,COEXISTS_WITH,Mediastinal Emphysema,Alveolar rupture,dsyn,acab,1,COEXISTS_WITH_DSYNcxwtACAB
C0025289,C0334139,COEXISTS_WITH,Meningitis,Microglial nodules,dsyn,acab,1,COEXISTS_WITH_DSYNcxwtACAB
C0026636,C0080233,COEXISTS_WITH,Mouth Diseases,Tooth Loss,dsyn,acab,1,COEXISTS_WITH_DSYNcxwtACAB
C0026946,C0028259,COEXISTS_WITH,Mycoses,Nodule,dsyn,acab,2,COEXISTS_WITH_DSYNcxwtACAB
C0032227,C0028259,COEXISTS_WITH,Pleural effusion disorder,Nodule,dsyn,acab,1,COEXISTS_WITH_DSYNcxwtACAB
C0032227,C0333160,COEXISTS_WITH,Pleural effusion disorder,Air cyst,dsyn,acab,1,COEXISTS_WITH_DSYNcxwtACAB
C0032308,C0333160,COEXISTS_WITH,Staphylococcal Pneumonia,Air cyst,dsyn,acab,1,COEXISTS_WITH_DSYNcxwtACAB
C0032310,C0028259,COEXISTS_WITH,"Pneumonia, Viral",Nodule,dsyn,acab,1,COEXISTS_WITH_DSYNcxwtACAB
C0032326,C0333160,COEXISTS_WITH,Pneumothorax,Air cyst,dsyn,acab,1,COEXISTS_WITH_DSYNcxwtACAB
C0033860,C0333463,COEXISTS_WITH,Psoriasis,Senile Plaques,dsyn,acab,1,COEXISTS_WITH_DSYNcxwtACAB
C0035204,C1265875,COEXISTS_WITH,Respiration Disorders,Disintegration (morphologic abnormality),dsyn,acab,1,COEXISTS_WITH_DSYNcxwtACAB
C0041234,C0333161,COEXISTS_WITH,Chagas Disease,Pseudocyst,dsyn,acab,1,COEXISTS_WITH_DSYNcxwtACAB
C0041912,C0002690,COEXISTS_WITH,Upper Respiratory Infections,Amputation Stumps,dsyn,acab,1,COEXISTS_WITH_DSYNcxwtACAB
C0042384,C0028259,COEXISTS_WITH,Vasculitis,Nodule,dsyn,acab,1,COEXISTS_WITH_DSYNcxwtACAB
C0151317,C2936349,COEXISTS_WITH,Chronic infectious disease,"Plaque, Amyloid",dsyn,acab,1,COEXISTS_WITH_DSYNcxwtACAB
