cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001175,C0019682,COEXISTS_WITH,Acquired Immunodeficiency Syndrome,HIV,dsyn,virs,11,COEXISTS_WITH_DSYNcxwtVIRS
C0001175,C0019704,COEXISTS_WITH,Acquired Immunodeficiency Syndrome,HIV-1,dsyn,virs,1,COEXISTS_WITH_DSYNcxwtVIRS
C0001175,C0035366,COEXISTS_WITH,Acquired Immunodeficiency Syndrome,Retroviridae,dsyn,virs,1,COEXISTS_WITH_DSYNcxwtVIRS
C0001175,C0037224,COEXISTS_WITH,Acquired Immunodeficiency Syndrome,Simian immunodeficiency virus,dsyn,virs,1,COEXISTS_WITH_DSYNcxwtVIRS
C0001175,C0042776,COEXISTS_WITH,Acquired Immunodeficiency Syndrome,Virus,dsyn,virs,3,COEXISTS_WITH_DSYNcxwtVIRS
C0001314,C0019682,COEXISTS_WITH,Acute Disease,HIV,dsyn,virs,1,COEXISTS_WITH_DSYNcxwtVIRS
C0001314,C0042776,COEXISTS_WITH,Acute Disease,Virus,dsyn,virs,2,COEXISTS_WITH_DSYNcxwtVIRS
C0001314,C0085150,COEXISTS_WITH,Acute Disease,Filoviridae,dsyn,virs,3,COEXISTS_WITH_DSYNcxwtVIRS
C0001314,C5203676,COEXISTS_WITH,Acute Disease,2019 novel coronavirus,dsyn,virs,1,COEXISTS_WITH_DSYNcxwtVIRS
C0001344,C0010825,COEXISTS_WITH,Acute pharyngitis,Cytomegalovirus,dsyn,virs,1,COEXISTS_WITH_DSYNcxwtVIRS
C0001344,C0025011,COEXISTS_WITH,Acute pharyngitis,Measles virus,dsyn,virs,2,COEXISTS_WITH_DSYNcxwtVIRS
C0001344,C0035924,COEXISTS_WITH,Acute pharyngitis,rubella virus,dsyn,virs,1,COEXISTS_WITH_DSYNcxwtVIRS
C0001486,C0001483,COEXISTS_WITH,Adenovirus Infections,Adenoviruses,dsyn,virs,2,COEXISTS_WITH_DSYNcxwtVIRS
C0001486,C0019369,COEXISTS_WITH,Adenovirus Infections,Herpesviridae,dsyn,virs,2,COEXISTS_WITH_DSYNcxwtVIRS
C0001486,C0042776,COEXISTS_WITH,Adenovirus Infections,Virus,dsyn,virs,2,COEXISTS_WITH_DSYNcxwtVIRS
C0001623,C0010825,COEXISTS_WITH,Adrenal gland hypofunction,Cytomegalovirus,dsyn,virs,1,COEXISTS_WITH_DSYNcxwtVIRS
C0001748,C0003060,COEXISTS_WITH,African Horse Sickness,Animal Viruses,dsyn,virs,1,COEXISTS_WITH_DSYNcxwtVIRS
C0001752,C3627506,COEXISTS_WITH,African swine fever,Quaranjavirus,dsyn,virs,1,COEXISTS_WITH_DSYNcxwtVIRS
C0001857,C0206037,COEXISTS_WITH,AIDS related complex,Subfamily lentivirinae,dsyn,virs,1,COEXISTS_WITH_DSYNcxwtVIRS
