cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001963,C0003232,COEXISTS_WITH,methanol,Antibiotics,hops,antb,1,COEXISTS_WITH_HOPScxwtANTB
C0004482,C0077063,COEXISTS_WITH,azathioprine,trichostatin A,hops,antb,1,COEXISTS_WITH_HOPScxwtANTB
C0039654,C0026408,COEXISTS_WITH,Tetradecanoylphorbol Acetate,monensin,hops,antb,1,COEXISTS_WITH_HOPScxwtANTB
C0039654,C0054036,COEXISTS_WITH,Tetradecanoylphorbol Acetate,Brefeldin A,hops,antb,3,COEXISTS_WITH_HOPScxwtANTB
C0052416,C0052796,COEXISTS_WITH,arsenic trioxide,azithromycin,hops,antb,1,COEXISTS_WITH_HOPScxwtANTB
C0065896,C0003232,COEXISTS_WITH,melamine,Antibiotics,hops,antb,1,COEXISTS_WITH_HOPScxwtANTB
C0066256,C0003232,COEXISTS_WITH,methyl isocyanate,Antibiotics,hops,antb,1,COEXISTS_WITH_HOPScxwtANTB
C0066256,C0003240,COEXISTS_WITH,methyl isocyanate,Macrolide Antibiotics,hops,antb,1,COEXISTS_WITH_HOPScxwtANTB
C0066256,C0006968,COEXISTS_WITH,methyl isocyanate,Carbapenems,hops,antb,1,COEXISTS_WITH_HOPScxwtANTB
C0066256,C0014806,COEXISTS_WITH,methyl isocyanate,erythromycin,hops,antb,1,COEXISTS_WITH_HOPScxwtANTB
C0066256,C0035608,COEXISTS_WITH,methyl isocyanate,rifampin,hops,antb,1,COEXISTS_WITH_HOPScxwtANTB
C0066256,C0040341,COEXISTS_WITH,methyl isocyanate,tobramycin,hops,antb,1,COEXISTS_WITH_HOPScxwtANTB
C0066256,C0052796,COEXISTS_WITH,methyl isocyanate,azithromycin,hops,antb,1,COEXISTS_WITH_HOPScxwtANTB
C0066256,C0055856,COEXISTS_WITH,methyl isocyanate,clarithromycin,hops,antb,1,COEXISTS_WITH_HOPScxwtANTB
C0444622,C0027324,COEXISTS_WITH,Toxin production,nafcillin,hops,antb,1,COEXISTS_WITH_HOPScxwtANTB
