cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000379,C0023810,COEXISTS_WITH,"3,4-Methylenedioxyamphetamine",Lipopolysaccharides,hops,orch,2,COEXISTS_WITH_HOPScxwtORCH
C0000677,C0036845,COEXISTS_WITH,"9,10-Dimethyl-1,2-benzanthracene",sesame oil,hops,orch,1,COEXISTS_WITH_HOPScxwtORCH
C0001963,C0001002,COEXISTS_WITH,methanol,acetone,hops,orch,1,COEXISTS_WITH_HOPScxwtORCH
C0001963,C0001962,COEXISTS_WITH,methanol,ethanol,hops,orch,2,COEXISTS_WITH_HOPScxwtORCH
C0001963,C0012403,COEXISTS_WITH,methanol,dimethyl sulfoxide,hops,orch,3,COEXISTS_WITH_HOPScxwtORCH
C0001963,C0023828,COEXISTS_WITH,methanol,Liposomes,hops,orch,1,COEXISTS_WITH_HOPScxwtORCH
C0001963,C0025938,COEXISTS_WITH,methanol,Micelles,hops,orch,1,COEXISTS_WITH_HOPScxwtORCH
C0001963,C0030415,COEXISTS_WITH,methanol,paraffin,hops,orch,1,COEXISTS_WITH_HOPScxwtORCH
C0001963,C0036189,COEXISTS_WITH,methanol,Saponins,hops,orch,1,COEXISTS_WITH_HOPScxwtORCH
C0001963,C0039294,COEXISTS_WITH,methanol,tannic acid,hops,orch,1,COEXISTS_WITH_HOPScxwtORCH
C0001963,C0041415,COEXISTS_WITH,methanol,Tween 20,hops,orch,1,COEXISTS_WITH_HOPScxwtORCH
C0001963,C0041420,COEXISTS_WITH,methanol,Tweens,hops,orch,1,COEXISTS_WITH_HOPScxwtORCH
C0001963,C0050456,COEXISTS_WITH,methanol,acetonitrile,hops,orch,1,COEXISTS_WITH_HOPScxwtORCH
C0001963,C0056269,COEXISTS_WITH,methanol,Coomassie blue,hops,orch,1,COEXISTS_WITH_HOPScxwtORCH
C0001963,C0068008,COEXISTS_WITH,methanol,hexane,hops,orch,1,COEXISTS_WITH_HOPScxwtORCH
C0001963,C0072229,COEXISTS_WITH,methanol,propylene oxide,hops,orch,1,COEXISTS_WITH_HOPScxwtORCH
C0001963,C2698794,COEXISTS_WITH,methanol,Phentydrone,hops,orch,1,COEXISTS_WITH_HOPScxwtORCH
C0002771,C0000970,COEXISTS_WITH,Analgesics,acetaminophen,hops,orch,1,COEXISTS_WITH_HOPScxwtORCH
C0002771,C0009214,COEXISTS_WITH,Analgesics,codeine,hops,orch,1,COEXISTS_WITH_HOPScxwtORCH
C0002771,C0019590,COEXISTS_WITH,Analgesics,Histamine Antagonists,hops,orch,1,COEXISTS_WITH_HOPScxwtORCH
C0002771,C0022614,COEXISTS_WITH,Analgesics,ketamine,hops,orch,1,COEXISTS_WITH_HOPScxwtORCH
C0003036,C0068008,COEXISTS_WITH,aniline,hexane,hops,orch,1,COEXISTS_WITH_HOPScxwtORCH
C0004482,C0010583,COEXISTS_WITH,azathioprine,cyclophosphamide,hops,orch,1,COEXISTS_WITH_HOPScxwtORCH
C0004482,C0025677,COEXISTS_WITH,azathioprine,methotrexate,hops,orch,1,COEXISTS_WITH_HOPScxwtORCH
C0004519,C2926735,COEXISTS_WITH,Azoxymethane,Duration,hops,orch,1,COEXISTS_WITH_HOPScxwtORCH
C0005036,C0178528,COEXISTS_WITH,benzene,carboxylate,hops,orch,1,COEXISTS_WITH_HOPScxwtORCH
C0006463,C0010583,COEXISTS_WITH,busulfan,cyclophosphamide,hops,orch,1,COEXISTS_WITH_HOPScxwtORCH
C0006463,C0939273,COEXISTS_WITH,busulfan,Busulfex,hops,orch,1,COEXISTS_WITH_HOPScxwtORCH
C0006628,C0001962,COEXISTS_WITH,Cacodylic Acid,ethanol,hops,orch,1,COEXISTS_WITH_HOPScxwtORCH
C0007090,C0001962,COEXISTS_WITH,Carcinogens,ethanol,hops,orch,1,COEXISTS_WITH_HOPScxwtORCH
C0007991,C0260127,COEXISTS_WITH,Chemical Warfare Agents,Phosphonates,hops,orch,2,COEXISTS_WITH_HOPScxwtORCH
C0008238,C0001962,COEXISTS_WITH,chloroform,ethanol,hops,orch,8,COEXISTS_WITH_HOPScxwtORCH
C0008238,C0001975,COEXISTS_WITH,chloroform,Alcohols,hops,orch,1,COEXISTS_WITH_HOPScxwtORCH
C0008238,C0012403,COEXISTS_WITH,chloroform,dimethyl sulfoxide,hops,orch,1,COEXISTS_WITH_HOPScxwtORCH
C0008238,C0023779,COEXISTS_WITH,chloroform,Lipids,hops,orch,1,COEXISTS_WITH_HOPScxwtORCH
