cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001546,C0815107,COEXISTS_WITH,Adjustment Disorders,Psychological Distress,mobd,mobd,1,COEXISTS_WITH_MOBDcxwtMOBD
C0002622,C0038441,COEXISTS_WITH,Amnesia,"Stress Disorders, Traumatic",mobd,mobd,1,COEXISTS_WITH_MOBDcxwtMOBD
C0003467,C0003469,COEXISTS_WITH,Anxiety,Anxiety Disorders,mobd,mobd,2,COEXISTS_WITH_MOBDcxwtMOBD
C0003467,C0004936,COEXISTS_WITH,Anxiety,Mental disorders,mobd,mobd,5,COEXISTS_WITH_MOBDcxwtMOBD
C0003467,C0009460,COEXISTS_WITH,Anxiety,Communication impairment,mobd,mobd,1,COEXISTS_WITH_MOBDcxwtMOBD
C0003467,C0009676,COEXISTS_WITH,Anxiety,Confusion,mobd,mobd,1,COEXISTS_WITH_MOBDcxwtMOBD
C0003467,C0011581,COEXISTS_WITH,Anxiety,Depressive disorder,mobd,mobd,14,COEXISTS_WITH_MOBDcxwtMOBD
C0003467,C0013473,COEXISTS_WITH,Anxiety,Eating Disorders,mobd,mobd,1,COEXISTS_WITH_MOBDcxwtMOBD
C0003467,C0027401,COEXISTS_WITH,Anxiety,Narcissism,mobd,mobd,1,COEXISTS_WITH_MOBDcxwtMOBD
C0003467,C0030319,COEXISTS_WITH,Anxiety,Panic Disorder,mobd,mobd,1,COEXISTS_WITH_MOBDcxwtMOBD
C0003467,C0037650,COEXISTS_WITH,Anxiety,Somatoform Disorder,mobd,mobd,1,COEXISTS_WITH_MOBDcxwtMOBD
C0003467,C0038436,COEXISTS_WITH,Anxiety,Post-Traumatic Stress Disorder,mobd,mobd,4,COEXISTS_WITH_MOBDcxwtMOBD
C0003467,C0038443,COEXISTS_WITH,Anxiety,"Stress, Psychological",mobd,mobd,1,COEXISTS_WITH_MOBDcxwtMOBD
C0003467,C0040188,COEXISTS_WITH,Anxiety,Tic disorder,mobd,mobd,2,COEXISTS_WITH_MOBDcxwtMOBD
C0003467,C0085281,COEXISTS_WITH,Anxiety,Addictive Behavior,mobd,mobd,1,COEXISTS_WITH_MOBDcxwtMOBD
C0003467,C0235013,COEXISTS_WITH,Anxiety,Hypervigilance,mobd,mobd,1,COEXISTS_WITH_MOBDcxwtMOBD
C0003467,C0237123,COEXISTS_WITH,Anxiety,Alcohol or Other Drugs use,mobd,mobd,1,COEXISTS_WITH_MOBDcxwtMOBD
C0003467,C0262376,COEXISTS_WITH,Anxiety,anxiety generalized,mobd,mobd,1,COEXISTS_WITH_MOBDcxwtMOBD
C0003467,C0302826,COEXISTS_WITH,Anxiety,Expressed Emotion,mobd,mobd,1,COEXISTS_WITH_MOBDcxwtMOBD
