cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000934,C0004048,COEXISTS_WITH,Acclimatization,Inspiration function,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0000934,C0006147,COEXISTS_WITH,Acclimatization,Breast Feeding,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0000934,C0014653,COEXISTS_WITH,Acclimatization,Equilibrium,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0000934,C0018270,COEXISTS_WITH,Acclimatization,Growth,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0000934,C0032961,COEXISTS_WITH,Acclimatization,Pregnancy,orgf,orgf,8,COEXISTS_WITH_ORGFcxwtORGF
C0000934,C0035150,COEXISTS_WITH,Acclimatization,Reproduction,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0000934,C1148523,COEXISTS_WITH,Acclimatization,Childbirth,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0000934,C1155328,COEXISTS_WITH,Acclimatization,Antiviral Response,orgf,orgf,3,COEXISTS_WITH_ORGFcxwtORGF
C0000934,C1752856,COEXISTS_WITH,Acclimatization,Host-Pathogen Interactions,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0001400,C0032961,COEXISTS_WITH,"Adaptation, Physiological",Pregnancy,orgf,orgf,5,COEXISTS_WITH_ORGFcxwtORGF
C0001702,C0002750,COEXISTS_WITH,Aerobiosis,Anaerobiosis,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0001811,C0008810,COEXISTS_WITH,Aging,Circadian Rhythms,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0001811,C0009253,COEXISTS_WITH,Aging,Coitus,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0001811,C0014653,COEXISTS_WITH,Aging,Equilibrium,orgf,orgf,2,COEXISTS_WITH_ORGFcxwtORGF
C0001811,C0015895,COEXISTS_WITH,Aging,Fertility,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0001811,C0020967,COEXISTS_WITH,Aging,Humoral Immunity,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0001811,C0037361,COEXISTS_WITH,Aging,Smell Perception,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0001811,C0042789,COEXISTS_WITH,Aging,Vision,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0001811,C1510835,COEXISTS_WITH,Aging,Aging-Related Process,orgf,orgf,4,COEXISTS_WITH_ORGFcxwtORGF
C0001811,C1817907,COEXISTS_WITH,Aging,T cell mediated immunity,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0001811,C1819457,COEXISTS_WITH,Aging,interleukin-4 production,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0003618,C0011135,COEXISTS_WITH,Desire for food,Defecation,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0003618,C0029957,COEXISTS_WITH,Desire for food,Oviposition,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0003618,C0032961,COEXISTS_WITH,Desire for food,Pregnancy,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0004048,C0001811,COEXISTS_WITH,Inspiration function,Aging,orgf,orgf,2,COEXISTS_WITH_ORGFcxwtORGF
C0004048,C0018270,COEXISTS_WITH,Inspiration function,Growth,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0004048,C0026649,COEXISTS_WITH,Inspiration function,Movement,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0004048,C0031807,COEXISTS_WITH,Inspiration function,Physical Exertion,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0004048,C0037313,COEXISTS_WITH,Inspiration function,Sleep,orgf,orgf,9,COEXISTS_WITH_ORGFcxwtORGF
C0004048,C0037817,COEXISTS_WITH,Inspiration function,Speech,orgf,orgf,3,COEXISTS_WITH_ORGFcxwtORGF
C0004048,C0231800,COEXISTS_WITH,Inspiration function,"Expiration, function",orgf,orgf,18,COEXISTS_WITH_ORGFcxwtORGF
C0004048,C1148523,COEXISTS_WITH,Inspiration function,Childbirth,orgf,orgf,2,COEXISTS_WITH_ORGFcxwtORGF
C0005615,C0006147,COEXISTS_WITH,Birth,Breast Feeding,orgf,orgf,3,COEXISTS_WITH_ORGFcxwtORGF
C0005615,C0006159,COEXISTS_WITH,Birth,Breeding,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0005615,C0009637,COEXISTS_WITH,Birth,Conception,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0005615,C0011065,COEXISTS_WITH,Birth,Cessation of life,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0005615,C0013470,COEXISTS_WITH,Birth,Eating,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0005615,C0014653,COEXISTS_WITH,Birth,Equilibrium,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0005615,C0014948,COEXISTS_WITH,Birth,Estrus,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0005615,C0018270,COEXISTS_WITH,Birth,Growth,orgf,orgf,2,COEXISTS_WITH_ORGFcxwtORGF
C0005615,C0022864,COEXISTS_WITH,Birth,Labor (Childbirth),orgf,orgf,5,COEXISTS_WITH_ORGFcxwtORGF
C0005615,C0025519,COEXISTS_WITH,Birth,Metabolism,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0005615,C0032961,COEXISTS_WITH,Birth,Pregnancy,orgf,orgf,22,COEXISTS_WITH_ORGFcxwtORGF
C0005615,C0678210,COEXISTS_WITH,Birth,"Passive immunity, function",orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0005615,C1148523,COEXISTS_WITH,Birth,Childbirth,orgf,orgf,6,COEXISTS_WITH_ORGFcxwtORGF
C0005615,C1516559,COEXISTS_WITH,Birth,Circulatory Process,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0005615,C1819437,COEXISTS_WITH,Birth,interleukin-10 production,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0005823,C0014653,COEXISTS_WITH,Blood Pressure,Equilibrium,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0005823,C0022864,COEXISTS_WITH,Blood Pressure,Labor (Childbirth),orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0005823,C0032961,COEXISTS_WITH,Blood Pressure,Pregnancy,orgf,orgf,4,COEXISTS_WITH_ORGFcxwtORGF
C0005823,C0042789,COEXISTS_WITH,Blood Pressure,Vision,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0005823,C1516559,COEXISTS_WITH,Blood Pressure,Circulatory Process,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0006147,C0018270,COEXISTS_WITH,Breast Feeding,Growth,orgf,orgf,2,COEXISTS_WITH_ORGFcxwtORGF
C0006147,C0032961,COEXISTS_WITH,Breast Feeding,Pregnancy,orgf,orgf,9,COEXISTS_WITH_ORGFcxwtORGF
C0006147,C2985494,COEXISTS_WITH,Breast Feeding,Resorption,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0006159,C0006147,COEXISTS_WITH,Breeding,Breast Feeding,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0006159,C0015745,COEXISTS_WITH,Breeding,Feeding behaviors,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0006159,C0015895,COEXISTS_WITH,Breeding,Fertility,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0006159,C0018270,COEXISTS_WITH,Breeding,Growth,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0006159,C0032961,COEXISTS_WITH,Breeding,Pregnancy,orgf,orgf,2,COEXISTS_WITH_ORGFcxwtORGF
C0006159,C0035150,COEXISTS_WITH,Breeding,Reproduction,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0006159,C1260875,COEXISTS_WITH,Breeding,mating,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0008810,C0023946,COEXISTS_WITH,Circadian Rhythms,Locomotion,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0009253,C0000934,COEXISTS_WITH,Coitus,Acclimatization,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0009253,C0001811,COEXISTS_WITH,Coitus,Aging,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0009253,C0005823,COEXISTS_WITH,Coitus,Blood Pressure,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0009253,C0006147,COEXISTS_WITH,Coitus,Breast Feeding,orgf,orgf,2,COEXISTS_WITH_ORGFcxwtORGF
C0009253,C0025329,COEXISTS_WITH,Coitus,Menstrual cycle,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0009253,C0032961,COEXISTS_WITH,Coitus,Pregnancy,orgf,orgf,7,COEXISTS_WITH_ORGFcxwtORGF
C0009253,C0035150,COEXISTS_WITH,Coitus,Reproduction,orgf,orgf,3,COEXISTS_WITH_ORGFcxwtORGF
C0009253,C1135598,COEXISTS_WITH,Coitus,postnatal development,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0009253,C1148523,COEXISTS_WITH,Coitus,Childbirth,orgf,orgf,2,COEXISTS_WITH_ORGFcxwtORGF
C0009253,C1157268,COEXISTS_WITH,Coitus,cuticle development,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0009253,C3159140,COEXISTS_WITH,Coitus,interferon production,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0009637,C0032961,COEXISTS_WITH,Conception,Pregnancy,orgf,orgf,7,COEXISTS_WITH_ORGFcxwtORGF
C0009637,C0042789,COEXISTS_WITH,Conception,Vision,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0011065,C0001811,COEXISTS_WITH,Cessation of life,Aging,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0011065,C0004048,COEXISTS_WITH,Cessation of life,Inspiration function,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0011065,C0005615,COEXISTS_WITH,Cessation of life,Birth,orgf,orgf,7,COEXISTS_WITH_ORGFcxwtORGF
C0011065,C0006147,COEXISTS_WITH,Cessation of life,Breast Feeding,orgf,orgf,2,COEXISTS_WITH_ORGFcxwtORGF
C0011065,C0006159,COEXISTS_WITH,Cessation of life,Breeding,orgf,orgf,3,COEXISTS_WITH_ORGFcxwtORGF
C0011065,C0009253,COEXISTS_WITH,Cessation of life,Coitus,orgf,orgf,5,COEXISTS_WITH_ORGFcxwtORGF
C0011065,C0014653,COEXISTS_WITH,Cessation of life,Equilibrium,orgf,orgf,2,COEXISTS_WITH_ORGFcxwtORGF
C0011065,C0018270,COEXISTS_WITH,Cessation of life,Growth,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0011065,C0022864,COEXISTS_WITH,Cessation of life,Labor (Childbirth),orgf,orgf,3,COEXISTS_WITH_ORGFcxwtORGF
C0011065,C0025519,COEXISTS_WITH,Cessation of life,Metabolism,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0011065,C0032961,COEXISTS_WITH,Cessation of life,Pregnancy,orgf,orgf,20,COEXISTS_WITH_ORGFcxwtORGF
C0011065,C0037313,COEXISTS_WITH,Cessation of life,Sleep,orgf,orgf,2,COEXISTS_WITH_ORGFcxwtORGF
C0011065,C0037361,COEXISTS_WITH,Cessation of life,Smell Perception,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0011065,C0042789,COEXISTS_WITH,Cessation of life,Vision,orgf,orgf,2,COEXISTS_WITH_ORGFcxwtORGF
C0011065,C0043240,COEXISTS_WITH,Cessation of life,Wound Healing,orgf,orgf,2,COEXISTS_WITH_ORGFcxwtORGF
C0011065,C1148523,COEXISTS_WITH,Cessation of life,Childbirth,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0011065,C1510835,COEXISTS_WITH,Cessation of life,Aging-Related Process,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0011065,C1516559,COEXISTS_WITH,Cessation of life,Circulatory Process,orgf,orgf,4,COEXISTS_WITH_ORGFcxwtORGF
C0011065,C3494405,COEXISTS_WITH,Cessation of life,Maternal Death,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0011135,C0032961,COEXISTS_WITH,Defecation,Pregnancy,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0011167,C0004048,COEXISTS_WITH,Deglutition,Inspiration function,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0011167,C0013470,COEXISTS_WITH,Deglutition,Eating,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0011167,C0231795,COEXISTS_WITH,Deglutition,Normal respiratory function,orgf,orgf,2,COEXISTS_WITH_ORGFcxwtORGF
C0011167,C0231800,COEXISTS_WITH,Deglutition,"Expiration, function",orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0012238,C0011065,COEXISTS_WITH,Digestion,Cessation of life,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0012238,C1516559,COEXISTS_WITH,Digestion,Circulatory Process,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0013123,C0950151,COEXISTS_WITH,Water consumption,Estrous Cycle,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0013470,C0003618,COEXISTS_WITH,Eating,Desire for food,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0013470,C0006147,COEXISTS_WITH,Eating,Breast Feeding,orgf,orgf,3,COEXISTS_WITH_ORGFcxwtORGF
C0013470,C0014948,COEXISTS_WITH,Eating,Estrus,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0013470,C0019516,COEXISTS_WITH,Eating,Hibernation,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0013470,C0022864,COEXISTS_WITH,Eating,Labor (Childbirth),orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0013470,C0032961,COEXISTS_WITH,Eating,Pregnancy,orgf,orgf,2,COEXISTS_WITH_ORGFcxwtORGF
C0013470,C0033274,COEXISTS_WITH,Eating,Proestrus,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0014653,C0001811,COEXISTS_WITH,Equilibrium,Aging,orgf,orgf,5,COEXISTS_WITH_ORGFcxwtORGF
C0014653,C0005615,COEXISTS_WITH,Equilibrium,Birth,orgf,orgf,2,COEXISTS_WITH_ORGFcxwtORGF
C0014653,C0011065,COEXISTS_WITH,Equilibrium,Cessation of life,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0014653,C0026649,COEXISTS_WITH,Equilibrium,Movement,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
C0014653,C0032961,COEXISTS_WITH,Equilibrium,Pregnancy,orgf,orgf,3,COEXISTS_WITH_ORGFcxwtORGF
C0014653,C0037313,COEXISTS_WITH,Equilibrium,Sleep,orgf,orgf,1,COEXISTS_WITH_ORGFcxwtORGF
