cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0005456,C0010843,COEXISTS_WITH,Binding Sites,cytosine,rcpt,bacs,1,COEXISTS_WITH_RCPTcxwtBACS
C0005456,C0012854,COEXISTS_WITH,Binding Sites,DNA,rcpt,bacs,3,COEXISTS_WITH_RCPTcxwtBACS
C0005456,C0014290,COEXISTS_WITH,Binding Sites,"Enhancer Elements, Genetic",rcpt,bacs,1,COEXISTS_WITH_RCPTcxwtBACS
C0005456,C0032136,COEXISTS_WITH,Binding Sites,Plasmids,rcpt,bacs,1,COEXISTS_WITH_RCPTcxwtBACS
C0005456,C0033413,COEXISTS_WITH,Binding Sites,"Promoter Regions, Genetic",rcpt,bacs,14,COEXISTS_WITH_RCPTcxwtBACS
C0005456,C0034987,COEXISTS_WITH,Binding Sites,"Regulatory Sequences, Nucleic Acid",rcpt,bacs,2,COEXISTS_WITH_RCPTcxwtBACS
C0005456,C0035693,COEXISTS_WITH,Binding Sites,"RNA, Double-Stranded",rcpt,bacs,1,COEXISTS_WITH_RCPTcxwtBACS
C0005456,C0086860,COEXISTS_WITH,Binding Sites,Promoter,rcpt,bacs,17,COEXISTS_WITH_RCPTcxwtBACS
C0005456,C0600493,COEXISTS_WITH,Binding Sites,5' Untranslated Regions,rcpt,bacs,4,COEXISTS_WITH_RCPTcxwtBACS
C0005456,C0600508,COEXISTS_WITH,Binding Sites,Response Elements,rcpt,bacs,2,COEXISTS_WITH_RCPTcxwtBACS
C0005456,C1566558,COEXISTS_WITH,Binding Sites,Natural Products,rcpt,bacs,1,COEXISTS_WITH_RCPTcxwtBACS
C0005456,C2350877,COEXISTS_WITH,Binding Sites,"Promoter, Genetic",rcpt,bacs,1,COEXISTS_WITH_RCPTcxwtBACS
