cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000729,C0011991,COEXISTS_WITH,Abdominal Cramps,Diarrhea,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0000729,C0239182,COEXISTS_WITH,Abdominal Cramps,Watery diarrhea,sosy,sosy,2,COEXISTS_WITH_SOSYcxwtSOSY
C0000737,C0010200,COEXISTS_WITH,Abdominal Pain,Coughing,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0000737,C0011991,COEXISTS_WITH,Abdominal Pain,Diarrhea,sosy,sosy,3,COEXISTS_WITH_SOSYcxwtSOSY
C0000737,C0015967,COEXISTS_WITH,Abdominal Pain,Fever,sosy,sosy,2,COEXISTS_WITH_SOSYcxwtSOSY
C0000737,C0037090,COEXISTS_WITH,Abdominal Pain,"Signs and Symptoms, Respiratory",sosy,sosy,3,COEXISTS_WITH_SOSYcxwtSOSY
C0000737,C0042963,COEXISTS_WITH,Abdominal Pain,Vomiting,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0000737,C0085593,COEXISTS_WITH,Abdominal Pain,Chills,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0000737,C0231528,COEXISTS_WITH,Abdominal Pain,Myalgia,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0000737,C0239182,COEXISTS_WITH,Abdominal Pain,Watery diarrhea,sosy,sosy,3,COEXISTS_WITH_SOSYcxwtSOSY
C0000737,C0426576,COEXISTS_WITH,Abdominal Pain,Gastrointestinal symptom,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0000737,C3714772,COEXISTS_WITH,Abdominal Pain,Recurrent fevers,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0001416,C0011991,COEXISTS_WITH,Adenitis,Diarrhea,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0003578,C0010200,COEXISTS_WITH,Apnea,Coughing,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0003862,C0010200,COEXISTS_WITH,Arthralgia,Coughing,sosy,sosy,2,COEXISTS_WITH_SOSYcxwtSOSY
C0003862,C0015672,COEXISTS_WITH,Arthralgia,Fatigue,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0003862,C0015967,COEXISTS_WITH,Arthralgia,Fever,sosy,sosy,5,COEXISTS_WITH_SOSYcxwtSOSY
C0003862,C0018681,COEXISTS_WITH,Arthralgia,Headache,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0003862,C0231528,COEXISTS_WITH,Arthralgia,Myalgia,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0003862,C0850149,COEXISTS_WITH,Arthralgia,Dry cough,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0003862,C1304408,COEXISTS_WITH,Arthralgia,Urticarial vasculitis,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0003862,C2926602,COEXISTS_WITH,Arthralgia,"Discharge, body substance",sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0003862,C3494361,COEXISTS_WITH,Arthralgia,Prodromal Stage,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0004093,C0015967,COEXISTS_WITH,Asthenia,Fever,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0004134,C0015672,COEXISTS_WITH,Ataxia,Fatigue,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0004134,C0015967,COEXISTS_WITH,Ataxia,Fever,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0004134,C0018681,COEXISTS_WITH,Ataxia,Headache,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0004134,C0231528,COEXISTS_WITH,Ataxia,Myalgia,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0004134,C0522365,COEXISTS_WITH,Ataxia,Severe vertigo,sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
C0004134,C2926602,COEXISTS_WITH,Ataxia,"Discharge, body substance",sosy,sosy,1,COEXISTS_WITH_SOSYcxwtSOSY
