cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001483,C0001486,COEXISTS_WITH,Adenoviruses,Adenovirus Infections,virs,dsyn,2,COEXISTS_WITH_VIRScxwtDSYN
C0001483,C0001883,COEXISTS_WITH,Adenoviruses,Airway Obstruction,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0001483,C0004096,COEXISTS_WITH,Adenoviruses,Asthma,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0001483,C0006267,COEXISTS_WITH,Adenoviruses,Bronchiectasis,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0001483,C0006271,COEXISTS_WITH,Adenoviruses,Bronchiolitis,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0001483,C0006277,COEXISTS_WITH,Adenoviruses,Bronchitis,virs,dsyn,2,COEXISTS_WITH_VIRScxwtDSYN
C0001483,C0009443,COEXISTS_WITH,Adenoviruses,Common Cold,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0001483,C0010823,COEXISTS_WITH,Adenoviruses,Cytomegalovirus Infections,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0001483,C0014335,COEXISTS_WITH,Adenoviruses,Enteritis,virs,dsyn,2,COEXISTS_WITH_VIRScxwtDSYN
C0001483,C0015403,COEXISTS_WITH,Adenoviruses,Eye Infection,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0001483,C0017160,COEXISTS_WITH,Adenoviruses,Gastroenteritis,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0001483,C0021400,COEXISTS_WITH,Adenoviruses,Influenza,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0001483,C0024117,COEXISTS_WITH,Adenoviruses,Chronic Obstructive Airway Disease,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0001483,C0027059,COEXISTS_WITH,Adenoviruses,Myocarditis,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0001483,C0027341,COEXISTS_WITH,Adenoviruses,Nail-Patella Syndrome,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0001483,C0028754,COEXISTS_WITH,Adenoviruses,Obesity,virs,dsyn,2,COEXISTS_WITH_VIRScxwtDSYN
C0001483,C0031351,COEXISTS_WITH,Adenoviruses,Pharyngo-Conjunctival Fever,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0001483,C0032285,COEXISTS_WITH,Adenoviruses,Pneumonia,virs,dsyn,4,COEXISTS_WITH_VIRScxwtDSYN
C0001483,C0032310,COEXISTS_WITH,Adenoviruses,"Pneumonia, Viral",virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0001483,C0035235,COEXISTS_WITH,Adenoviruses,Respiratory Syncytial Virus Infections,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0001483,C0035243,COEXISTS_WITH,Adenoviruses,Respiratory Tract Infections,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0001483,C0035869,COEXISTS_WITH,Adenoviruses,Rotavirus Infections,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0001483,C0037274,COEXISTS_WITH,Adenoviruses,Dermatologic disorders,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0001483,C0042769,COEXISTS_WITH,Adenoviruses,Virus Diseases,virs,dsyn,4,COEXISTS_WITH_VIRScxwtDSYN
C0001483,C0085692,COEXISTS_WITH,Adenoviruses,Hemorrhagic cystitis,virs,dsyn,2,COEXISTS_WITH_VIRScxwtDSYN
C0001483,C0149725,COEXISTS_WITH,Adenoviruses,Lower respiratory tract infection,virs,dsyn,3,COEXISTS_WITH_VIRScxwtDSYN
C0001483,C0151798,COEXISTS_WITH,Adenoviruses,Hepatic necrosis,virs,dsyn,2,COEXISTS_WITH_VIRScxwtDSYN
C0001483,C0206750,COEXISTS_WITH,Adenoviruses,Coronavirus Infections,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0001483,C0264219,COEXISTS_WITH,Adenoviruses,Acute respiratory disease,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0001483,C0264222,COEXISTS_WITH,Adenoviruses,Acute upper respiratory infection,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0001483,C0275524,COEXISTS_WITH,Adenoviruses,Coinfection,virs,dsyn,13,COEXISTS_WITH_VIRScxwtDSYN
C0001483,C0275804,COEXISTS_WITH,Adenoviruses,Streptococcal tonsillitis,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0001483,C0339901,COEXISTS_WITH,Adenoviruses,Acute respiratory infections,virs,dsyn,3,COEXISTS_WITH_VIRScxwtDSYN
C0001483,C0343349,COEXISTS_WITH,Adenoviruses,Infantile gastroenteritis,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0001483,C0740304,COEXISTS_WITH,Adenoviruses,copd exacerbation,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0001483,C0743841,COEXISTS_WITH,Adenoviruses,Disorder characterized by fever,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0001483,C0749589,COEXISTS_WITH,Adenoviruses,tonsillitis exudative,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0001483,C0854507,COEXISTS_WITH,Adenoviruses,Enterovirus Gastroenteritis,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0001483,C1856053,COEXISTS_WITH,Adenoviruses,Hydranencephaly with Renal Aplasia-Dysplasia,virs,dsyn,2,COEXISTS_WITH_VIRScxwtDSYN
C0001483,C2062441,COEXISTS_WITH,Adenoviruses,Influenza A,virs,dsyn,2,COEXISTS_WITH_VIRScxwtDSYN
C0001483,C2609139,COEXISTS_WITH,Adenoviruses,Gastrointestinal virus,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0001483,C5192201,COEXISTS_WITH,Adenoviruses,Near fatal asthma,virs,dsyn,2,COEXISTS_WITH_VIRScxwtDSYN
C0001490,C0017160,COEXISTS_WITH,"Adenoviruses, Human",Gastroenteritis,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0001490,C0019196,COEXISTS_WITH,"Adenoviruses, Human",Hepatitis C,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0001490,C0027341,COEXISTS_WITH,"Adenoviruses, Human",Nail-Patella Syndrome,virs,dsyn,3,COEXISTS_WITH_VIRScxwtDSYN
C0001490,C0035204,COEXISTS_WITH,"Adenoviruses, Human",Respiration Disorders,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0001490,C0041912,COEXISTS_WITH,"Adenoviruses, Human",Upper Respiratory Infections,virs,dsyn,2,COEXISTS_WITH_VIRScxwtDSYN
C0001491,C0035204,COEXISTS_WITH,"Adenoviruses, Simian",Respiration Disorders,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0002331,C0043528,COEXISTS_WITH,Alphavirus,Zoonoses,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0002331,C0206752,COEXISTS_WITH,Alphavirus,Alphavirus Infections,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0002331,C0275518,COEXISTS_WITH,Alphavirus,Acute infectious disease,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0002331,C0275524,COEXISTS_WITH,Alphavirus,Coinfection,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0003060,C0037354,COEXISTS_WITH,Animal Viruses,Smallpox,virs,dsyn,2,COEXISTS_WITH_VIRScxwtDSYN
C0003060,C0042769,COEXISTS_WITH,Animal Viruses,Virus Diseases,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0003060,C0376329,COEXISTS_WITH,Animal Viruses,New Variant Creutzfeldt-Jakob Disease,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0003725,C0277548,COEXISTS_WITH,Arboviruses,Epidemic disease,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0003725,C5203670,COEXISTS_WITH,Arboviruses,COVID-19,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0004120,C0017160,COEXISTS_WITH,Astrovirus,Gastroenteritis,virs,dsyn,3,COEXISTS_WITH_VIRScxwtDSYN
C0004120,C0027765,COEXISTS_WITH,Astrovirus,nervous system disorder,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0004120,C0032851,COEXISTS_WITH,Astrovirus,Poultry Diseases,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0004120,C0041912,COEXISTS_WITH,Astrovirus,Upper Respiratory Infections,virs,dsyn,2,COEXISTS_WITH_VIRScxwtDSYN
C0004120,C0151594,COEXISTS_WITH,Astrovirus,Hemorrhagic diarrhea,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0004120,C0205721,COEXISTS_WITH,Astrovirus,"Infections, Hospital",virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0004120,C0206750,COEXISTS_WITH,Astrovirus,Coronavirus Infections,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0004120,C0267446,COEXISTS_WITH,Astrovirus,Acute gastroenteritis,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0004120,C0275524,COEXISTS_WITH,Astrovirus,Coinfection,virs,dsyn,2,COEXISTS_WITH_VIRScxwtDSYN
C0004419,C0014518,COEXISTS_WITH,Infectious bronchitis virus,Toxic Epidermal Necrolysis,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0004419,C0027697,COEXISTS_WITH,Infectious bronchitis virus,Nephritis,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0004419,C0035204,COEXISTS_WITH,Infectious bronchitis virus,Respiration Disorders,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0004419,C0206750,COEXISTS_WITH,Infectious bronchitis virus,Coronavirus Infections,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0004419,C0263214,COEXISTS_WITH,Infectious bronchitis virus,Pyotraumatic dermatitis,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0004419,C0276472,COEXISTS_WITH,Infectious bronchitis virus,Avian infectious bronchitis,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0004422,C0004096,COEXISTS_WITH,Avian leukosis virus,Asthma,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0004422,C0019196,COEXISTS_WITH,Avian leukosis virus,Hepatitis C,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0004651,C0032285,COEXISTS_WITH,Bacteriophages,Pneumonia,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0004651,C0033770,COEXISTS_WITH,Bacteriophages,Prune Belly Syndrome,virs,dsyn,7,COEXISTS_WITH_VIRScxwtDSYN
C0004651,C0042769,COEXISTS_WITH,Bacteriophages,Virus Diseases,virs,dsyn,2,COEXISTS_WITH_VIRScxwtDSYN
C0004651,C0151317,COEXISTS_WITH,Bacteriophages,Chronic infectious disease,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
C0004651,C0391922,COEXISTS_WITH,Bacteriophages,Hemorrhagic enteritis,virs,dsyn,1,COEXISTS_WITH_VIRScxwtDSYN
