cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0020857,C1420471,COMPARED_WITH,IgG2A,STK19 gene,aapp,gngm,1,COMPARED_WITH_AAPPcpwtGNGM
C0021755,C1421968,COMPARED_WITH,Interleukin-1,NEK7 gene,aapp,gngm,1,COMPARED_WITH_AAPPcpwtGNGM
C0021756,C1420471,COMPARED_WITH,Interleukin-2,STK19 gene,aapp,gngm,1,COMPARED_WITH_AAPPcpwtGNGM
C0021760,C2346625,COMPARED_WITH,interleukin-6,LCN2 wt Allele,aapp,gngm,1,COMPARED_WITH_AAPPcpwtGNGM
C0034790,C1333258,COMPARED_WITH,T-Cell Receptor,DUSP3 gene,aapp,gngm,1,COMPARED_WITH_AAPPcpwtGNGM
C0042210,C1420622,COMPARED_WITH,Vaccines,TCEA1 gene,aapp,gngm,1,COMPARED_WITH_AAPPcpwtGNGM
C0063695,C1825077,COMPARED_WITH,Intercellular adhesion molecule 1,EXOC4 gene,aapp,gngm,1,COMPARED_WITH_AAPPcpwtGNGM
C0812309,C1416491,COMPARED_WITH,LTB gene,ITGA9 gene,aapp,gngm,1,COMPARED_WITH_AAPPcpwtGNGM
C1413299,C1413154,COMPARED_WITH,CDSN gene,CBR1 gene,aapp,gngm,1,COMPARED_WITH_AAPPcpwtGNGM
C1414619,C1419102,COMPARED_WITH,FKBP1B gene,PTPN22 gene,aapp,gngm,1,COMPARED_WITH_AAPPcpwtGNGM
C1415892,C1414345,COMPARED_WITH,IFIT1 gene,EIF3C gene,aapp,gngm,1,COMPARED_WITH_AAPPcpwtGNGM
C1415996,C1416298,COMPARED_WITH,IGHV@ gene cluster,IGLV@ gene cluster,aapp,gngm,2,COMPARED_WITH_AAPPcpwtGNGM
C1416496,C1416484,COMPARED_WITH,ITGB1 gene,ITGA2 gene,aapp,gngm,1,COMPARED_WITH_AAPPcpwtGNGM
C1416870,C1421412,COMPARED_WITH,LIPG gene,UTRN gene,aapp,gngm,1,COMPARED_WITH_AAPPcpwtGNGM
C1417565,C3890009,COMPARED_WITH,MYO5A gene,RAB27A wt Allele,aapp,gngm,1,COMPARED_WITH_AAPPcpwtGNGM
C1421268,C1823564,COMPARED_WITH,UBA1 gene,UBA6 gene,aapp,gngm,1,COMPARED_WITH_AAPPcpwtGNGM
C1421408,C1421407,COMPARED_WITH,USP7 gene,USP6 gene,aapp,gngm,1,COMPARED_WITH_AAPPcpwtGNGM
C1421527,C1836172,COMPARED_WITH,XBP1 gene,MZB1 gene,aapp,gngm,2,COMPARED_WITH_AAPPcpwtGNGM
C1423767,C1424692,COMPARED_WITH,HPS4 gene,HPS5 gene,aapp,gngm,1,COMPARED_WITH_AAPPcpwtGNGM
C1449159,C1704869,COMPARED_WITH,"CCL2 protein, human",CCL23 wt Allele,aapp,gngm,1,COMPARED_WITH_AAPPcpwtGNGM
C1883559,C1424494,COMPARED_WITH,Wild Type,TENT4A gene,aapp,gngm,1,COMPARED_WITH_AAPPcpwtGNGM
C1953384,C1843948,COMPARED_WITH,Reverse primer,DAOA-AS1 gene,aapp,gngm,1,COMPARED_WITH_AAPPcpwtGNGM
C2677316,C2986872,COMPARED_WITH,MSMP gene,DPPA3 wt Allele,aapp,gngm,1,COMPARED_WITH_AAPPcpwtGNGM
C3890397,C2986648,COMPARED_WITH,PRKAA1 wt Allele,PRKAA2 wt Allele,aapp,gngm,1,COMPARED_WITH_AAPPcpwtGNGM
