cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0032521,C0017718,COMPARED_WITH,Polymers,glucosamine,bodm,orch,1,COMPARED_WITH_BODMcpwtORCH
C0032521,C0023779,COMPARED_WITH,Polymers,Lipids,bodm,orch,3,COMPARED_WITH_BODMcpwtORCH
C0032521,C0023828,COMPARED_WITH,Polymers,Liposomes,bodm,orch,1,COMPARED_WITH_BODMcpwtORCH
C0032521,C0039692,COMPARED_WITH,Polymers,Tetramisole,bodm,orch,1,COMPARED_WITH_BODMcpwtORCH
C0032521,C0071615,COMPARED_WITH,Polymers,polymethacrylic acid,bodm,orch,1,COMPARED_WITH_BODMcpwtORCH
C0032521,C0913755,COMPARED_WITH,Polymers,poly(2-(dimethylamino)ethyl methacrylate),bodm,orch,2,COMPARED_WITH_BODMcpwtORCH
C0065208,C0059460,COMPARED_WITH,LR white,EPON,bodm,orch,1,COMPARED_WITH_BODMcpwtORCH
C0770624,C0002508,COMPARED_WITH,carbomer,Amines,bodm,orch,1,COMPARED_WITH_BODMcpwtORCH
C0917735,C0052080,COMPARED_WITH,concise,antineoplaston A10,bodm,orch,1,COMPARED_WITH_BODMcpwtORCH
C0917735,C2926735,COMPARED_WITH,concise,Duration,bodm,orch,1,COMPARED_WITH_BODMcpwtORCH
C1563732,C0132326,COMPARED_WITH,Dendrimers,nevirapine,bodm,orch,1,COMPARED_WITH_BODMcpwtORCH
C1563732,C0720544,COMPARED_WITH,Dendrimers,G-1,bodm,orch,1,COMPARED_WITH_BODMcpwtORCH
C1563732,C1609342,COMPARED_WITH,Dendrimers,PAMAM dendrimer,bodm,orch,1,COMPARED_WITH_BODMcpwtORCH
