cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002616,C0303749,COMPARED_WITH,Ammonium Compounds,Bleach,chvs,inch,1,COMPARED_WITH_CHVScpwtINCH
C0017110,C3536832,COMPARED_WITH,Gases,air,chvs,inch,4,COMPARED_WITH_CHVScpwtINCH
C0036140,C0032825,COMPARED_WITH,Salts,potassium chloride,chvs,inch,1,COMPARED_WITH_CHVScpwtINCH
C0036140,C0034320,COMPARED_WITH,Salts,Diphosphates,chvs,inch,1,COMPARED_WITH_CHVScpwtINCH
C0036140,C0359299,COMPARED_WITH,Salts,sterile water,chvs,inch,1,COMPARED_WITH_CHVScpwtINCH
C0037093,C0037098,COMPARED_WITH,Silanes,silicon dioxide,chvs,inch,1,COMPARED_WITH_CHVScpwtINCH
C0038739,C0071687,COMPARED_WITH,Sulfides,polysulfide,chvs,inch,1,COMPARED_WITH_CHVScpwtINCH
C0303231,C0008838,COMPARED_WITH,Lead compound,cisplatin,chvs,inch,1,COMPARED_WITH_CHVScpwtINCH
C0337022,C0337023,COMPARED_WITH,Hot liquid,Hot water,chvs,inch,1,COMPARED_WITH_CHVScpwtINCH
C0596040,C0008838,COMPARED_WITH,adduct,cisplatin,chvs,inch,1,COMPARED_WITH_CHVScpwtINCH
C0597177,C0002371,COMPARED_WITH,Particle,aluminum hydroxide,chvs,inch,1,COMPARED_WITH_CHVScpwtINCH
C0597177,C0025552,COMPARED_WITH,Particle,Metals,chvs,inch,2,COMPARED_WITH_CHVScpwtINCH
C0597177,C0043047,COMPARED_WITH,Particle,water,chvs,inch,2,COMPARED_WITH_CHVScpwtINCH
C0597177,C0051522,COMPARED_WITH,Particle,aluminum sulfate,chvs,inch,1,COMPARED_WITH_CHVScpwtINCH
C0597177,C0205813,COMPARED_WITH,Particle,Kaolinite,chvs,inch,1,COMPARED_WITH_CHVScpwtINCH
C0597177,C3536832,COMPARED_WITH,Particle,air,chvs,inch,6,COMPARED_WITH_CHVScpwtINCH
C0597635,C3536832,COMPARED_WITH,Vapor,air,chvs,inch,1,COMPARED_WITH_CHVScpwtINCH
C1704241,C0008838,COMPARED_WITH,complex (molecular entity),cisplatin,chvs,inch,2,COMPARED_WITH_CHVScpwtINCH
C1704241,C0038720,COMPARED_WITH,complex (molecular entity),"Sulfates, Inorganic",chvs,inch,1,COMPARED_WITH_CHVScpwtINCH
C1704241,C0038762,COMPARED_WITH,complex (molecular entity),Sulfonic Acids,chvs,inch,1,COMPARED_WITH_CHVScpwtINCH
C1704241,C0064715,COMPARED_WITH,complex (molecular entity),lead azide,chvs,inch,1,COMPARED_WITH_CHVScpwtINCH
