cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002367,C0042210,COMPARED_WITH,aluminum,Vaccines,elii,aapp,1,COMPARED_WITH_ELIIcpwtAAPP
C0003075,C1883559,COMPARED_WITH,Anions,Wild Type,elii,aapp,1,COMPARED_WITH_ELIIcpwtAAPP
C0003781,C1419115,COMPARED_WITH,argon,PTPRF gene,elii,aapp,1,COMPARED_WITH_ELIIcpwtAAPP
C0008209,C1412290,COMPARED_WITH,chlorine,AGXT gene,elii,aapp,1,COMPARED_WITH_ELIIcpwtAAPP
C0008574,C3715044,COMPARED_WITH,chromium,AKR1A1 wt Allele,elii,aapp,1,COMPARED_WITH_ELIIcpwtAAPP
C0011744,C1450145,COMPARED_WITH,Deuterium,"Luciferases, Renilla",elii,aapp,1,COMPARED_WITH_ELIIcpwtAAPP
C0018026,C0017890,COMPARED_WITH,gold,glycine,elii,aapp,1,COMPARED_WITH_ELIIcpwtAAPP
C0018026,C0042313,COMPARED_WITH,gold,vancomycin,elii,aapp,1,COMPARED_WITH_ELIIcpwtAAPP
C0020275,C0033382,COMPARED_WITH,hydrogen,proline,elii,aapp,1,COMPARED_WITH_ELIIcpwtAAPP
C0022023,C0162330,COMPARED_WITH,Ions,Hexosaminidase A,elii,aapp,1,COMPARED_WITH_ELIIcpwtAAPP
C0022023,C1415800,COMPARED_WITH,Ions,HTN1 gene,elii,aapp,1,COMPARED_WITH_ELIIcpwtAAPP
C0022023,C1417325,COMPARED_WITH,Ions,MS gene,elii,aapp,1,COMPARED_WITH_ELIIcpwtAAPP
C0022023,C4284302,COMPARED_WITH,Ions,EHD1 wt Allele,elii,aapp,1,COMPARED_WITH_ELIIcpwtAAPP
C0023175,C0012020,COMPARED_WITH,lead,Diazooxonorleucine,elii,aapp,1,COMPARED_WITH_ELIIcpwtAAPP
C0023175,C0911469,COMPARED_WITH,lead,Caspase 12,elii,aapp,1,COMPARED_WITH_ELIIcpwtAAPP
C0037125,C1415800,COMPARED_WITH,Silver,HTN1 gene,elii,aapp,1,COMPARED_WITH_ELIIcpwtAAPP
C0038836,C4321251,COMPARED_WITH,Superoxides,CYCS wt Allele,elii,aapp,1,COMPARED_WITH_ELIIcpwtAAPP
C0302945,C1539216,COMPARED_WITH,Carbon-14,CYTL1 gene,elii,aapp,1,COMPARED_WITH_ELIIcpwtAAPP
C0347988,C1708154,COMPARED_WITH,"Metals, Heavy",GRB2 wt Allele,elii,aapp,1,COMPARED_WITH_ELIIcpwtAAPP
C0567415,C0033382,COMPARED_WITH,Atom (substance),proline,elii,aapp,1,COMPARED_WITH_ELIIcpwtAAPP
C0567415,C0072323,COMPARED_WITH,Atom (substance),"3C protease, Rhinovirus",elii,aapp,1,COMPARED_WITH_ELIIcpwtAAPP
C0596235,C0015494,COMPARED_WITH,calcium ion,Factor IXa,elii,aapp,1,COMPARED_WITH_ELIIcpwtAAPP
C0596235,C1871788,COMPARED_WITH,calcium ion,"CCL3 protein, human",elii,aapp,1,COMPARED_WITH_ELIIcpwtAAPP
C0700308,C0042210,COMPARED_WITH,Protium,Vaccines,elii,aapp,1,COMPARED_WITH_ELIIcpwtAAPP
C2346661,C1421429,COMPARED_WITH,Pb2+,VTRNA1-1 gene,elii,aapp,1,COMPARED_WITH_ELIIcpwtAAPP
C2349970,C1419025,COMPARED_WITH,S4+,PSMC5 gene,elii,aapp,1,COMPARED_WITH_ELIIcpwtAAPP
