cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0007009,C0001962,COMPARED_WITH,Carbon,ethanol,elii,orch,1,COMPARED_WITH_ELIIcpwtORCH
C0008209,C0008164,COMPARED_WITH,chlorine,Chloramines,elii,orch,1,COMPARED_WITH_ELIIcpwtORCH
C0008209,C0020336,COMPARED_WITH,chlorine,hydroxychloroquine,elii,orch,1,COMPARED_WITH_ELIIcpwtORCH
C0011744,C0281643,COMPARED_WITH,Deuterium,incomplete Freund's adjuvant,elii,orch,1,COMPARED_WITH_ELIIcpwtORCH
C0021223,C0036311,COMPARED_WITH,indium,Schiff Bases,elii,orch,1,COMPARED_WITH_ELIIcpwtORCH
C0022023,C0007004,COMPARED_WITH,Ions,Carbohydrates,elii,orch,1,COMPARED_WITH_ELIIcpwtORCH
C0022023,C0149368,COMPARED_WITH,Ions,zinc acetate,elii,orch,1,COMPARED_WITH_ELIIcpwtORCH
C0032207,C2744440,COMPARED_WITH,platinum,niraparib,elii,orch,2,COMPARED_WITH_ELIIcpwtORCH
C0037125,C0032857,COMPARED_WITH,Silver,povidone-iodine,elii,orch,1,COMPARED_WITH_ELIIcpwtORCH
C0037125,C0037134,COMPARED_WITH,Silver,silver sulfadiazine,elii,orch,1,COMPARED_WITH_ELIIcpwtORCH
C0037125,C0056269,COMPARED_WITH,Silver,Coomassie blue,elii,orch,1,COMPARED_WITH_ELIIcpwtORCH
C0038836,C0003968,COMPARED_WITH,Superoxides,ascorbic acid,elii,orch,1,COMPARED_WITH_ELIIcpwtORCH
C0038836,C0060794,COMPARED_WITH,Superoxides,fucoidan,elii,orch,1,COMPARED_WITH_ELIIcpwtORCH
C0040302,C0084113,COMPARED_WITH,titanium,polyetheretherketone,elii,orch,1,COMPARED_WITH_ELIIcpwtORCH
C0303225,C2926735,COMPARED_WITH,gallium-67,Duration,elii,orch,1,COMPARED_WITH_ELIIcpwtORCH
C0347988,C0001275,COMPARED_WITH,"Metals, Heavy",activated charcoal,elii,orch,1,COMPARED_WITH_ELIIcpwtORCH
C4708436,C0003968,COMPARED_WITH,Ferrous ion,ascorbic acid,elii,orch,1,COMPARED_WITH_ELIIcpwtORCH
