cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0037129,C0036140,COMPARED_WITH,silver nitrate,Salts,inch,chvs,1,COMPARED_WITH_INCHcpwtCHVS
C0038720,C0028125,COMPARED_WITH,"Sulfates, Inorganic",Nitrates,inch,chvs,1,COMPARED_WITH_INCHcpwtCHVS
C0043047,C0597177,COMPARED_WITH,water,Particle,inch,chvs,1,COMPARED_WITH_INCHcpwtCHVS
C0043047,C0597488,COMPARED_WITH,water,solute,inch,chvs,2,COMPARED_WITH_INCHcpwtCHVS
C0074525,C0597177,COMPARED_WITH,silicon nitride,Particle,inch,chvs,1,COMPARED_WITH_INCHcpwtCHVS
C0596259,C0243072,COMPARED_WITH,carbonyl group,derivatives,inch,chvs,1,COMPARED_WITH_INCHcpwtCHVS
C0772155,C0036140,COMPARED_WITH,thermal water,Salts,inch,chvs,1,COMPARED_WITH_INCHcpwtCHVS
C0772313,C0597177,COMPARED_WITH,colloidal silver,Particle,inch,chvs,3,COMPARED_WITH_INCHcpwtCHVS
C3536832,C0597177,COMPARED_WITH,air,Particle,inch,chvs,1,COMPARED_WITH_INCHcpwtCHVS
C4759711,C0597177,COMPARED_WITH,Sand,Particle,inch,chvs,1,COMPARED_WITH_INCHcpwtCHVS
