cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0006353,C0360100,COMPARED_WITH,Buffers,Organic solvent product,irda,orch,1,COMPARED_WITH_IRDAcpwtORCH
C0006353,C0740247,COMPARED_WITH,Buffers,Genetron,irda,orch,1,COMPARED_WITH_IRDAcpwtORCH
C0006353,C4050026,COMPARED_WITH,Buffers,Matrix,irda,orch,1,COMPARED_WITH_IRDAcpwtORCH
C0010467,C0063083,COMPARED_WITH,curcumin,Hydrogel,irda,orch,1,COMPARED_WITH_IRDAcpwtORCH
C0012256,C0520481,COMPARED_WITH,Digitonin,Saponin,irda,orch,1,COMPARED_WITH_IRDAcpwtORCH
C0016979,C0007404,COMPARED_WITH,gallic acid,catechin,irda,orch,1,COMPARED_WITH_IRDAcpwtORCH
C0016979,C1449691,COMPARED_WITH,gallic acid,Hydrolyzable Tannins,irda,orch,1,COMPARED_WITH_IRDAcpwtORCH
C0022115,C0086130,COMPARED_WITH,Isatin,Deprenyl,irda,orch,1,COMPARED_WITH_IRDAcpwtORCH
C0024574,C0060825,COMPARED_WITH,maleic anhydride,fumaric acid,irda,orch,1,COMPARED_WITH_IRDAcpwtORCH
C0035486,C0538927,COMPARED_WITH,Rhodanine,celecoxib,irda,orch,1,COMPARED_WITH_IRDAcpwtORCH
C0520458,C0043501,COMPARED_WITH,pentetate calcium trisodium,zinc-DTPA,irda,orch,1,COMPARED_WITH_IRDAcpwtORCH
