cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0007963,C1707156,COMPARED_WITH,Charts (device),CTBP1 wt Allele,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0009653,C0042210,COMPARED_WITH,"Condoms, Male",Vaccines,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0009653,C1415068,COMPARED_WITH,"Condoms, Male",GJA1 gene,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0009653,C1442753,COMPARED_WITH,"Condoms, Male",SLC7A5 gene,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0013194,C1335440,COMPARED_WITH,Drug Packaging,Polymerase Gene,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0021102,C0016004,COMPARED_WITH,Implants,Fibrin Tissue Adhesive,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0024861,C3715044,COMPARED_WITH,Masks,AKR1A1 wt Allele,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0024861,C3810599,COMPARED_WITH,Masks,FLNA wt Allele,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0026032,C1883559,COMPARED_WITH,Microspheres,Wild Type,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0042497,C1416512,COMPARED_WITH,Mechanical Ventilator,ITM2B gene,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0042497,C2698933,COMPARED_WITH,Mechanical Ventilator,RAI1 wt Allele,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0042497,C3715044,COMPARED_WITH,Mechanical Ventilator,AKR1A1 wt Allele,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0085104,C0002199,COMPARED_WITH,Drug Delivery Systems,Interferon-alpha,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0085104,C0020960,COMPARED_WITH,Drug Delivery Systems,Immune Sera,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0085104,C0030940,COMPARED_WITH,Drug Delivery Systems,Peptide Hydrolases,medd,aapp,2,COMPARED_WITH_MEDDcpwtAAPP
C0085104,C0242391,COMPARED_WITH,Drug Delivery Systems,Cell Membrane Proteins,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0085104,C1415284,COMPARED_WITH,Drug Delivery Systems,GRAP2 gene,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0085104,C1456447,COMPARED_WITH,Drug Delivery Systems,"SLC6A2 protein, human",medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0085104,C1710701,COMPARED_WITH,Drug Delivery Systems,YES1 wt Allele,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0085104,C3810578,COMPARED_WITH,Drug Delivery Systems,"Gigaxonin, human",medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0085104,C4321252,COMPARED_WITH,Drug Delivery Systems,WWOX wt Allele,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0087153,C0042210,COMPARED_WITH,Ventilator - respiratory equipment,Vaccines,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0087153,C1415932,COMPARED_WITH,Ventilator - respiratory equipment,IGFBP7 gene,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0150789,C1415888,COMPARED_WITH,Patient Holding Stretchers,IFI30 gene,medd,aapp,2,COMPARED_WITH_MEDDcpwtAAPP
C0150789,C2239937,COMPARED_WITH,Patient Holding Stretchers,SMAD5-AS1 gene,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0175723,C0001990,COMPARED_WITH,Bands,Aldehyde-Lyases,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0175723,C0028589,COMPARED_WITH,Bands,Nuclear Proteins,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0175723,C0058610,COMPARED_WITH,Bands,HSP40 Heat-Shock Proteins,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0175723,C0086376,COMPARED_WITH,Bands,GTP-Binding Proteins,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0175723,C0120285,COMPARED_WITH,Bands,Green Fluorescent Proteins,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0175723,C1305923,COMPARED_WITH,Bands,Polypeptides,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0175723,C1417244,COMPARED_WITH,Bands,MPI gene,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0175723,C1420192,COMPARED_WITH,Bands,SLC3A2 gene,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0175723,C1442738,COMPARED_WITH,Bands,PABPC1 gene,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0175723,C1522002,COMPARED_WITH,Bands,RNA Recognition Motif,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0175723,C2945724,COMPARED_WITH,Bands,f-protein,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0175727,C0021760,COMPARED_WITH,Stimulator,interleukin-6,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0175727,C0113089,COMPARED_WITH,Stimulator,Dermatophagoides farinae antigen f 1,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0178959,C0003250,COMPARED_WITH,ADAPTER,Monoclonal Antibodies,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0178987,C0003241,COMPARED_WITH,Artificial Airways,Antibodies,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0178987,C0003250,COMPARED_WITH,Artificial Airways,Monoclonal Antibodies,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0178987,C1366521,COMPARED_WITH,Artificial Airways,IL24 gene,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0179199,C0079189,COMPARED_WITH,"Balance, device",cytokine,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0179245,C1332684,COMPARED_WITH,Water Bath,CCL21 gene,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0179302,C0019629,COMPARED_WITH,"Binder, device",Histocompatibility Antigens Class I,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0179302,C0243040,COMPARED_WITH,"Binder, device","Adhesins, Bacterial",medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0180279,C0059249,COMPARED_WITH,Flow Cytometer,annexin A5,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0180321,C1422585,COMPARED_WITH,Densitometer,ARID3B gene,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0180979,C0042736,COMPARED_WITH,Frame (physical object),Viral Proteins,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0180979,C1416797,COMPARED_WITH,Frame (physical object),STMN1 gene,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0181687,C0033382,COMPARED_WITH,loops,proline,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0181687,C0597094,COMPARED_WITH,loops,nuclease,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0181687,C0599561,COMPARED_WITH,loops,e protein,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0181687,C1335071,COMPARED_WITH,loops,Nuclear LIM Interactor-Interacting Factor 2,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0181687,C4048280,COMPARED_WITH,loops,"T-Cell Surface Glycoprotein CD4, human",medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0181758,C1412871,COMPARED_WITH,Surgical face mask,VPS51 gene,medd,aapp,2,COMPARED_WITH_MEDDcpwtAAPP
C0181758,C1418464,COMPARED_WITH,Surgical face mask,PER1 gene,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0181758,C1418619,COMPARED_WITH,Surgical face mask,PLA2G2D gene,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0181904,C3539704,COMPARED_WITH,Monitor Device,MTR wt Allele,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0182400,C0009498,COMPARED_WITH,Probes,Complement System Proteins,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0182400,C0022959,COMPARED_WITH,Probes,LacZ Genes,medd,aapp,2,COMPARED_WITH_MEDDcpwtAAPP
C0182400,C0042720,COMPARED_WITH,Probes,Viral Genome,medd,aapp,2,COMPARED_WITH_MEDDcpwtAAPP
C0182400,C1332669,COMPARED_WITH,Probes,CAV1 gene,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0182400,C1334043,COMPARED_WITH,Probes,Homologous Gene,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0182400,C1412268,COMPARED_WITH,Probes,TLE5 gene,medd,aapp,2,COMPARED_WITH_MEDDcpwtAAPP
C0182400,C1419086,COMPARED_WITH,Probes,PTMS gene,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0182400,C1433062,COMPARED_WITH,Probes,"3C-like protease, SARS coronavirus",medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0182400,C1953384,COMPARED_WITH,Probes,Reverse primer,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0182537,C4284302,COMPARED_WITH,pump (device),EHD1 wt Allele,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
C0183210,C0003250,COMPARED_WITH,sensor (device),Monoclonal Antibodies,medd,aapp,1,COMPARED_WITH_MEDDcpwtAAPP
