cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0002766,C0036557,COMPARED_WITH,Pain management,Sedatives,topp,phsu,1,COMPARED_WITH_TOPPcpwtPHSU
C0002903,C2917453,COMPARED_WITH,Anesthesia procedures,gamma-Aminobutyric Acid-ergic Agonist,topp,phsu,1,COMPARED_WITH_TOPPcpwtPHSU
C0002921,C0017302,COMPARED_WITH,Local anesthesia,General anesthetic drugs,topp,phsu,1,COMPARED_WITH_TOPPcpwtPHSU
C0004933,C0242896,COMPARED_WITH,Behavior Therapy,Anticholinergic Agents,topp,phsu,1,COMPARED_WITH_TOPPcpwtPHSU
C0009429,C1136254,COMPARED_WITH,Combined Modality Therapy,Microbicides,topp,phsu,1,COMPARED_WITH_TOPPcpwtPHSU
C0011946,C3539125,COMPARED_WITH,Dialysis procedure,other medicated shampoos in ATC,topp,phsu,1,COMPARED_WITH_TOPPcpwtPHSU
C0013216,C3539125,COMPARED_WITH,Pharmacotherapy,other medicated shampoos in ATC,topp,phsu,1,COMPARED_WITH_TOPPcpwtPHSU
C0013778,C0003195,COMPARED_WITH,Electric Countershock,Anti-Arrhythmia Agents,topp,phsu,1,COMPARED_WITH_TOPPcpwtPHSU
C0013778,C0006684,COMPARED_WITH,Electric Countershock,Calcium Channel Blockers,topp,phsu,1,COMPARED_WITH_TOPPcpwtPHSU
C0015357,C3539125,COMPARED_WITH,Extracorporeal Membrane Oxygenation,other medicated shampoos in ATC,topp,phsu,1,COMPARED_WITH_TOPPcpwtPHSU
C0017296,C1520007,COMPARED_WITH,gene therapy,Viral Vector,topp,phsu,2,COMPARED_WITH_TOPPcpwtPHSU
C0017296,C3539125,COMPARED_WITH,gene therapy,other medicated shampoos in ATC,topp,phsu,1,COMPARED_WITH_TOPPcpwtPHSU
C0021107,C1520007,COMPARED_WITH,Implantation procedure,Viral Vector,topp,phsu,1,COMPARED_WITH_TOPPcpwtPHSU
C0021925,C3539125,COMPARED_WITH,Intubation,other medicated shampoos in ATC,topp,phsu,1,COMPARED_WITH_TOPPcpwtPHSU
C0032042,C0003211,COMPARED_WITH,Placebos,"Anti-Inflammatory Agents, Non-Steroidal",topp,phsu,1,COMPARED_WITH_TOPPcpwtPHSU
C0032042,C0003364,COMPARED_WITH,Placebos,Antihypertensive Agents,topp,phsu,1,COMPARED_WITH_TOPPcpwtPHSU
C0032042,C0041044,COMPARED_WITH,Placebos,Trimethoprim-Sulfamethoxazole Combination,topp,phsu,3,COMPARED_WITH_TOPPcpwtPHSU
C0032042,C0939237,COMPARED_WITH,Placebos,lopinavir / Ritonavir,topp,phsu,1,COMPARED_WITH_TOPPcpwtPHSU
C0035110,C3539125,COMPARED_WITH,Repeat Surgery,other medicated shampoos in ATC,topp,phsu,1,COMPARED_WITH_TOPPcpwtPHSU
C0035139,C3537104,COMPARED_WITH,Surgical Replantation,Non-nucleoside Reverse Transcriptase Inhibitor,topp,phsu,1,COMPARED_WITH_TOPPcpwtPHSU
C0040732,C3539125,COMPARED_WITH,Transplantation,other medicated shampoos in ATC,topp,phsu,1,COMPARED_WITH_TOPPcpwtPHSU
C0040808,C3539957,COMPARED_WITH,Treatment Protocols,opium alkaloids and derivative combination cough suppressants,topp,phsu,1,COMPARED_WITH_TOPPcpwtPHSU
C0040861,C3539125,COMPARED_WITH,Triage,other medicated shampoos in ATC,topp,phsu,1,COMPARED_WITH_TOPPcpwtPHSU
C0042196,C0003451,COMPARED_WITH,Vaccination,Antiviral Agents,topp,phsu,1,COMPARED_WITH_TOPPcpwtPHSU
C0042196,C1136254,COMPARED_WITH,Vaccination,Microbicides,topp,phsu,1,COMPARED_WITH_TOPPcpwtPHSU
C0042196,C1520007,COMPARED_WITH,Vaccination,Viral Vector,topp,phsu,1,COMPARED_WITH_TOPPcpwtPHSU
C0042196,C3539125,COMPARED_WITH,Vaccination,other medicated shampoos in ATC,topp,phsu,2,COMPARED_WITH_TOPPcpwtPHSU
C0042205,C3539125,COMPARED_WITH,Rabies vaccination,other medicated shampoos in ATC,topp,phsu,1,COMPARED_WITH_TOPPcpwtPHSU
C0052712,C1516158,COMPARED_WITH,doxorubicin/mitomycin/vinblastine protocol,Canarypox Vector,topp,phsu,1,COMPARED_WITH_TOPPcpwtPHSU
C0071973,C3539957,COMPARED_WITH,Ifosfamide/Methotrexate/Procarbazine protocol,opium alkaloids and derivative combination cough suppressants,topp,phsu,1,COMPARED_WITH_TOPPcpwtPHSU
C0085430,C3539125,COMPARED_WITH,Blood Component Transfusion,other medicated shampoos in ATC,topp,phsu,1,COMPARED_WITH_TOPPcpwtPHSU
C0086818,C0085826,COMPARED_WITH,Platelet Transfusion,Antiplatelet Agents,topp,phsu,1,COMPARED_WITH_TOPPcpwtPHSU
C0152060,C0085155,COMPARED_WITH,Transection (procedure),Generic Drugs,topp,phsu,1,COMPARED_WITH_TOPPcpwtPHSU
C0152060,C3539125,COMPARED_WITH,Transection (procedure),other medicated shampoos in ATC,topp,phsu,4,COMPARED_WITH_TOPPcpwtPHSU
C0162563,C0003195,COMPARED_WITH,Cardiac ablation,Anti-Arrhythmia Agents,topp,phsu,1,COMPARED_WITH_TOPPcpwtPHSU
C0189745,C0003304,COMPARED_WITH,Open heart surgery,Antifibrinolytic Agents,topp,phsu,1,COMPARED_WITH_TOPPcpwtPHSU
C0199176,C3539125,COMPARED_WITH,Prophylactic treatment,other medicated shampoos in ATC,topp,phsu,1,COMPARED_WITH_TOPPcpwtPHSU
