cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001962,C0016327,CONVERTS_TO,ethanol,Fluorides,orch,inch,1,CONVERTS_TO_ORCHcvttINCH
C0001975,C0006222,CONVERTS_TO,Alcohols,Bromides,orch,inch,1,CONVERTS_TO_ORCHcvttINCH
C0002482,C0002611,CONVERTS_TO,Amides,ammonium,orch,inch,1,CONVERTS_TO_ORCHcvttINCH
C0007004,C0030015,CONVERTS_TO,Carbohydrates,Oxides,orch,inch,1,CONVERTS_TO_ORCHcvttINCH
C0007066,C0008203,CONVERTS_TO,Carboxylic Acids,Chlorides,orch,inch,1,CONVERTS_TO_ORCHcvttINCH
C0007935,C0700307,CONVERTS_TO,Chalcone,hydroxyl group,orch,inch,1,CONVERTS_TO_ORCHcvttINCH
C0008857,C0005367,CONVERTS_TO,Citrates,Bicarbonates,orch,inch,1,CONVERTS_TO_ORCHcvttINCH
C0012063,C0008203,CONVERTS_TO,Dicarboxylic Acids,Chlorides,orch,inch,1,CONVERTS_TO_ORCHcvttINCH
C0020242,C0031180,CONVERTS_TO,Hydrocarbons,Peroxides,orch,inch,2,CONVERTS_TO_ORCHcvttINCH
C0022924,C0005367,CONVERTS_TO,Lactates,Bicarbonates,orch,inch,1,CONVERTS_TO_ORCHcvttINCH
C0024728,C0030015,CONVERTS_TO,Mannich Bases,Oxides,orch,inch,2,CONVERTS_TO_ORCHcvttINCH
C0027996,C0031603,CONVERTS_TO,niacin,Phosphates,orch,inch,1,CONVERTS_TO_ORCHcvttINCH
C0030020,C0030015,CONVERTS_TO,Oximes,Oxides,orch,inch,1,CONVERTS_TO_ORCHcvttINCH
C0030125,C0030015,CONVERTS_TO,aminosalicylic acid,Oxides,orch,inch,1,CONVERTS_TO_ORCHcvttINCH
C0039902,C0031603,CONVERTS_TO,thioguanine,Phosphates,orch,inch,1,CONVERTS_TO_ORCHcvttINCH
C0059466,C0034320,CONVERTS_TO,epoxyfarnesyl diazoacetate,Diphosphates,orch,inch,1,CONVERTS_TO_ORCHcvttINCH
C0059466,C0146894,CONVERTS_TO,epoxyfarnesyl diazoacetate,triphosphate,orch,inch,1,CONVERTS_TO_ORCHcvttINCH
C0067742,C0002607,CONVERTS_TO,N-acetylmannosamine,ammonia,orch,inch,1,CONVERTS_TO_ORCHcvttINCH
C0075197,C0020281,CONVERTS_TO,stearidonic acid,hydrogen peroxide,orch,inch,1,CONVERTS_TO_ORCHcvttINCH
C0178819,C0146894,CONVERTS_TO,Pyrazine,triphosphate,orch,inch,1,CONVERTS_TO_ORCHcvttINCH
C0885057,C0071687,CONVERTS_TO,garlic preparation,polysulfide,orch,inch,1,CONVERTS_TO_ORCHcvttINCH
